protein	log2FC	p-val
sp|P60560|GUAC_ECOLI	-0.396	0.0003306
sp|P0AAR3|YBAK_ECOLI	1.004	3.286e-11
sp|P15067|GLGX_ECOLI	1.093	2.597e-09
sp|P0ACK2|AGAR_ECOLI	-0.353	0.199
sp|Q47622|SAPA_ECOLI	0.504	0.184
sp|P0C037|PPNP_ECOLI	-1.146	0.002
sp|P0ABH7|CISY_ECOLI	0.412	0.017
sp|P0AFG0|NUSG_ECOLI	-0.404	8.396e-05
sp|P65367|YQCA_ECOLI	0.2	0.107
sp|P0A8T7|RPOC_ECOLI	-0.067	0.599
sp|P75913|GHRA_ECOLI	-0.936	1.884e-06
sp|P17952|MURC_ECOLI	0.075	0.119
sp|P33224|AIDB_ECOLI	3.9	6.871e-07
sp|P24171|DCP_ECOLI	0.176	6.743e-05
sp|P77625|HXPA_ECOLI	-0.21	0.955
sp|P0A840|SURE_ECOLI	0.018	0.914
sp|P77488|DXS_ECOLI	-0.881	5.574e-08
sp|P77243|PRPD_ECOLI	-0.576	0.024
sp|P08395|SPPA_ECOLI	0.11	0.607
sp|P0AAT9|YBEL_ECOLI	1.623	6.306e-13
sp|P45395|KDSD_ECOLI	0.06	0.887
sp|P0A9S5|GLDA_ECOLI	1.582	1.145e-09
sp|P0ACE7|HINT_ECOLI	0.259	0.664
sp|P0C093|SLMA_ECOLI	-0.658	0.019
sp|P0A836|SUCC_ECOLI	-1.09	0.0
sp|P0A9C3|GALM_ECOLI	0.123	0.528
sp|P0A8A8|RIMP_ECOLI	0.021	0.94
sp|P37329|MODA_ECOLI	-0.092	0.374
sp|P15770|AROE_ECOLI	0.826	1.108e-05
sp|P23908|ARGE_ECOLI	-0.155	0.001
sp|P12295|UNG_ECOLI	0.338	0.013
sp|P0A6U3|MNMG_ECOLI	-0.209	0.531
sp|P0A908|MIPA_ECOLI	-0.858	3.381e-06
sp|P0A9M2|HPRT_ECOLI	-0.635	0.0001171
sp|P0A998|FTNA_ECOLI	-2.39	2.763e-12
sp|P05459|PDXB_ECOLI	-0.201	0.001
sp|P0AET8|HDHA_ECOLI	1.001	1.092e-08
sp|P25519|HFLX_ECOLI	-0.522	1.29e-05
sp|P11454|ENTF_ECOLI	1.649	0.0
sp|P0ABN5|DCUA_ECOLI	-0.004	0.996
sp|P0AFI2|PARC_ECOLI	-0.298	0.032
sp|P04968|ILVA_ECOLI	-0.167	0.018
sp|P30871|3PASE_ECOLI	-0.184	0.064
sp|P76143|LSRF_ECOLI	4.552	4.904e-11
sp|P0AGD3|SODF_ECOLI	-1.412	1.554e-15
sp|P52644|HSLJ_ECOLI	2.241	2.215e-12
sp|P24251|CRL_ECOLI	-2.232	6.661e-16
