protein	log2FC	p-val
sp|P0A805|RRF_ECOLI	-0.279	0.014
sp|P0ABD8|BCCP_ECOLI	-0.543	0.221
sp|P62517|OPGH_ECOLI	-0.194	0.864
sp|P09030|EX3_ECOLI	0.006	0.698
sp|P06715|GSHR_ECOLI	-0.104	0.596
sp|P0ADV7|MLAC_ECOLI	-0.226	0.02
sp|P17854|CYSH_ECOLI	1.707	0.0
sp|P07118|SYV_ECOLI	0.665	0.0
sp|P0C037|PPNP_ECOLI	0.374	0.177
sp|P33643|RLUD_ECOLI	0.707	0.126
sp|P23836|PHOP_ECOLI	-0.113	0.069
sp|P37757|YDDE_ECOLI	-0.919	0.002
sp|P36548|AMIA_ECOLI	0.643	0.0004108
sp|P39285|MSCM_ECOLI	-0.304	0.558
sp|P0A8A8|RIMP_ECOLI	-0.656	0.000376
sp|P12758|UDP_ECOLI	-0.729	2.521e-10
sp|P31224|ACRB_ECOLI	0.224	0.027
sp|P29680|DCUP_ECOLI	-2.073	2.849e-10
sp|P0A6E1|AROL_ECOLI	0.392	0.024
sp|P00909|TRPC_ECOLI	0.458	8.663e-06
sp|P77695|GNSB_ECOLI	-0.647	9.693e-05
sp|P77150|PDXY_ECOLI	-1.733	1.164e-07
sp|P0A6J1|CYSC_ECOLI	0.762	0.0001189
sp|P30126|LEUD_ECOLI	0.284	0.002
sp|P0A8S1|ARGP_ECOLI	-0.688	0.0007803
sp|P0A7N4|RL32_ECOLI	-0.344	0.063
sp|P0A9D8|DAPD_ECOLI	-0.059	0.339
sp|P0AGD3|SODF_ECOLI	0.852	2.347e-09
sp|P0AE18|MAP1_ECOLI	-0.949	2.494e-09
sp|Q47147|YAFJ_ECOLI	-0.094	0.853
sp|P52647|NIFJ_ECOLI	0.815	2.083e-05
sp|P0A8D6|YMDB_ECOLI	-0.892	0.000902
sp|P0A763|NDK_ECOLI	0.277	0.004
sp|P69874|POTA_ECOLI	0.119	0.141
sp|P55734|YGAP_ECOLI	-0.948	0.004
sp|P77667|SUFA_ECOLI	-2.43	8.005e-09
sp|P0A7X6|RIMM_ECOLI	0.365	0.043
sp|P36929|RSMB_ECOLI	-0.39	0.671
sp|P76372|WZZB_ECOLI	0.331	0.005
sp|P06961|CCA_ECOLI	-1.218	9.169e-07
sp|P15877|DHG_ECOLI	-2.703	0.0
sp|P76342|MSRP_ECOLI	-0.147	0.905
sp|P10908|UGPQ_ECOLI	-0.753	0.002
sp|P0AAB8|USPD_ECOLI	-1.713	4.508e-07
sp|P0AGD7|SRP54_ECOLI	0.363	8.101e-05
sp|P0A6F3|GLPK_ECOLI	0.179	0.477
sp|P27830|RMLB2_ECOLI	0.19	0.271
sp|P31475|YIEP_ECOLI	-0.543	0.045
sp|P0A9Y6|CSPC_ECOLI	-0.588	0.002
sp|P0A6T3|GAL1_ECOLI	-0.45	0.01
sp|P45955|CPOB_ECOLI	-0.346	0.026
sp|P65870|QUED_ECOLI	0.12	0.465
sp|P45578|LUXS_ECOLI	-1.235	7.55e-15
