protein	log2FC	p-val
sp|P25536|NTPPA_ECOLI	0.689	0.013
sp|P37344|PSPF_ECOLI	1.479	5.774e-05
sp|P0A8P8|XERD_ECOLI	0.899	0.003
sp|P52108|RSTA_ECOLI	0.534	0.0001362
sp|P23886|CYDC_ECOLI	0.178	0.216
sp|P77239|CUSB_ECOLI	-0.675	5.627e-13
sp|P0AA53|QMCA_ECOLI	1.243	0.0005782
sp|P36548|AMIA_ECOLI	-1.214	8.485e-06
sp|P33602|NUOG_ECOLI	-0.244	0.004
sp|P0ACF4|DBHB_ECOLI	-0.124	0.944
sp|P27838|CYAY_ECOLI	0.308	0.083
sp|P24183|FDNG_ECOLI	0.909	0.734
sp|P0A6A6|LEUC_ECOLI	-1.369	0.0
sp|P0CE48|EFTU2_ECOLI	0.059	0.574
sp|P0C0V0|DEGP_ECOLI	0.064	0.615
sp|P76290|CMOA_ECOLI	0.334	0.021
sp|P77302|DGCM_ECOLI	0.777	0.002
sp|P69805|PTND_ECOLI	-0.087	0.352
sp|P0A7S9|RS13_ECOLI	0.365	0.2
sp|P0A6Z1|HSCA_ECOLI	-0.388	4.02e-05
sp|P77485|CUSS_ECOLI	-0.596	5.217e-05
sp|P69829|PTSN_ECOLI	0.317	0.016
sp|P0AF08|APBC_ECOLI	-0.228	0.0003606
sp|P63020|NFUA_ECOLI	0.307	0.0007356
sp|P05852|TSAD_ECOLI	-0.853	0.002
sp|P76270|MSRC_ECOLI	0.601	0.001
sp|P0A9X9|CSPA_ECOLI	-1.671	2.722e-10
sp|P27434|RODZ_ECOLI	-0.048	0.889
sp|Q47083|CBL_ECOLI	-0.501	0.093
sp|P0A867|TALA_ECOLI	1.518	0.0
sp|P0A8R4|SLYX_ECOLI	-0.431	0.09
sp|P0A6Y1|IHFB_ECOLI	0.696	6.622e-06
sp|P0AA31|YEDF_ECOLI	-0.208	0.633
sp|Q46948|YAJL_ECOLI	0.635	0.0004311
sp|P69783|PTGA_ECOLI	-0.214	0.0007786
sp|P09980|REP_ECOLI	0.781	0.057
sp|P0A8M0|SYN_ECOLI	-0.126	0.0008838
sp|P0AEN4|FTSL_ECOLI	-0.169	0.728
sp|P0A7L3|RL20_ECOLI	-0.392	0.0009008
sp|P0A6J5|DADA_ECOLI	2.593	0.0
sp|P76535|MURQ_ECOLI	0.221	0.762
sp|P0AF20|NAGC_ECOLI	0.719	5.263e-05
sp|P04079|GUAA_ECOLI	-0.209	0.115
sp|P60240|RAPA_ECOLI	0.637	1.622e-09
sp|P32680|YJAG_ECOLI	-0.011	0.45
sp|P62517|OPGH_ECOLI	0.564	0.0003173
sp|P00957|SYA_ECOLI	-0.139	0.002
sp|P0ACB2|HEM2_ECOLI	0.783	3.439e-08
sp|P37645|YHJG_ECOLI	1.322	1.283e-08
sp|P0AG93|SECF_ECOLI	-0.226	0.147
sp|P0AEI1|MIAB_ECOLI	-3.432	0.003
sp|P0AD10|YECJ_ECOLI	-0.65	1.332e-05
sp|P0A7I7|RIBA_ECOLI	-0.002	0.562
sp|P39315|QOR2_ECOLI	0.175	0.053
sp|P0A870|TALB_ECOLI	0.362	0.0003608
sp|P68919|RL25_ECOLI	-0.334	0.002
sp|P0AA57|YOBA_ECOLI	-0.355	0.016
sp|P00550|PTM3C_ECOLI	0.551	7.696e-07
sp|P0AA10|RL13_ECOLI	-0.329	7.59e-06
sp|P05042|FUMC_ECOLI	0.545	8.447e-05
sp|P0A912|PAL_ECOLI	-0.053	0.361
sp|P23538|PPSA_ECOLI	0.926	0.0
sp|P17952|MURC_ECOLI	0.376	4.756e-05
sp|P61316|LOLA_ECOLI	0.167	0.657
sp|P0A887|UBIE_ECOLI	-0.65	1.673e-09
sp|P45800|IGAA_ECOLI	0.641	0.088
sp|P10908|UGPQ_ECOLI	1.285	1.905e-09
sp|P63228|GMHBB_ECOLI	0.586	0.02
sp|P0A9M2|HPRT_ECOLI	-0.329	7.601e-05
sp|P0A917|OMPX_ECOLI	0.47	7.215e-06
sp|P11454|ENTF_ECOLI	1.125	0.0
sp|P0ABJ9|CYDA_ECOLI	0.821	3.574e-06
sp|P0A9M0|LON_ECOLI	0.448	8.882e-16
sp|P0A6B4|ALR1_ECOLI	1.365	1.776e-05
sp|P77804|YDGA_ECOLI	0.648	0.0
sp|P04036|DAPB_ECOLI	0.636	1.332e-15
sp|P75931|YCEM_ECOLI	0.569	0.017
sp|P0AAC6|YCCA_ECOLI	-2.065	0.003
sp|P30126|LEUD_ECOLI	-1.528	0.0
sp|P25552|GPPA_ECOLI	0.712	0.002
sp|P08179|PUR3_ECOLI	0.04	0.678
sp|P69428|TATA_ECOLI	-0.402	0.009
sp|P0A9G8|MODE_ECOLI	0.221	0.166
sp|P0ADK8|YIBL_ECOLI	-0.452	0.057
sp|P27833|WECE_ECOLI	0.286	0.145
sp|P0A7Y8|RNPA_ECOLI	0.124	0.032
sp|P52096|YAER_ECOLI	0.884	0.0001867
sp|P22634|MURI_ECOLI	0.472	0.01
sp|P0A8Z0|YCIA_ECOLI	-0.442	0.008
sp|P0AFX4|RSD_ECOLI	0.319	0.123
sp|P61175|RL22_ECOLI	-0.019	0.507
sp|P0C037|PPNP_ECOLI	-0.624	0.0009156
sp|P09169|OMPT_ECOLI	0.119	0.148
sp|P08506|DACC_ECOLI	-0.177	0.303
sp|P0A7E5|PYRG_ECOLI	-0.476	5.84e-13
sp|P0ACB7|HEMY_ECOLI	0.143	0.36
sp|P08839|PT1_ECOLI	-0.659	0.0
sp|P77554|YAHJ_ECOLI	0.645	0.021
sp|P0AEQ3|GLNH_ECOLI	-0.356	5.978e-05
sp|P45955|CPOB_ECOLI	0.075	0.127
sp|P0A7R1|RL9_ECOLI	0.052	0.069
