protein	log2FC	p-val
sp|Q46893|ISPD_ECOLI	0.305	0.395
sp|P0A725|LPXC_ECOLI	0.499	0.024
sp|P0A6K3|DEF_ECOLI	-0.394	0.014
sp|P63417|YHBS_ECOLI	0.47	0.033
sp|P0A8I8|RLMH_ECOLI	0.094	0.398
sp|P0ACE7|HINT_ECOLI	0.296	0.041
sp|P0ACN4|ALLR_ECOLI	0.113	0.421
sp|P21829|YBHA_ECOLI	-0.736	0.015
sp|P0A7W7|RS8_ECOLI	0.022	0.852
sp|P0AGJ9|SYY_ECOLI	0.06	0.745
sp|P12008|AROC_ECOLI	0.14	0.411
sp|P33025|PSUG_ECOLI	0.148	0.685
sp|P04994|EX7L_ECOLI	-0.098	0.401
sp|P09158|SPEE_ECOLI	0.039	0.935
sp|P06959|ODP2_ECOLI	-0.108	0.007
sp|P77774|BAMB_ECOLI	0.032	0.442
sp|Q47147|YAFJ_ECOLI	0.273	0.047
sp|P76535|MURQ_ECOLI	-0.447	0.031
sp|P0ABK5|CYSK_ECOLI	0.233	0.0003189
sp|P0AAC6|YCCA_ECOLI	-0.791	0.002
sp|P45579|HCXA_ECOLI	-0.259	0.049
sp|P0A9M8|PTA_ECOLI	-0.173	0.028
sp|P60624|RL24_ECOLI	-0.088	0.135
sp|P77541|PRPB_ECOLI	3.78	0.0
sp|P0AA91|YEAY_ECOLI	0.947	1.332e-08
sp|Q47146|FADE_ECOLI	-0.797	7.074e-12
sp|P0AAI5|FABF_ECOLI	-0.135	0.005
sp|P0AC59|GLRX2_ECOLI	0.027	0.677
sp|P0A8J4|YBED_ECOLI	0.355	0.151
sp|P0ABP8|DEOD_ECOLI	0.376	0.002
sp|P08839|PT1_ECOLI	0.187	0.045
sp|P0AG78|SUBI_ECOLI	0.066	0.497
sp|P77258|NEMA_ECOLI	-0.452	0.028
sp|P0AA25|THIO_ECOLI	0.316	0.004
sp|P31473|RAVA_ECOLI	0.017	0.833
sp|P0ABU0|MENB_ECOLI	0.131	0.493
sp|P0ACY1|YDJA_ECOLI	-0.113	0.152
sp|P0AEH3|ELAA_ECOLI	-0.349	0.122
sp|P15038|HELD_ECOLI	-0.507	0.0002276
sp|P25553|ALDA_ECOLI	0.352	3.117e-08
sp|P0ACA3|SSPA_ECOLI	0.115	0.593
sp|P78067|YNJE_ECOLI	0.279	0.34
sp|P07023|TYRA_ECOLI	0.267	0.001
sp|P0A6Y5|HSLO_ECOLI	-0.081	0.727
sp|P0A744|MSRA_ECOLI	0.704	0.0002112
sp|P0AC38|ASPA_ECOLI	-0.743	5.98e-13
sp|P0AFG6|ODO2_ECOLI	-0.374	1.937e-07
sp|P0AEP3|GALU_ECOLI	0.2	0.143
sp|P0A7A2|GPMB_ECOLI	-0.151	0.034
sp|P69330|CITD_ECOLI	-1.233	0.007
sp|P0A6E4|ASSY_ECOLI	-0.14	0.009
sp|P21599|KPYK2_ECOLI	0.303	0.001
sp|P0A6L2|DAPA_ECOLI	-0.079	0.041
sp|P61889|MDH_ECOLI	-0.209	2.579e-05
sp|P36680|ZAPD_ECOLI	0.364	0.084
sp|P0ADA3|NLPD_ECOLI	0.177	0.265
sp|P75797|GSIB_ECOLI	0.137	0.456
sp|P36771|LRHA_ECOLI	0.072	0.725
sp|P0AD33|YFCZ_ECOLI	-0.319	0.077
sp|P0ABI8|CYOB_ECOLI	-0.645	0.002
sp|P0ADG7|IMDH_ECOLI	-0.06	0.249
sp|P37595|IAAA_ECOLI	0.591	0.004
sp|P60757|HIS1_ECOLI	-0.199	0.002
sp|P69805|PTND_ECOLI	-0.989	1.508e-10
sp|P0A9T6|YBAQ_ECOLI	-0.059	0.396
sp|P00968|CARB_ECOLI	-0.23	2.502e-09
sp|P14900|MURD_ECOLI	0.136	0.667
sp|P25714|YIDC_ECOLI	-0.479	0.002
sp|P0AEV1|RSSB_ECOLI	0.818	0.021
sp|P76402|YEGP_ECOLI	0.899	4.212e-07
sp|P33218|YEBE_ECOLI	-0.317	0.025
sp|P65367|YQCA_ECOLI	0.229	0.124
sp|P0ABU2|YCHF_ECOLI	-0.444	2.893e-07
sp|P0AB38|LPOB_ECOLI	0.151	0.446
sp|P08312|SYFA_ECOLI	0.109	0.237
sp|P0A7M6|RL29_ECOLI	0.023	1.0
sp|P0AAR3|YBAK_ECOLI	0.915	2.701e-06
sp|P0AEL6|FEPB_ECOLI	-0.306	0.105
sp|P0A7I7|RIBA_ECOLI	0.022	0.461
sp|P0A796|PFKA_ECOLI	-0.024	0.523
sp|P0A6H1|CLPX_ECOLI	-0.13	0.01
sp|P0A9Y6|CSPC_ECOLI	0.048	0.934
sp|P0AE18|MAP1_ECOLI	0.139	0.069
sp|P77302|DGCM_ECOLI	0.014	1.0
sp|P06996|OMPC_ECOLI	0.563	6.661e-16
sp|P0A9W3|ETTA_ECOLI	-0.16	0.018
sp|P77181|PAAY_ECOLI	-0.02	0.97
sp|P14081|SELB_ECOLI	-0.156	0.23
sp|P0AE12|AMN_ECOLI	0.148	0.254
sp|P0ACJ0|LRP_ECOLI	0.466	0.022
sp|P0A698|UVRA_ECOLI	0.458	2.356e-05
sp|P46130|YBHC_ECOLI	-0.168	0.127
sp|P0A8F0|UPP_ECOLI	0.015	0.895
sp|P77214|CUSF_ECOLI	-0.117	0.452
sp|P21889|SYD_ECOLI	-0.29	2.101e-05
sp|P0ABN5|DCUA_ECOLI	0.015	0.958
sp|P36938|PGM_ECOLI	0.008	0.606
sp|P55734|YGAP_ECOLI	1.237	3.381e-05
sp|P0ABS5|DNAG_ECOLI	-0.156	0.358
sp|P63284|CLPB_ECOLI	-0.016	0.576
sp|P0A9J8|CMPDT_ECOLI	1.076	0.0
sp|P0A6J1|CYSC_ECOLI	0.119	0.97
sp|P0A817|METK_ECOLI	0.073	0.353
sp|P0A7D1|PTH_ECOLI	0.234	0.007
sp|P0AB83|END3_ECOLI	-0.686	0.006
sp|P00944|XYLA_ECOLI	1.338	0.01
sp|P0AEH5|ELAB_ECOLI	0.717	1.337e-06
sp|P0AD61|KPYK1_ECOLI	0.417	7.317e-11
sp|P0AF96|TABA_ECOLI	-0.097	0.054
sp|P0A8D6|YMDB_ECOLI	0.712	0.007
sp|P0AEF8|DPPB_ECOLI	-0.772	0.006
sp|P0AB77|KBL_ECOLI	0.062	0.993
sp|P0A9S5|GLDA_ECOLI	0.486	0.008
sp|P77756|QUEC_ECOLI	0.156	0.933
sp|P76272|YEBT_ECOLI	-0.12	0.54
sp|P77689|SUFD_ECOLI	-0.163	0.15
sp|P04951|KDSB_ECOLI	0.174	0.101
sp|P0A799|PGK_ECOLI	0.479	1.055e-07
sp|P37689|GPMI_ECOLI	0.081	0.363
sp|P31060|MODF_ECOLI	-0.179	0.491
sp|P0A8C4|YGFB_ECOLI	-0.196	0.631
sp|P0AGL7|RSME_ECOLI	0.16	0.297
sp|P31663|PANC_ECOLI	0.558	2.254e-05
sp|P0A6P9|ENO_ECOLI	0.28	0.009
sp|P23917|MAK_ECOLI	0.06	0.707
sp|P0A8G9|EX7S_ECOLI	0.38	0.102
sp|P0ACL5|GLCC_ECOLI	0.18	0.479
sp|Q46919|YQCC_ECOLI	-0.664	0.043
sp|P61517|CAN_ECOLI	0.116	0.64
sp|P0AG63|RS17_ECOLI	1.105	0.004
sp|P0AB65|ACYP_ECOLI	0.519	0.043
sp|P0AEE5|DGAL_ECOLI	1.463	0.0
sp|P0ACA1|YIBF_ECOLI	0.562	0.000738
sp|P75831|MACB_ECOLI	0.257	0.63
sp|P60240|RAPA_ECOLI	-0.193	0.03
sp|P64540|YFCL_ECOLI	-0.371	0.113
sp|P28248|DCD_ECOLI	-0.079	0.469
sp|P0A821|SELA_ECOLI	-0.305	0.057
sp|P0A6L9|HSCB_ECOLI	0.063	0.887
sp|P75867|LONH_ECOLI	0.019	1.0
sp|P60723|RL4_ECOLI	0.083	0.418
sp|P0ADG4|SUHB_ECOLI	-0.602	3.761e-05
sp|P69425|TATB_ECOLI	-0.006	0.763
sp|P33368|YOHF_ECOLI	1.769	3.693e-12
sp|P64467|CNU_ECOLI	-0.033	0.857
sp|P24202|MRR_ECOLI	-0.22	0.019
sp|P05637|APAH_ECOLI	0.365	0.05
sp|P0C079|RELB_ECOLI	-0.243	0.762
sp|P02929|TONB_ECOLI	-0.322	0.095
sp|P0A738|MOAC_ECOLI	-0.066	0.902
sp|P0A998|FTNA_ECOLI	-0.242	0.132
sp|P00904|TRPGD_ECOLI	-0.131	0.174
sp|P0A968|CSPD_ECOLI	0.402	0.04
sp|P00888|AROF_ECOLI	0.333	0.109
sp|P0AG80|UGPB_ECOLI	0.966	0.0
sp|P0AC30|FTSX_ECOLI	0.011	0.801
sp|P0AAP3|FRMR_ECOLI	-0.083	0.651
sp|P0A9W6|IBAG_ECOLI	-0.208	0.572
sp|P0A8E7|YAJQ_ECOLI	0.145	0.04
sp|P30177|YBIB_ECOLI	0.417	0.003
sp|P67087|RSMI_ECOLI	-0.025	0.485
sp|P69874|POTA_ECOLI	0.004	0.807
sp|P0A951|ATDA_ECOLI	-0.304	0.284
sp|P18196|MINC_ECOLI	0.146	0.61
sp|P77552|YDHQ_ECOLI	-0.088	0.604
sp|P0AAZ7|YCAR_ECOLI	0.093	0.785
sp|P77781|MENI_ECOLI	0.103	0.675
sp|P0A9K9|SLYD_ECOLI	-0.2	0.896
sp|P19934|TOLA_ECOLI	0.569	0.117
sp|P75736|YBFF_ECOLI	0.006	0.923
sp|P0A915|OMPW_ECOLI	-0.424	0.076
sp|P0AG51|RL30_ECOLI	-0.056	0.293
sp|P0A9H1|MUG_ECOLI	0.614	0.043
sp|P0ABD8|BCCP_ECOLI	0.033	0.62
sp|P60422|RL2_ECOLI	-0.483	6.439e-15
sp|P0A7D7|PUR7_ECOLI	-0.000124	0.048
sp|P41052|MLTB_ECOLI	0.602	0.035
sp|P37313|DPPF_ECOLI	0.171	0.311
sp|P0ADK0|YIAF_ECOLI	0.037	0.865
sp|P15723|DGTP_ECOLI	0.321	0.158
sp|P0AA10|RL13_ECOLI	-0.257	0.037
sp|P69451|LCFA_ECOLI	0.41	0.0007938
sp|P0A917|OMPX_ECOLI	0.286	0.002
sp|P02358|RS6_ECOLI	-0.275	0.005
sp|P0ADZ4|RS15_ECOLI	-0.198	0.085
sp|P18392|RSTB_ECOLI	0.425	0.126
sp|P77348|MPPA_ECOLI	0.294	0.028
sp|P06616|ERA_ECOLI	-0.669	0.0009892
sp|P39173|YEAD_ECOLI	-0.467	0.000534
sp|P76506|MLAA_ECOLI	0.138	0.327
sp|P0A8T7|RPOC_ECOLI	-0.379	0.0
sp|P06992|RSMA_ECOLI	0.08	0.677
sp|P0AEM0|FKBX_ECOLI	-0.379	0.183
sp|P0AEU0|HISJ_ECOLI	-0.034	0.382
sp|P0A6E6|ATPE_ECOLI	-0.26	0.052
sp|P0ADE6|KBP_ECOLI	0.878	1.332e-15
sp|P09546|PUTA_ECOLI	-0.666	0.0003365
sp|P37329|MODA_ECOLI	-0.352	0.0006875
sp|P37177|PT1P_ECOLI	-0.088	0.367
sp|P24554|RADA_ECOLI	-0.038	0.69
sp|P77434|ALAC_ECOLI	0.057	1.0
sp|P0A9R7|FTSE_ECOLI	0.181	0.352
sp|P24171|DCP_ECOLI	0.313	0.006
sp|P21513|RNE_ECOLI	-0.454	2.954e-12
sp|P0C0V0|DEGP_ECOLI	-0.308	4.996e-05
sp|P69503|APT_ECOLI	-0.809	0.0007259
sp|P0A6B4|ALR1_ECOLI	0.016	0.979
sp|P77488|DXS_ECOLI	-0.059	0.509
sp|P24216|FLID_ECOLI	0.126	0.471
sp|P0A825|GLYA_ECOLI	0.124	0.19
