protein	log2FC	p-val
sp|P60422|RL2_ECOLI	-0.558	1.656e-13
sp|P33219|YEBF_ECOLI	0.931	1.027e-09
sp|P16456|SELD_ECOLI	0.361	0.03
sp|Q46871|YQJH_ECOLI	0.154	0.174
sp|P0A7V3|RS3_ECOLI	-0.464	2.691e-06
sp|P68767|AMPA_ECOLI	-0.089	0.221
sp|P33221|PURT_ECOLI	0.155	0.084
sp|P0ABQ0|COABC_ECOLI	0.12	0.152
sp|P00547|KHSE_ECOLI	-0.619	2.923e-07
sp|P52062|YGGW_ECOLI	0.153	0.401
sp|P23538|PPSA_ECOLI	2.643	0.0
sp|P06709|BIRA_ECOLI	0.487	0.529
sp|P0ADN6|YIFL_ECOLI	-0.34	0.061
sp|P22256|GABT_ECOLI	0.949	0.0
sp|P0AEW4|CPDA_ECOLI	0.785	0.0001387
sp|P0A8F8|UVRB_ECOLI	0.412	2.21e-05
sp|P06999|PFKB_ECOLI	0.279	0.007
sp|P31433|YICH_ECOLI	-0.007	0.44
sp|P42620|YQJG_ECOLI	1.147	1.328e-07
sp|P0A8J2|DNAT_ECOLI	-0.208	0.661
sp|P75867|LONH_ECOLI	0.141	0.536
sp|P0AA16|OMPR_ECOLI	0.889	1.241e-10
sp|P0AEK4|FABI_ECOLI	-0.084	0.11
sp|P76027|OPPD_ECOLI	-0.221	0.402
sp|P04425|GSHB_ECOLI	0.157	0.087
sp|P0ADS2|ZAPA_ECOLI	0.039	0.925
sp|P0A7Y8|RNPA_ECOLI	-0.464	0.484
sp|P0AAZ7|YCAR_ECOLI	0.075	0.412
sp|P75780|FIU_ECOLI	-0.442	5.328e-05
sp|P0AFM9|PSPB_ECOLI	0.283	0.163
sp|P06961|CCA_ECOLI	-0.035	0.978
sp|P0ABH7|CISY_ECOLI	-0.121	0.095
sp|P10908|UGPQ_ECOLI	0.298	0.353
sp|P0ACJ8|CRP_ECOLI	0.497	2.369e-10
sp|P0A7I4|RF3_ECOLI	-0.101	0.266
sp|P0A7C6|PEPE_ECOLI	1.181	6.695e-07
sp|P09127|HEMX_ECOLI	0.601	8.2e-07
sp|P0A7G2|RBFA_ECOLI	0.1	0.429
sp|P65556|YFCD_ECOLI	-0.169	0.812
sp|P42588|PAT_ECOLI	0.485	0.005
sp|P0AB77|KBL_ECOLI	0.514	0.003
sp|P0A720|KTHY_ECOLI	0.195	0.39
sp|P27838|CYAY_ECOLI	-0.942	0.008
sp|P67603|YQFB_ECOLI	0.464	0.001
sp|P25516|ACNA_ECOLI	0.654	0.0
sp|P64596|YRAP_ECOLI	0.197	0.231
sp|P0A825|GLYA_ECOLI	-0.136	0.011
sp|P03004|DNAA_ECOLI	0.087	0.097
sp|P0A8J8|RHLB_ECOLI	-0.201	0.014
sp|P13024|FDHE_ECOLI	0.517	0.203
sp|P52061|IXTPA_ECOLI	0.248	0.091
sp|P64530|RCNR_ECOLI	0.935	7.753e-08
sp|P39172|ZNUA_ECOLI	0.241	0.016
sp|P76558|MAO2_ECOLI	0.25	1.719e-06
sp|P0AGI8|TRKA_ECOLI	0.409	0.129
sp|P60438|RL3_ECOLI	-0.044	0.819
sp|P76170|YNFB_ECOLI	0.248	0.261
sp|P0A858|TPIS_ECOLI	-0.157	0.104
sp|P0AC13|DHPS_ECOLI	0.038	0.589
sp|P30125|LEU3_ECOLI	0.074	0.183
sp|P31806|NNR_ECOLI	0.397	0.084
sp|P27431|ROXA_ECOLI	0.168	0.297
sp|P0A9F1|MNTR_ECOLI	-0.026	0.902
sp|P76002|PLIG_ECOLI	0.904	0.0001563
sp|P31064|YEDE_ECOLI	0.368	0.881
sp|P00954|SYW_ECOLI	-0.288	0.0003155
sp|P0AFQ7|YCFH_ECOLI	-0.387	0.033
sp|P0A8A8|RIMP_ECOLI	0.02	0.864
sp|P67095|YFCE_ECOLI	0.065	0.254
sp|P04693|TYRB_ECOLI	-0.144	0.127
sp|P39310|YTFB_ECOLI	0.078	0.778
sp|P0A817|METK_ECOLI	-0.259	6.691e-05
sp|P0A6Y5|HSLO_ECOLI	0.408	0.000973
sp|P0C0L7|PROP_ECOLI	-0.751	1.172e-07
sp|P0AE01|TRMJ_ECOLI	-0.742	7.326e-06
sp|P22729|LIVM_ECOLI	-0.281	0.087
sp|P0A8Y5|YIDA_ECOLI	0.16	0.025
sp|P27830|RMLB2_ECOLI	0.111	0.395
sp|P30178|HCXB_ECOLI	-0.447	0.042
sp|P0A7F9|QUEA_ECOLI	-0.379	0.021
sp|P0A9Q1|ARCA_ECOLI	0.505	7.385e-07
sp|P0AB14|YCCJ_ECOLI	0.867	1.516e-06
sp|P0A7A5|PIMT_ECOLI	0.343	0.018
sp|P0ABC7|HFLK_ECOLI	0.034	0.557
sp|P26648|FTSP_ECOLI	0.258	0.271
sp|P15042|DNLJ_ECOLI	-0.067	0.938
sp|P0AD59|IVY_ECOLI	0.382	0.079
sp|P15640|PUR2_ECOLI	0.124	0.097
sp|P30843|BASR_ECOLI	0.611	0.0007595
sp|P0ADG4|SUHB_ECOLI	-0.238	0.219
sp|P09980|REP_ECOLI	-0.27	0.077
sp|P0ABZ6|SURA_ECOLI	0.143	0.302
sp|P00490|PHSM_ECOLI	-0.188	0.038
sp|P0AF36|ZAPB_ECOLI	-0.124	0.413
sp|P0ADQ2|YIID_ECOLI	0.422	5.798e-05
sp|P0A998|FTNA_ECOLI	0.199	0.288
sp|P31142|THTM_ECOLI	0.761	2.474e-12
sp|P24251|CRL_ECOLI	0.247	0.03
sp|P0AB65|ACYP_ECOLI	0.077	0.524
sp|P31680|DJLA_ECOLI	-0.537	0.0008366
sp|P31130|YDEI_ECOLI	0.536	0.008
sp|P0AB83|END3_ECOLI	-0.307	0.215
sp|P77667|SUFA_ECOLI	0.277	0.286
sp|P0A7X3|RS9_ECOLI	0.076	0.148
sp|P0A7V8|RS4_ECOLI	-0.144	0.483
sp|P09169|OMPT_ECOLI	0.232	0.075
sp|P40120|OPGD_ECOLI	0.315	0.038
sp|P0AES4|GYRA_ECOLI	-0.352	2.225e-10
sp|P23917|MAK_ECOLI	0.362	0.072
sp|P0A731|MGSA_ECOLI	0.062	0.95
sp|P62517|OPGH_ECOLI	-0.61	0.0002166
sp|P0A9F6|GCVA_ECOLI	-0.101	0.809
sp|P0AF03|MOG_ECOLI	0.447	0.003
sp|P76397|MDTA_ECOLI	0.074	0.414
sp|P67660|YHAJ_ECOLI	0.502	0.033
sp|P0AA47|PLAP_ECOLI	-0.483	0.045
sp|P0AE12|AMN_ECOLI	0.111	0.599
sp|P0ADT5|YGIC_ECOLI	0.363	0.003
sp|P76113|CURA_ECOLI	0.642	3.362e-08
sp|P0AAI3|FTSH_ECOLI	0.163	0.011
sp|P06149|DLD_ECOLI	0.233	0.0002901
sp|Q93K97|ADPP_ECOLI	-0.05	0.914
sp|P0A6Z1|HSCA_ECOLI	-0.071	0.787
sp|P36938|PGM_ECOLI	0.369	6.561e-08
sp|P23894|HTPX_ECOLI	0.241	0.219
sp|P75736|YBFF_ECOLI	0.096	0.317
sp|P21829|YBHA_ECOLI	-0.553	0.035
sp|P06129|BTUB_ECOLI	0.104	0.333
sp|P24232|HMP_ECOLI	0.302	0.031
sp|P0AAC0|USPE_ECOLI	0.646	1.756e-05
sp|P0A9Y6|CSPC_ECOLI	-0.23	0.053
sp|P16676|CYSA_ECOLI	0.088	0.686
sp|P0A784|ORN_ECOLI	-0.167	0.26
sp|P10371|HIS4_ECOLI	0.226	0.011
sp|P06992|RSMA_ECOLI	0.052	0.391
sp|P23837|PHOQ_ECOLI	-0.474	0.041
sp|P0ACC3|ERPA_ECOLI	-0.229	0.025
sp|P05055|PNP_ECOLI	-0.286	2.571e-07
sp|P0ABA4|ATPD_ECOLI	0.251	0.207
sp|P23857|PSPE_ECOLI	1.378	1.811e-08
sp|P0A8V6|FADR_ECOLI	0.149	0.265
sp|P64581|YQJD_ECOLI	0.85	6.041e-10
sp|P0AG00|WZZE_ECOLI	0.15	0.523
sp|P0ABB0|ATPA_ECOLI	0.272	3.432e-07
sp|P25665|METE_ECOLI	-0.202	1.204e-06
sp|P37349|DHAM_ECOLI	0.998	5.669e-12
sp|P0AF50|YJBR_ECOLI	0.087	0.263
sp|P23882|FMT_ECOLI	0.198	0.045
sp|P0AGB6|RPOE_ECOLI	-0.179	0.085
sp|P0AD05|YECA_ECOLI	-0.127	0.198
sp|P0A6B7|ISCS_ECOLI	-0.043	0.435
sp|P0A9D2|GSTA_ECOLI	0.893	3.833e-11
sp|P00803|LEP_ECOLI	-0.127	0.112
sp|P0A8P3|FETP_ECOLI	-0.148	0.358
sp|P21170|SPEA_ECOLI	-0.02	0.769
sp|P0A7D1|PTH_ECOLI	-0.161	0.206
sp|P69423|TATC_ECOLI	-0.218	0.268
sp|P0AEE1|DCRB_ECOLI	0.13	0.733
sp|P20083|PARE_ECOLI	-0.309	0.032
sp|P0A6N8|EFPL_ECOLI	0.023	0.919
sp|P0A6J5|DADA_ECOLI	-0.65	0.003
sp|P0A7A2|GPMB_ECOLI	-0.11	0.999
sp|P0A836|SUCC_ECOLI	0.185	0.006
sp|P00363|FRDA_ECOLI	1.007	2.177e-09
sp|P13029|KATG_ECOLI	0.453	8.882e-16
sp|P0A832|SSRP_ECOLI	-0.144	0.09
sp|P29018|CYDD_ECOLI	-0.529	0.0004656
sp|P0A905|SLYB_ECOLI	-0.429	1.697e-05
sp|P23845|CYSN_ECOLI	-0.433	2.724e-08
sp|P13001|BIOH_ECOLI	0.301	0.153
sp|P23003|TRMA_ECOLI	-0.36	0.073
sp|P60664|HIS6_ECOLI	0.41	7.006e-05
