protein	log2FC	p-val
sp|P0AFI7|PDXH_ECOLI	0.264	0.061
sp|P0ADK8|YIBL_ECOLI	-0.152	0.68
sp|P0AFG0|NUSG_ECOLI	0.365	0.043
sp|P11880|MURF_ECOLI	0.682	2.62e-06
sp|P12995|BIOA_ECOLI	0.554	0.002
sp|P08244|PYRF_ECOLI	-0.548	3.553e-06
sp|P08390|USG_ECOLI	0.244	0.067
sp|P0ADN2|YIFE_ECOLI	-0.568	5.051e-09
sp|P12281|MOEA_ECOLI	0.555	0.0005625
sp|P0AEZ3|MIND_ECOLI	0.153	0.065
sp|P18843|NADE_ECOLI	0.52	1.59e-09
sp|P29217|YCEH_ECOLI	0.589	0.007
sp|P0A722|LPXA_ECOLI	0.341	0.834
sp|P0AB80|ILVE_ECOLI	-0.489	2.639e-05
sp|P0A9V1|LPTB_ECOLI	0.077	0.311
sp|P29013|YCGB_ECOLI	0.103	0.608
sp|P09169|OMPT_ECOLI	-0.091	0.059
sp|P0A7D1|PTH_ECOLI	-0.495	0.057
sp|P0A759|NAGB_ECOLI	-0.063	0.476
sp|P13001|BIOH_ECOLI	0.813	0.052
sp|P0C0K3|SRKA_ECOLI	-0.323	0.16
sp|P0ACB4|HEMG_ECOLI	-0.26	0.012
sp|P0A6Y1|IHFB_ECOLI	0.464	0.001
sp|Q46893|ISPD_ECOLI	0.058	0.905
sp|P67660|YHAJ_ECOLI	-0.276	0.258
sp|P0A6B4|ALR1_ECOLI	0.306	0.395
sp|P0AEZ9|MOAB_ECOLI	0.863	5.869e-08
sp|P62399|RL5_ECOLI	-0.537	2.586e-07
sp|P76027|OPPD_ECOLI	-1.605	6.028e-07
sp|P0A7X3|RS9_ECOLI	-0.203	0.277
sp|P37745|RMLC_ECOLI	-0.282	0.064
sp|P0A858|TPIS_ECOLI	0.662	1.327e-09
sp|P0AB65|ACYP_ECOLI	0.4	0.027
sp|P0AF90|RRAB_ECOLI	0.889	0.063
sp|P63386|MLAF_ECOLI	0.157	0.326
sp|P0A6L4|NANA_ECOLI	-0.176	0.278
sp|P10907|UGPC_ECOLI	-0.718	0.161
sp|P0AE67|CHEY_ECOLI	-0.006	0.876
sp|P76170|YNFB_ECOLI	0.535	0.011
sp|P0ADX7|YHHA_ECOLI	0.398	0.115
sp|P0ABC3|HFLC_ECOLI	-0.398	0.004
sp|P0ADS2|ZAPA_ECOLI	-0.279	0.127
sp|P76002|PLIG_ECOLI	-0.221	0.215
sp|P76121|YDDH_ECOLI	0.618	0.945
sp|P0A9K3|PHOL_ECOLI	0.144	0.327
sp|P0AEL6|FEPB_ECOLI	-0.273	0.07
sp|P31677|OTSA_ECOLI	0.812	1.877e-08
sp|P0A8B5|YBAB_ECOLI	-0.053	0.153
sp|P0A8S1|ARGP_ECOLI	-0.186	0.093
sp|P0A761|NANE_ECOLI	-0.242	0.159
sp|P17443|MURG_ECOLI	0.464	0.054
sp|P23843|OPPA_ECOLI	-0.755	0.0
sp|P39172|ZNUA_ECOLI	-1.116	5.491e-10
sp|P0ABH7|CISY_ECOLI	1.127	0.0
sp|P0C0V0|DEGP_ECOLI	-0.378	2.136e-06
sp|P0ADX1|YHFA_ECOLI	0.52	0.182
sp|P0A6Q6|FABZ_ECOLI	-0.264	0.338
sp|P0ACB7|HEMY_ECOLI	-0.301	0.002
sp|P07118|SYV_ECOLI	-0.159	0.015
sp|P30011|NADC_ECOLI	-0.223	0.104
sp|P0AF67|TSAE_ECOLI	-0.315	0.019
sp|P0AFG6|ODO2_ECOLI	0.416	2.729e-08
sp|P17117|NFSA_ECOLI	-0.342	0.01
sp|P21599|KPYK2_ECOLI	0.269	0.002
sp|P77544|YFCF_ECOLI	0.128	0.569
sp|P0AEX9|MALE_ECOLI	-0.369	2.406e-06
sp|P0A6X7|IHFA_ECOLI	0.048	0.014
sp|P07014|SDHB_ECOLI	0.788	1.998e-14
sp|P0AAX8|YBIS_ECOLI	-0.112	0.74
sp|P0A731|MGSA_ECOLI	-0.469	0.046
sp|P69853|DMSD_ECOLI	0.446	0.31
sp|P0AB89|PUR8_ECOLI	-0.708	6.217e-15
sp|Q46851|GPR_ECOLI	1.103	0.0
sp|P23917|MAK_ECOLI	0.05	0.832
sp|P0A959|ALAA_ECOLI	0.072	0.996
sp|P0A9S3|GATD_ECOLI	0.341	0.001
sp|P0A8E1|YCFP_ECOLI	0.253	0.148
sp|P05459|PDXB_ECOLI	-0.079	0.666
sp|P0AC69|GLRX4_ECOLI	0.249	0.036
sp|P0A6I9|COAE_ECOLI	-0.401	0.132
sp|P39176|ERFK_ECOLI	0.665	0.0008202
sp|P08956|T1RK_ECOLI	-1.138	5.56e-09
sp|P67087|RSMI_ECOLI	-0.295	7.215e-05
sp|P0A6V1|GLGC_ECOLI	0.548	2.394e-07
sp|P0AF28|NARL_ECOLI	0.215	0.389
sp|P0ABF1|PCNB_ECOLI	0.091	0.746
sp|P0AEM0|FKBX_ECOLI	-0.731	0.0006521
sp|P10384|FADL_ECOLI	0.631	1.644e-06
sp|P76256|TSAB_ECOLI	0.571	0.004
sp|P39180|AG43_ECOLI	0.137	0.962
sp|P60472|UPPS_ECOLI	0.448	0.109
sp|P33012|SBMC_ECOLI	-0.01	0.873
sp|P37747|GLF_ECOLI	0.35	0.0001257
sp|P68206|YJBJ_ECOLI	0.085	0.858
sp|P30958|MFD_ECOLI	0.092	0.428
sp|P76537|YFEY_ECOLI	-0.395	0.093
sp|P0AEQ6|GLNP_ECOLI	-0.542	0.001
sp|P60340|TRUB_ECOLI	-0.106	0.753
sp|P76491|5DNU_ECOLI	0.225	0.491
sp|P0A8A2|YEEN_ECOLI	0.018	0.818
sp|Q47083|CBL_ECOLI	1.23	1.078e-05
sp|P0A9T0|SERA_ECOLI	-0.428	1.455e-06
sp|P69054|DHSC_ECOLI	0.217	0.836
sp|P27431|ROXA_ECOLI	0.157	0.191
sp|P0A8B2|YFCN_ECOLI	-0.04	1.0
sp|P28249|ASMA_ECOLI	0.385	0.059
sp|P0AGI8|TRKA_ECOLI	-0.057	0.499
sp|P77739|YNIA_ECOLI	0.841	4.064e-07
sp|P33030|YEIR_ECOLI	-0.36	0.032
sp|P0ADV1|LPTA_ECOLI	-0.049	0.867
sp|P0AG67|RS1_ECOLI	-0.49	1.865e-14
sp|P23869|PPIB_ECOLI	0.116	0.709
sp|P10408|SECA_ECOLI	-0.17	0.016
sp|P0A6J5|DADA_ECOLI	0.724	4.472e-10
sp|P23839|YICC_ECOLI	-0.197	0.017
sp|P0ACZ8|CUSR_ECOLI	0.555	0.0002154
sp|P07117|PUTP_ECOLI	-0.634	0.0005336
sp|P50457|PUUE_ECOLI	-0.304	0.26
sp|P0A7L3|RL20_ECOLI	-0.449	0.003
sp|P0A9M2|HPRT_ECOLI	0.028	0.456
sp|P14900|MURD_ECOLI	0.714	1.021e-05
sp|P0A921|PA1_ECOLI	-0.19	1.0
sp|P24215|UXUA_ECOLI	-0.184	0.044
sp|P0ABD3|BFR_ECOLI	1.482	0.0
sp|P0A9M8|PTA_ECOLI	-0.041	0.031
sp|P00894|ILVH_ECOLI	-0.32	0.0003781
sp|P0A968|CSPD_ECOLI	-0.761	0.01
sp|P0C0R7|RLME_ECOLI	-0.282	0.312
sp|P38038|CYSJ_ECOLI	0.094	0.06
sp|P0A8R7|YCJF_ECOLI	-0.095	0.605
sp|P23003|TRMA_ECOLI	-0.297	0.024
sp|P0AFD4|NUOH_ECOLI	0.455	0.543
sp|P09148|GAL7_ECOLI	-0.212	0.465
sp|P37595|IAAA_ECOLI	0.277	0.141
sp|P04335|FRSA_ECOLI	0.221	0.4
sp|Q46919|YQCC_ECOLI	0.125	0.049
sp|P30014|RNT_ECOLI	-0.432	0.238
sp|P0ABZ4|KDSC_ECOLI	-0.268	0.177
sp|P45579|HCXA_ECOLI	0.086	0.602
sp|P0ACV8|YMJA_ECOLI	-0.095	0.498
sp|P0A734|MINE_ECOLI	0.042	0.372
sp|P00561|AK1H_ECOLI	-0.57	7.55e-15
sp|P0AC81|LGUL_ECOLI	0.329	0.036
sp|P68187|MALK_ECOLI	-0.481	0.039
sp|P00968|CARB_ECOLI	-0.48	0.0
sp|P38521|YGGL_ECOLI	-0.577	0.012
sp|P28306|MLTG_ECOLI	-0.573	0.014
sp|P0ADT5|YGIC_ECOLI	-0.327	0.01
sp|P0AFV4|MEPS_ECOLI	-0.876	1.124e-07
sp|P76569|YFGD_ECOLI	-0.083	0.465
sp|P0ADS6|YGGE_ECOLI	0.364	0.003
sp|P75913|GHRA_ECOLI	-0.247	0.0008478
sp|P30870|GLNE_ECOLI	-0.331	0.145
sp|P32162|YIIS_ECOLI	1.321	6.768e-05
sp|P0A9J6|RBSK_ECOLI	0.142	0.465
sp|P0AET8|HDHA_ECOLI	1.479	0.0
sp|P16095|SDHL_ECOLI	0.348	0.936
sp|P77552|YDHQ_ECOLI	-0.53	0.001
sp|P33602|NUOG_ECOLI	-0.364	1.943e-05
sp|P64534|RCNB_ECOLI	0.036	0.978
sp|P0AEN1|FRE_ECOLI	-0.011	0.172
sp|P63224|GMHA_ECOLI	0.197	0.043
sp|P68066|GRCA_ECOLI	0.459	6.705e-05
sp|P0AGG2|TESB_ECOLI	0.624	0.0004242
sp|P45748|TSAC_ECOLI	0.516	0.0001607
sp|P00959|SYM_ECOLI	-0.023	0.421
sp|P0A910|OMPA_ECOLI	0.043	0.601
sp|P65367|YQCA_ECOLI	0.701	0.0004439
sp|P0A717|KPRS_ECOLI	-0.384	0.0002081
sp|P31473|RAVA_ECOLI	-0.152	0.007
sp|P0AEY5|MDAB_ECOLI	-0.127	0.929
sp|P0AE52|BCP_ECOLI	-0.38	0.001
sp|P0AFK9|POTD_ECOLI	-0.345	3.071e-05
sp|P61714|RISB_ECOLI	1.042	1.27e-06
sp|P0AAV4|PXPB_ECOLI	-0.088	0.634
sp|P31130|YDEI_ECOLI	0.831	0.004
sp|P04036|DAPB_ECOLI	0.979	3.73e-14
sp|P0AD61|KPYK1_ECOLI	0.24	0.0002656
sp|P0ACG1|STPA_ECOLI	-0.034	0.182
sp|Q47690|MMUM_ECOLI	0.699	0.0003747
sp|P0A7J7|RL11_ECOLI	-0.256	0.125
sp|P12996|BIOB_ECOLI	-0.865	6.304e-05
sp|P0ABB8|ATMA_ECOLI	-1.514	3.3e-09
sp|P37626|YHII_ECOLI	0.146	0.284
sp|P0A847|TGT_ECOLI	-0.576	1.287e-05
sp|P37765|RLUB_ECOLI	-0.136	0.341
sp|P0AB52|YCHN_ECOLI	0.771	0.975
sp|P0AC30|FTSX_ECOLI	-0.193	0.351
sp|P52061|IXTPA_ECOLI	0.167	0.225
sp|P0ADR6|RLMM_ECOLI	0.024	0.658
sp|P0ADZ4|RS15_ECOLI	-0.352	0.006
sp|P0AFB1|NLPI_ECOLI	0.124	0.385
sp|P15067|GLGX_ECOLI	0.469	0.002
sp|P31064|YEDE_ECOLI	-0.216	0.019
sp|P0A7J3|RL10_ECOLI	-0.407	9.528e-05
sp|P0A6T1|G6PI_ECOLI	0.181	0.025
sp|P02931|OMPF_ECOLI	-0.403	8.308e-07
sp|P39160|UXUB_ECOLI	-0.513	0.003
sp|P77293|GTRB_ECOLI	-0.114	0.408
sp|P0AEB0|CYSW_ECOLI	-0.3	0.219
sp|P0A8Y5|YIDA_ECOLI	-0.398	0.000467
sp|P0A7M2|RL28_ECOLI	-0.441	0.0004053
sp|P02930|TOLC_ECOLI	0.106	0.08
sp|P45578|LUXS_ECOLI	0.289	0.073
sp|P13482|TREA_ECOLI	0.391	0.035
sp|P76403|YEGQ_ECOLI	0.298	0.082
sp|P0AC33|FUMA_ECOLI	0.467	0.0
sp|P0A9R4|FER_ECOLI	0.503	0.011
sp|P0A9Q9|DHAS_ECOLI	0.785	3.651e-10
sp|Q46857|DKGA_ECOLI	0.69	2.481e-07
sp|P0ACY3|YEAG_ECOLI	0.997	0.0
sp|P0ABI4|CORA_ECOLI	-0.191	0.367
sp|P0A8Y3|YIHX_ECOLI	0.224	0.253
sp|P09151|LEU1_ECOLI	0.766	0.0
sp|P03023|LACI_ECOLI	-1.417	0.0001426
sp|P0C079|RELB_ECOLI	-0.838	0.163
sp|P42588|PAT_ECOLI	0.212	0.121
sp|P76143|LSRF_ECOLI	0.741	5.318e-06
sp|P12295|UNG_ECOLI	-0.294	0.447
sp|P61889|MDH_ECOLI	0.548	1.245e-12
sp|P07650|TYPH_ECOLI	0.197	0.14
sp|P0ABQ4|DYR_ECOLI	-0.042	0.755
sp|P0A905|SLYB_ECOLI	-0.006	0.45
sp|P0AEK4|FABI_ECOLI	-0.452	1.466e-06
sp|P0AEH1|RSEP_ECOLI	-0.2	0.272
sp|P60785|LEPA_ECOLI	-0.353	0.003
sp|P06992|RSMA_ECOLI	0.384	0.008
sp|P07012|RF2_ECOLI	0.312	0.003
sp|P25524|CODA_ECOLI	-0.718	1.278e-11
sp|P04983|RBSA_ECOLI	0.116	0.356
sp|P76243|YEAO_ECOLI	0.642	0.002
sp|P37749|WBBI_ECOLI	-0.036	0.559
sp|P62707|GPMA_ECOLI	0.434	3.964e-08
sp|P0ACB0|DNAB_ECOLI	-0.074	0.222
sp|P25714|YIDC_ECOLI	-0.513	0.009
sp|P07001|PNTA_ECOLI	-0.82	1.702e-10
sp|P0ABZ6|SURA_ECOLI	0.005	0.07
sp|P13009|METH_ECOLI	-0.112	0.026
sp|P0A825|GLYA_ECOLI	-0.445	1.336e-11
sp|P09546|PUTA_ECOLI	-0.213	0.187
sp|P09323|PTW3C_ECOLI	-0.251	0.014
sp|P0ADY7|RL16_ECOLI	-0.546	6.961e-05
sp|P0A6R3|FIS_ECOLI	-1.418	1.405e-06
sp|P0AEU7|SKP_ECOLI	-0.523	2.742e-05
sp|P06129|BTUB_ECOLI	0.071	0.778
sp|P24202|MRR_ECOLI	-0.095	0.214
sp|P37095|PEPB_ECOLI	0.068	0.254
sp|P0AGG8|TLDD_ECOLI	0.594	0.001
sp|P0A6A8|ACP_ECOLI	-0.998	5.094e-05
sp|P0AC47|FRDB_ECOLI	-0.707	2.293e-07
sp|P25522|MNME_ECOLI	-0.005	0.924
sp|P21165|PEPQ_ECOLI	0.075	0.742
sp|P69913|CSRA_ECOLI	1.277	5.58e-06
sp|P0AAI5|FABF_ECOLI	-0.098	0.08
sp|P0A6F9|CH10_ECOLI	-1.081	7.865e-12
sp|P76038|PUUD_ECOLI	-0.025	1.0
sp|P21338|RNI_ECOLI	0.112	0.74
sp|P76290|CMOA_ECOLI	0.203	0.092
sp|P21829|YBHA_ECOLI	-0.631	0.004
sp|P39377|IADA_ECOLI	-0.163	0.157
sp|P09158|SPEE_ECOLI	-0.364	0.014
sp|P0A821|SELA_ECOLI	-0.182	0.316
sp|P75874|YCCU_ECOLI	0.435	0.0006888
sp|P0AEI4|RIMO_ECOLI	-0.23	0.198
sp|P75823|LTAE_ECOLI	0.575	0.0005998
sp|P37665|YIAD_ECOLI	-0.472	0.081
sp|P04968|ILVA_ECOLI	-0.057	0.711
sp|P0A870|TALB_ECOLI	-0.063	0.931
sp|P0A8J2|DNAT_ECOLI	0.844	0.002
sp|P60757|HIS1_ECOLI	-0.567	1.715e-07
sp|P31808|YCIK_ECOLI	-0.087	0.159
sp|P27298|OPDA_ECOLI	0.077	0.244
sp|Q46948|YAJL_ECOLI	0.329	0.096
sp|P15639|PUR9_ECOLI	-0.581	3.442e-13
sp|P24255|RP54_ECOLI	0.455	0.003
sp|P00861|DCDA_ECOLI	-0.675	1.215e-05
sp|P0AFJ7|PITA_ECOLI	0.337	0.006
sp|P16701|CYST_ECOLI	0.302	0.179
sp|P69451|LCFA_ECOLI	0.166	0.299
sp|P62623|ISPH_ECOLI	0.025	0.579
sp|P07003|POXB_ECOLI	0.935	4.441e-16
sp|P27302|TKT1_ECOLI	-0.146	0.032
sp|P60723|RL4_ECOLI	-0.476	7.398e-05
sp|P33644|POLOX_ECOLI	0.185	0.411
sp|P0A7U3|RS19_ECOLI	-0.559	1.4e-06
sp|P33643|RLUD_ECOLI	0.401	0.104
sp|P0A9I3|GCVR_ECOLI	0.011	0.794
