protein	log2FC	p-val
sp|P0A8H6|YIHI_ECOLI	0.084	0.558
sp|P0ABT5|DUSB_ECOLI	-0.526	0.055
sp|P28248|DCD_ECOLI	1.062	1.521e-05
sp|P0ABS8|HOLE_ECOLI	-0.443	0.073
sp|P0AC13|DHPS_ECOLI	0.193	0.273
sp|P0A707|IF3_ECOLI	-0.24	0.0004494
sp|P0A9T0|SERA_ECOLI	-0.671	1.069e-10
sp|P0A881|TRPR_ECOLI	0.976	1.52e-05
sp|P0AF90|RRAB_ECOLI	0.786	0.041
sp|P0AB14|YCCJ_ECOLI	1.214	2.754e-08
sp|P60785|LEPA_ECOLI	-0.45	4.617e-05
sp|P0AEW4|CPDA_ECOLI	1.081	0.0001092
sp|P26365|AMIB_ECOLI	0.423	0.124
sp|P0A8D6|YMDB_ECOLI	1.948	5.877e-10
sp|P0AF70|YJEI_ECOLI	0.391	0.248
sp|P30860|ARTJ_ECOLI	-0.365	0.003
sp|P04391|OTC1_ECOLI	-0.31	0.053
sp|P0A8T7|RPOC_ECOLI	-0.26	8.595e-11
sp|P0A9W9|YRDA_ECOLI	-0.023	0.468
sp|P33644|POLOX_ECOLI	0.174	0.762
sp|P76256|TSAB_ECOLI	0.268	0.158
sp|P0ADC3|LOLC_ECOLI	-0.308	0.147
sp|P0A6Q3|FABA_ECOLI	-0.596	3.415e-07
sp|Q47083|CBL_ECOLI	0.314	0.275
sp|P0A8A4|PSRP_ECOLI	0.587	0.0003904
sp|P0A799|PGK_ECOLI	-0.193	0.002
sp|P0C079|RELB_ECOLI	-0.121	0.482
sp|Q46919|YQCC_ECOLI	0.822	0.002
sp|P0A8D3|YAII_ECOLI	-0.374	0.011
sp|P0AG51|RL30_ECOLI	-0.485	0.0003574
sp|P0AE88|CPXR_ECOLI	0.766	2.025e-07
sp|P0AA43|RSUA_ECOLI	0.053	0.499
sp|P69797|PTNAB_ECOLI	-0.105	0.01
sp|P0ADY1|PPID_ECOLI	0.14	0.51
sp|P0A6F9|CH10_ECOLI	-0.223	0.09
sp|P0ACG1|STPA_ECOLI	-0.022	0.148
sp|P0AE78|CORC_ECOLI	0.283	0.065
sp|P0A9T8|YBBA_ECOLI	0.13	0.438
sp|P0A7V3|RS3_ECOLI	-0.68	1.037e-10
sp|P00861|DCDA_ECOLI	-0.481	0.001
sp|P0A7L8|RL27_ECOLI	-0.425	0.015
sp|P0ADG7|IMDH_ECOLI	-0.374	6.796e-05
sp|P21170|SPEA_ECOLI	-0.013	0.925
sp|P0A715|KDSA_ECOLI	0.111	0.466
sp|P0AAH0|PSTB_ECOLI	0.111	0.985
sp|P0A9Q7|ADHE_ECOLI	-1.204	0.0
sp|P30870|GLNE_ECOLI	-0.522	0.007
sp|P62399|RL5_ECOLI	-0.462	3.65e-07
sp|P0AC81|LGUL_ECOLI	0.604	0.0004043
sp|P15288|PEPD_ECOLI	0.491	2.656e-05
sp|P05791|ILVD_ECOLI	-0.61	1.247e-11
sp|P75823|LTAE_ECOLI	0.813	1.899e-08
sp|P0AA16|OMPR_ECOLI	0.825	1.038e-09
sp|P0AB80|ILVE_ECOLI	-0.542	4.123e-05
sp|P37128|NUDK_ECOLI	-0.782	0.002
sp|P0AG14|SOHB_ECOLI	-0.082	0.171
sp|P0AAQ2|YAJD_ECOLI	-0.141	0.41
sp|P23367|MUTL_ECOLI	0.326	0.268
sp|P24215|UXUA_ECOLI	0.856	1.151e-08
sp|P77737|OPPF_ECOLI	-0.406	0.072
sp|P11454|ENTF_ECOLI	-0.546	0.004
sp|P0AG99|SECG_ECOLI	-0.783	3.542e-05
sp|P00963|ASNA_ECOLI	-0.803	3.289e-10
sp|P0A7E5|PYRG_ECOLI	-0.305	0.0003008
sp|P0A993|F16PA_ECOLI	1.897	0.0
sp|P0A9U3|YBIT_ECOLI	-0.433	0.0001224
sp|P0A9N4|PFLA_ECOLI	0.579	0.026
sp|P00888|AROF_ECOLI	-0.033	0.221
sp|P0ACA3|SSPA_ECOLI	0.335	0.081
sp|P0AG78|SUBI_ECOLI	0.652	2.484e-11
sp|P22259|PCKA_ECOLI	2.278	0.0
sp|P0ABP8|DEOD_ECOLI	0.637	1.162e-06
sp|P64506|YEBY_ECOLI	-0.016	0.895
sp|P0AB67|PNTB_ECOLI	-1.074	1.11e-15
sp|P77214|CUSF_ECOLI	0.032	0.543
sp|P0A855|TOLB_ECOLI	0.153	0.335
sp|P21829|YBHA_ECOLI	-0.562	0.012
sp|P37330|MASZ_ECOLI	3.774	0.0
sp|P11557|DAMX_ECOLI	0.093	0.205
sp|P0ACF4|DBHB_ECOLI	0.439	0.047
sp|P0A744|MSRA_ECOLI	0.306	0.01
sp|P0AB77|KBL_ECOLI	1.165	1.101e-07
sp|P0AG86|SECB_ECOLI	0.059	0.898
sp|P0ADX9|RSMD_ECOLI	-0.223	0.358
sp|P0A847|TGT_ECOLI	-0.294	0.022
sp|P0A7D1|PTH_ECOLI	-0.315	0.005
sp|P37690|ENVC_ECOLI	-0.069	0.542
sp|P32680|YJAG_ECOLI	-0.105	0.277
sp|P0ADU5|YGIW_ECOLI	0.779	2.328e-06
sp|Q59385|COPA_ECOLI	0.658	5.745e-08
sp|P0A6R0|FABH_ECOLI	0.643	1.615e-06
sp|P0A6T5|GCH1_ECOLI	-0.769	3.551e-09
sp|P61320|LOLB_ECOLI	0.801	1.461e-06
sp|P0A8R0|RRAA_ECOLI	0.103	0.472
sp|P0ADV1|LPTA_ECOLI	0.394	0.05
sp|P0ABN5|DCUA_ECOLI	-0.388	0.003
sp|P27833|WECE_ECOLI	-0.498	0.008
sp|P25535|UBII_ECOLI	0.066	0.614
sp|P12295|UNG_ECOLI	-0.033	0.67
sp|P76658|HLDE_ECOLI	-0.408	8.258e-05
sp|P0A7H6|RECR_ECOLI	-0.242	0.347
sp|P0A8G0|UVRC_ECOLI	-0.053	0.741
sp|P0AB91|AROG_ECOLI	-0.988	4.396e-14
sp|P08660|AK3_ECOLI	-0.615	1.164e-12
sp|P0A917|OMPX_ECOLI	-0.304	0.003
sp|P0A7E1|PYRD_ECOLI	-0.851	2.887e-15
sp|P25738|MSYB_ECOLI	1.534	7.396e-10
sp|P45955|CPOB_ECOLI	-0.352	0.0002616
sp|P0A850|TIG_ECOLI	-0.256	0.004
sp|P61316|LOLA_ECOLI	0.365	0.011
sp|P76342|MSRP_ECOLI	1.02	0.002
sp|P75830|MACA_ECOLI	-0.196	0.107
sp|P75791|YBIU_ECOLI	-0.108	0.232
sp|P0AC69|GLRX4_ECOLI	0.288	0.005
sp|P0AAI3|FTSH_ECOLI	-0.044	0.196
sp|P0A759|NAGB_ECOLI	0.668	9.593e-06
sp|P11446|ARGC_ECOLI	-0.284	0.016
sp|P0AAC8|ISCA_ECOLI	-0.483	0.004
sp|P09424|MTLD_ECOLI	1.342	0.0
sp|P76402|YEGP_ECOLI	1.589	6.623e-09
sp|P19624|PDXA_ECOLI	1.035	0.0001752
sp|P0AF93|RIDA_ECOLI	1.169	1.531e-11
sp|P75792|SUPH_ECOLI	-0.31	0.512
sp|P25524|CODA_ECOLI	-0.156	0.378
sp|P08192|FOLC_ECOLI	0.271	0.023
sp|P0C0L7|PROP_ECOLI	-0.434	0.0006457
sp|P60546|KGUA_ECOLI	0.255	0.969
sp|P0A9F6|GCVA_ECOLI	-0.43	0.273
sp|P76341|HIUH_ECOLI	0.44	0.118
sp|P03007|DPO3E_ECOLI	-1.165	0.046
sp|P27836|WECG_ECOLI	0.497	0.073
sp|P0AFP4|YBBO_ECOLI	-0.66	0.004
sp|P40120|OPGD_ECOLI	-0.104	0.205
sp|P76507|YFDI_ECOLI	-0.107	0.977
sp|P08179|PUR3_ECOLI	0.211	0.051
sp|P0AB61|YCIN_ECOLI	-0.207	0.102
sp|P38054|CUSA_ECOLI	-0.122	0.042
sp|P00550|PTM3C_ECOLI	0.241	0.006
sp|P30749|MOAE_ECOLI	0.06	0.747
sp|P37765|RLUB_ECOLI	-0.023	0.947
sp|P0A7B8|HSLV_ECOLI	-0.533	0.091
sp|P12281|MOEA_ECOLI	0.565	0.0002331
sp|P75745|PXPC_ECOLI	0.248	0.776
sp|P0AF20|NAGC_ECOLI	0.079	0.532
sp|P13009|METH_ECOLI	-0.418	8.693e-13
sp|P37757|YDDE_ECOLI	-0.222	0.478
sp|P77735|YAJO_ECOLI	1.329	0.0
sp|P24232|HMP_ECOLI	0.122	0.958
sp|P0A7R5|RS10_ECOLI	-0.41	0.000127
sp|P63224|GMHA_ECOLI	0.72	3.759e-11
sp|P0ADA1|TESA_ECOLI	1.07	9.084e-05
sp|P0ABU7|EXBB_ECOLI	-0.922	2.253e-07
sp|P15770|AROE_ECOLI	0.724	0.0001627
sp|P60422|RL2_ECOLI	-0.733	0.0
sp|P0A6I6|COAD_ECOLI	0.538	0.026
sp|P76034|YCIT_ECOLI	0.258	0.285
sp|P00490|PHSM_ECOLI	-0.431	4.454e-07
sp|P07762|GLGB_ECOLI	0.623	3.522e-05
sp|P27249|GLND_ECOLI	-0.432	0.336
sp|P0ADG4|SUHB_ECOLI	-0.133	0.419
sp|P0A800|RPOZ_ECOLI	-0.026	0.107
sp|P0A7S9|RS13_ECOLI	-0.242	0.0008127
sp|P31134|POTG_ECOLI	0.204	0.099
sp|P0A6I3|COAA_ECOLI	-0.103	0.492
sp|P76128|DDPA_ECOLI	1.3	3.056e-05
sp|P0A9W6|IBAG_ECOLI	-0.262	0.263
sp|P0AC84|GLO2_ECOLI	1.139	3.765e-07
sp|P76503|FADI_ECOLI	0.797	5.476e-07
sp|P33030|YEIR_ECOLI	-0.121	0.046
sp|P0A9X4|MREB_ECOLI	-0.351	3.216e-05
sp|P0A9C5|GLN1B_ECOLI	-0.782	0.0
sp|P14900|MURD_ECOLI	0.938	4.886e-06
sp|P0AGG2|TESB_ECOLI	0.613	0.0007959
sp|P60664|HIS6_ECOLI	-0.492	0.0005509
