protein	log2FC	p-val
sp|P0A7I7|RIBA_ECOLI	-0.425	0.007
sp|P61714|RISB_ECOLI	-0.198	0.157
sp|P0A6W5|GREA_ECOLI	0.209	0.157
sp|P23538|PPSA_ECOLI	0.845	0.0
sp|P0A9R4|FER_ECOLI	-0.438	0.012
sp|P76270|MSRC_ECOLI	0.108	0.552
sp|P37330|MASZ_ECOLI	2.907	0.0
sp|P0ABD5|ACCA_ECOLI	0.117	0.374
sp|P04995|EX1_ECOLI	0.831	0.003
sp|P0A9M0|LON_ECOLI	0.137	0.151
sp|Q46829|BGLA_ECOLI	0.365	0.037
sp|P76128|DDPA_ECOLI	1.384	9.552e-10
sp|P0A8M0|SYN_ECOLI	-0.447	1.681e-08
sp|P0AAF6|ARTP_ECOLI	-0.151	0.479
sp|P76445|LPXT_ECOLI	0.13	0.556
sp|P23836|PHOP_ECOLI	0.115	0.403
sp|P0AD10|YECJ_ECOLI	-0.334	0.06
sp|P77667|SUFA_ECOLI	-0.501	0.309
sp|P0AAV4|PXPB_ECOLI	0.231	0.423
sp|P75931|YCEM_ECOLI	0.398	0.121
sp|P77218|EUTD_ECOLI	0.177	0.54
sp|P0A8F0|UPP_ECOLI	-0.257	0.0008707
sp|P0ABB8|ATMA_ECOLI	0.473	0.003
sp|P75915|YCDY_ECOLI	-0.562	0.001
sp|P00960|SYGA_ECOLI	0.209	0.105
sp|P0AFB1|NLPI_ECOLI	0.681	0.0001331
sp|P22333|ADD_ECOLI	-0.436	0.049
sp|P36649|CUEO_ECOLI	-0.746	7.139e-07
sp|P0A7T3|RS16_ECOLI	-0.464	0.004
sp|P0A8J4|YBED_ECOLI	0.609	0.015
sp|P00509|AAT_ECOLI	0.442	2.914e-08
sp|P69503|APT_ECOLI	-0.873	8.909e-06
sp|P45568|DXR_ECOLI	0.491	0.142
sp|P30850|RNB_ECOLI	-0.473	1.755e-08
sp|P77808|CINAL_ECOLI	0.693	0.002
sp|P0A7J3|RL10_ECOLI	0.149	0.494
sp|P17443|MURG_ECOLI	0.738	0.003
sp|P0A734|MINE_ECOLI	0.471	0.005
sp|P0AEX9|MALE_ECOLI	2.128	0.0
sp|P05055|PNP_ECOLI	0.301	1.593e-06
sp|P0AG63|RS17_ECOLI	0.029	0.128
sp|P0A9L3|FKBB_ECOLI	-0.335	0.005
sp|P0ADZ0|RL23_ECOLI	-0.288	0.063
sp|P0AG67|RS1_ECOLI	-0.336	4.302e-11
sp|P22523|MUKB_ECOLI	0.583	3.331e-15
sp|P12998|BIOF_ECOLI	0.202	0.882
sp|P06846|EBGR_ECOLI	0.591	0.057
sp|P31828|PQQL_ECOLI	0.195	0.591
sp|P68206|YJBJ_ECOLI	1.723	1.94e-06
sp|P0A6S7|GPDA_ECOLI	0.166	0.321
sp|P15067|GLGX_ECOLI	0.146	0.199
sp|P0A7M6|RL29_ECOLI	-0.151	0.552
sp|P0ACR9|MPRA_ECOLI	-0.348	0.012
sp|P0ADC1|LPTE_ECOLI	0.228	0.165
sp|P60716|LIPA_ECOLI	0.452	0.003
sp|P0A6H5|HSLU_ECOLI	0.174	0.159
sp|P14900|MURD_ECOLI	0.152	0.974
sp|P0AEW4|CPDA_ECOLI	0.519	0.048
sp|P0A8R9|HDFR_ECOLI	0.376	0.283
sp|P00954|SYW_ECOLI	-0.298	0.003
sp|P50457|PUUE_ECOLI	0.99	3.682e-08
sp|P76115|YNCD_ECOLI	-0.424	0.285
sp|P0AGC3|SLT_ECOLI	0.061	0.659
sp|P00895|TRPE_ECOLI	-0.137	0.007
sp|P0ADU5|YGIW_ECOLI	0.931	1.028e-07
sp|P37642|YHJD_ECOLI	0.967	2.297e-05
sp|P21829|YBHA_ECOLI	-0.249	0.135
sp|P0AC02|BAMD_ECOLI	-0.165	0.097
sp|Q46927|TCDA_ECOLI	1.098	0.004
sp|P61175|RL22_ECOLI	-0.444	0.0005539
sp|P15082|SRLR_ECOLI	0.569	0.059
sp|P31460|DGOR_ECOLI	0.68	0.088
sp|P25894|LOIP_ECOLI	1.001	6.269e-10
sp|P0A8W0|NANR_ECOLI	0.302	0.14
sp|P0A7Y4|RNH_ECOLI	0.097	0.776
sp|P25552|GPPA_ECOLI	0.96	0.0001845
sp|P76193|YNHG_ECOLI	1.111	4.669e-11
sp|P69451|LCFA_ECOLI	2.078	2.317e-11
sp|P0AGK8|ISCR_ECOLI	-0.211	0.13
sp|P0AG14|SOHB_ECOLI	0.071	0.552
sp|P62707|GPMA_ECOLI	0.229	0.002
sp|P37595|IAAA_ECOLI	-0.212	0.247
sp|P69811|PTFAH_ECOLI	1.08	4.707e-14
sp|P13009|METH_ECOLI	-0.56	9.326e-15
sp|P0A7Y8|RNPA_ECOLI	0.052	0.722
sp|P0A881|TRPR_ECOLI	0.258	0.366
sp|P77526|YFCG_ECOLI	0.106	0.481
sp|P13000|BIOD1_ECOLI	-0.629	0.0003198
sp|P0AB65|ACYP_ECOLI	-1.031	0.017
sp|P0AEW6|INGK_ECOLI	-0.208	0.11
sp|P77182|MNMC_ECOLI	0.725	0.009
sp|P0AFG0|NUSG_ECOLI	-0.013	0.876
sp|P0ACI0|ROB_ECOLI	0.284	0.261
sp|P65294|YGDR_ECOLI	1.781	1.185e-06
sp|P08390|USG_ECOLI	-0.072	0.268
sp|P0A9T0|SERA_ECOLI	-0.561	1.53e-10
sp|P77552|YDHQ_ECOLI	0.549	0.006
sp|P39325|YTFQ_ECOLI	4.158	1.647e-08
sp|P76108|YDCS_ECOLI	3.56	2.962e-13
sp|Q46868|UBIK_ECOLI	0.124	0.318
sp|P0AB55|YCII_ECOLI	0.318	0.234
sp|P0A9U3|YBIT_ECOLI	-0.42	4.308e-05
sp|P0A8A8|RIMP_ECOLI	0.067	0.409
sp|P21179|CATE_ECOLI	1.095	0.0
sp|P60906|SYH_ECOLI	-0.388	0.0001133
sp|P09126|HEM4_ECOLI	0.628	0.002
sp|P39321|TAMB_ECOLI	0.994	2.871e-06
sp|P0AEM4|FLGM_ECOLI	1.529	5.14e-09
sp|P38038|CYSJ_ECOLI	-0.676	0.0
sp|P13029|KATG_ECOLI	1.897	0.0
sp|P76346|MTFA_ECOLI	2.763	8.681e-10
sp|P0A944|RIMI_ECOLI	0.05	0.998
sp|P0A858|TPIS_ECOLI	0.075	0.794
sp|P78055|FSAA_ECOLI	0.212	0.299
sp|P0AFP4|YBBO_ECOLI	0.171	0.801
sp|P77712|FADM_ECOLI	1.681	0.0001786
sp|P0ADS9|YGGN_ECOLI	0.237	0.156
sp|P36999|RLMA_ECOLI	-0.578	0.072
sp|P0A821|SELA_ECOLI	0.005	0.929
sp|P27829|WECC_ECOLI	-0.388	0.212
sp|P61949|FLAV_ECOLI	0.075	0.859
sp|P37671|YIAJ_ECOLI	0.085	0.789
sp|P08192|FOLC_ECOLI	-0.15	0.259
sp|P0A759|NAGB_ECOLI	2.214	0.0
sp|P69222|IF1_ECOLI	-0.258	0.197
sp|P77499|SUFC_ECOLI	0.027	0.83
sp|P62617|ISPF_ECOLI	-0.13	0.068
sp|P63389|YHES_ECOLI	0.201	0.252
sp|P27242|WAAU_ECOLI	1.199	2.847e-07
sp|Q93K97|ADPP_ECOLI	0.057	0.529
sp|P0AAH8|SAPF_ECOLI	0.902	0.006
sp|P52094|HISQ_ECOLI	0.721	0.027
sp|P0AGL7|RSME_ECOLI	-0.155	0.4
sp|P27278|NADR_ECOLI	0.138	0.968
sp|P10408|SECA_ECOLI	0.396	3.439e-08
sp|P0AE01|TRMJ_ECOLI	0.3	0.071
sp|P43671|PQIB_ECOLI	0.156	0.765
sp|P0ADS6|YGGE_ECOLI	-0.033	0.622
sp|P0A847|TGT_ECOLI	-1.248	9.548e-14
sp|P0A7Z0|RPIA_ECOLI	-0.003	0.805
sp|P00350|6PGD_ECOLI	-0.514	2.123e-13
sp|P31120|GLMM_ECOLI	0.526	4.451e-07
sp|P27247|PLSX_ECOLI	0.705	0.021
sp|P11446|ARGC_ECOLI	-0.564	4.058e-05
sp|P0AB89|PUR8_ECOLI	-0.352	8.949e-06
sp|P76002|PLIG_ECOLI	-0.412	0.004
sp|P39401|OPGB_ECOLI	0.218	0.238
sp|P36683|ACNB_ECOLI	1.152	0.0
sp|P0AG30|RHO_ECOLI	-0.438	5.135e-09
sp|P0ADA5|YAJG_ECOLI	-0.123	0.548
sp|P22524|MUKE_ECOLI	-0.128	0.566
sp|P68187|MALK_ECOLI	2.713	7.45e-13
sp|P76539|YPEA_ECOLI	0.762	0.005
sp|P0A968|CSPD_ECOLI	2.28	1.865e-07
sp|P26616|MAO1_ECOLI	0.076	0.641
sp|P17169|GLMS_ECOLI	-1.178	0.0
sp|P0AAH0|PSTB_ECOLI	0.419	0.028
sp|P37146|RIR4_ECOLI	-0.416	0.231
sp|P0A9T8|YBBA_ECOLI	-0.066	0.628
sp|P21177|FADB_ECOLI	3.1	0.0
sp|P77748|YDIJ_ECOLI	0.381	1.62e-05
sp|P0AGG8|TLDD_ECOLI	-0.629	0.0004169
sp|P0CB39|EPTC_ECOLI	0.059	1.0
sp|P0AE88|CPXR_ECOLI	-0.136	0.397
sp|P77570|ANMK_ECOLI	0.675	0.014
sp|P0A9K3|PHOL_ECOLI	-0.253	0.013
