protein	log2FC	p-val
sp|P0AD10|YECJ_ECOLI	-0.64	0.0008377
sp|P30871|3PASE_ECOLI	0.305	0.032
sp|P36979|RLMN_ECOLI	-1.024	7.483e-14
sp|P28903|NRDD_ECOLI	0.288	0.138
sp|P62399|RL5_ECOLI	-0.335	0.003
sp|P06989|HIS2_ECOLI	-0.07	0.865
sp|P0AG84|YGHA_ECOLI	1.971	4.441e-16
sp|P0AAT9|YBEL_ECOLI	1.236	2.831e-12
sp|P33643|RLUD_ECOLI	-0.018	0.953
sp|P0C093|SLMA_ECOLI	0.153	0.805
sp|P0AC33|FUMA_ECOLI	-0.844	0.0
sp|P0ABB4|ATPB_ECOLI	-0.392	8.123e-12
sp|P0AAC0|USPE_ECOLI	0.974	0.0
sp|Q57261|TRUD_ECOLI	-0.136	0.1
sp|P09030|EX3_ECOLI	-0.318	0.003
sp|P39830|YBAL_ECOLI	0.796	0.002
sp|P0AE18|MAP1_ECOLI	0.12	0.069
sp|P0A8R4|SLYX_ECOLI	-0.47	0.025
sp|P06149|DLD_ECOLI	0.191	0.004
sp|P0A821|SELA_ECOLI	-0.125	0.181
sp|P69054|DHSC_ECOLI	-1.142	3.009e-08
sp|P0AGD1|SODC_ECOLI	2.267	2.469e-12
sp|P76621|GLAH_ECOLI	0.688	0.053
sp|P23200|MGLC_ECOLI	1.928	4.803e-08
sp|P30864|YAFC_ECOLI	0.404	0.252
sp|P77756|QUEC_ECOLI	0.083	0.725
sp|P0AA10|RL13_ECOLI	-0.343	0.002
sp|P64506|YEBY_ECOLI	-0.17	0.531
sp|P0A9R7|FTSE_ECOLI	0.45	0.18
sp|P67095|YFCE_ECOLI	0.531	0.023
sp|P76177|YDGH_ECOLI	0.204	0.05
sp|P76270|MSRC_ECOLI	0.186	0.202
sp|P21169|DCOR_ECOLI	-0.631	0.0003798
sp|P0A6L9|HSCB_ECOLI	0.126	0.553
sp|P67603|YQFB_ECOLI	0.26	0.125
sp|P0AEK2|FABG_ECOLI	-0.104	0.296
sp|P0A799|PGK_ECOLI	0.445	4.985e-11
sp|P0A6D7|AROK_ECOLI	-0.19	0.152
sp|P0A729|NTPPB_ECOLI	1.152	0.0
sp|P77434|ALAC_ECOLI	0.457	0.007
sp|P0AA31|YEDF_ECOLI	-0.44	0.128
sp|P07623|METAS_ECOLI	-0.036	0.907
sp|P26646|ACUI_ECOLI	0.69	1.616e-10
sp|P23917|MAK_ECOLI	0.246	0.366
sp|P08192|FOLC_ECOLI	-0.768	0.001
sp|P05793|ILVC_ECOLI	-0.469	0.0
sp|P31130|YDEI_ECOLI	1.834	4.472e-08
sp|P0A9H1|MUG_ECOLI	0.986	0.0006338
sp|P08395|SPPA_ECOLI	-0.071	0.708
sp|P0ABS1|DKSA_ECOLI	0.021	0.554
sp|P0AE78|CORC_ECOLI	0.261	0.039
sp|P77213|GCS2_ECOLI	0.822	3.267e-05
sp|P0AC13|DHPS_ECOLI	-0.394	0.005
sp|P0AG67|RS1_ECOLI	-0.283	7.927e-07
sp|P64624|YHEO_ECOLI	0.634	0.026
sp|P0ACY3|YEAG_ECOLI	1.509	0.0
sp|P0AB43|YCGL_ECOLI	0.334	0.083
sp|P25738|MSYB_ECOLI	1.362	1.511e-08
sp|P09169|OMPT_ECOLI	-0.339	2.718e-05
sp|P17115|GUTQ_ECOLI	-0.261	0.277
sp|P0A796|PFKA_ECOLI	0.62	1.336e-06
sp|P31455|YIDR_ECOLI	0.328	0.318
sp|P0ABQ0|COABC_ECOLI	0.178	0.431
sp|P0AG24|SPOT_ECOLI	0.283	0.471
sp|P38038|CYSJ_ECOLI	-0.063	0.138
sp|P24177|ACRD_ECOLI	-0.025	0.371
sp|P76594|PKA_ECOLI	0.825	9.43e-05
sp|P0A8H6|YIHI_ECOLI	0.03	0.808
sp|P0ABE2|BOLA_ECOLI	0.469	0.038
sp|P0ACF8|HNS_ECOLI	0.115	0.24
sp|P36673|TRER_ECOLI	0.236	0.771
sp|P0ACB7|HEMY_ECOLI	0.066	0.311
sp|P13029|KATG_ECOLI	0.984	0.0
sp|P0AFG8|ODP1_ECOLI	-0.38	1.332e-15
sp|P09832|GLTD_ECOLI	0.548	1.166e-10
sp|P0ADU5|YGIW_ECOLI	0.631	2.737e-05
sp|P0A840|SURE_ECOLI	0.136	0.394
sp|P0ADA5|YAJG_ECOLI	-0.329	0.019
sp|P0AFG6|ODO2_ECOLI	-0.691	4.441e-16
sp|P42593|FADH_ECOLI	0.384	0.0004051
sp|P0A927|TSX_ECOLI	-0.674	0.0001385
