protein	log2FC	p-val
sp|P25397|TEHB_ECOLI	-0.372	0.026
sp|P77330|BORD_ECOLI	-0.268	0.76
sp|P61320|LOLB_ECOLI	0.18	0.206
sp|P08312|SYFA_ECOLI	-0.096	0.574
sp|P25553|ALDA_ECOLI	3.482	0.0
sp|P23882|FMT_ECOLI	0.353	0.064
sp|P0ADB1|OSME_ECOLI	-0.066	0.199
sp|P0A840|SURE_ECOLI	0.504	0.06
sp|P09147|GALE_ECOLI	0.384	0.0002677
sp|P28635|METQ_ECOLI	-0.211	0.028
sp|P0ABP8|DEOD_ECOLI	0.481	0.0006525
sp|P0AGA2|SECY_ECOLI	0.189	0.174
sp|P0AAG3|GLTL_ECOLI	0.373	0.148
sp|P0AFI5|PBP7_ECOLI	0.63	0.042
sp|P0A6F1|CARA_ECOLI	-0.836	1.554e-14
sp|P08395|SPPA_ECOLI	0.144	0.38
sp|P22729|LIVM_ECOLI	0.321	0.108
sp|P0AF52|GHXP_ECOLI	-0.119	0.788
sp|P37327|YFDC_ECOLI	0.921	0.01
sp|P0A9Z1|GLNB_ECOLI	0.192	0.747
sp|P00864|CAPP_ECOLI	-1.024	0.0
sp|P39160|UXUB_ECOLI	0.826	0.0005009
sp|P64540|YFCL_ECOLI	-0.416	0.163
sp|P0A8V6|FADR_ECOLI	-0.025	0.873
sp|P39176|ERFK_ECOLI	0.138	0.355
sp|P25738|MSYB_ECOLI	-0.072	0.713
sp|P64588|YQJI_ECOLI	-0.246	0.608
sp|P45464|LPOA_ECOLI	0.423	1.612e-05
sp|P0ACK5|DEOR_ECOLI	0.035	0.453
sp|P0AG51|RL30_ECOLI	-0.373	0.006
sp|P75818|YBJP_ECOLI	0.222	0.272
sp|P76569|YFGD_ECOLI	0.266	0.215
sp|P12995|BIOA_ECOLI	-0.423	0.152
sp|P0AG78|SUBI_ECOLI	-1.884	0.0
sp|P0A7E1|PYRD_ECOLI	-0.511	7.78e-08
sp|P39838|RCSD_ECOLI	0.689	2.533e-05
sp|P23886|CYDC_ECOLI	0.627	0.0001177
sp|P60546|KGUA_ECOLI	-0.768	5.756e-06
sp|P0AEL6|FEPB_ECOLI	0.314	0.141
sp|P0A7L8|RL27_ECOLI	-0.48	0.005
sp|P37440|UCPA_ECOLI	2.041	0.0
sp|P64624|YHEO_ECOLI	0.158	0.381
sp|P0AED5|UVRY_ECOLI	0.529	0.002
sp|P75821|YBJS_ECOLI	0.504	0.233
sp|P21179|CATE_ECOLI	0.68	0.0
sp|P76576|YFGM_ECOLI	-0.123	0.454
sp|P52097|TILS_ECOLI	0.147	0.596
sp|P00887|AROH_ECOLI	-0.945	6.909e-08
sp|P0AC41|SDHA_ECOLI	1.84	0.0
sp|P0A6P1|EFTS_ECOLI	-0.44	3.112e-10
sp|P13029|KATG_ECOLI	1.347	0.0
sp|P27306|STHA_ECOLI	1.89	0.0
sp|P0A8W5|YQGE_ECOLI	0.148	0.398
sp|Q46948|YAJL_ECOLI	0.023	0.777
sp|P33940|MQO_ECOLI	0.668	1.7e-11
sp|P0AEZ9|MOAB_ECOLI	0.1	0.48
sp|P60472|UPPS_ECOLI	0.478	0.135
sp|P0A794|PDXJ_ECOLI	0.302	0.012
sp|P0AEI4|RIMO_ECOLI	-0.479	0.0008062
sp|P28248|DCD_ECOLI	0.527	0.027
sp|P0A9A6|FTSZ_ECOLI	-0.299	0.0004676
sp|P0AFK0|PMBA_ECOLI	-0.19	0.115
sp|P0ABF6|CDD_ECOLI	0.141	0.509
sp|P0A7J3|RL10_ECOLI	-0.135	0.304
sp|P0ADA3|NLPD_ECOLI	0.494	0.002
sp|P0AB89|PUR8_ECOLI	-0.408	1.158e-06
sp|P0A6C5|ARGA_ECOLI	-0.262	0.012
sp|P0AB26|YCEB_ECOLI	-0.383	0.073
sp|P0A8H6|YIHI_ECOLI	-0.114	0.504
sp|P0A7B8|HSLV_ECOLI	0.849	2.318e-05
sp|P04693|TYRB_ECOLI	0.376	0.000821
sp|P0AGE9|SUCD_ECOLI	1.513	0.0
sp|P77395|CNOX_ECOLI	-0.076	0.381
sp|P0A901|BLC_ECOLI	-0.163	0.106
sp|P77475|YQAB_ECOLI	0.257	0.39
sp|P21165|PEPQ_ECOLI	0.474	7.031e-08
sp|P0A6V1|GLGC_ECOLI	0.997	3.491e-11
sp|P23830|PSS_ECOLI	0.691	8.729e-09
sp|P27550|ACSA_ECOLI	3.632	0.0
sp|P0ABB0|ATPA_ECOLI	0.684	0.0
sp|P0A7U7|RS20_ECOLI	-0.507	0.012
sp|P0AGB6|RPOE_ECOLI	0.077	0.625
sp|P37903|USPF_ECOLI	2.291	6.661e-16
sp|P04982|RBSD_ECOLI	2.273	2.665e-15
sp|Q46893|ISPD_ECOLI	0.679	0.003
sp|P77434|ALAC_ECOLI	0.294	0.275
sp|P37647|KDGK_ECOLI	0.596	0.0001628
sp|P0ACG1|STPA_ECOLI	-1.52	0.0
sp|P0A821|SELA_ECOLI	0.545	6.308e-06
sp|P37051|PURU_ECOLI	-0.725	2.859e-06
sp|P04335|FRSA_ECOLI	0.026	0.675
sp|P0A867|TALA_ECOLI	-0.242	0.0001134
sp|P08506|DACC_ECOLI	1.021	0.0
sp|P0AA91|YEAY_ECOLI	0.768	1.954e-05
sp|P69490|CCME_ECOLI	0.548	0.123
sp|P13445|RPOS_ECOLI	-0.746	0.002
sp|P0A9Q9|DHAS_ECOLI	-0.52	6.518e-08
sp|P67095|YFCE_ECOLI	-0.293	0.135
sp|P0A6D3|AROA_ECOLI	-0.65	1.538e-08
sp|P65870|QUED_ECOLI	-0.208	0.226
sp|P0ADP0|YIGB_ECOLI	0.275	0.145
sp|P0A847|TGT_ECOLI	-0.955	4.506e-11
sp|P68767|AMPA_ECOLI	0.583	2.309e-07
sp|P61175|RL22_ECOLI	-0.589	6.704e-07
sp|P0AA99|YAFK_ECOLI	-0.551	0.018
sp|P0A6T5|GCH1_ECOLI	-1.318	0.0
sp|P0AG55|RL6_ECOLI	-0.189	0.063
sp|P0ACP1|CRA_ECOLI	1.253	4.376e-10
sp|P0A9W0|ULAR_ECOLI	0.621	0.024
sp|P38051|MENF_ECOLI	0.373	0.161
sp|P08622|DNAJ_ECOLI	-0.235	0.07
sp|P0A9J8|CMPDT_ECOLI	-0.192	0.305
sp|P39173|YEAD_ECOLI	-0.542	1.465e-05
sp|P39286|RSGA_ECOLI	0.262	0.063
sp|P37747|GLF_ECOLI	-0.323	0.005
sp|P0AD33|YFCZ_ECOLI	0.933	0.003
sp|P0CE48|EFTU2_ECOLI	0.067	0.367
sp|P0A991|ALF1_ECOLI	0.977	0.0
sp|P0AFX4|RSD_ECOLI	0.96	8.532e-06
sp|P76541|EUTL_ECOLI	0.449	0.324
sp|P76187|YDHF_ECOLI	0.334	0.01
sp|P23930|LNT_ECOLI	0.79	0.002
sp|P0A8J2|DNAT_ECOLI	-0.398	0.254
sp|P37615|YHHM_ECOLI	0.418	0.087
sp|P0A6S5|FTSB_ECOLI	0.489	0.105
sp|P0AAB4|UBID_ECOLI	1.033	1.548e-10
sp|P0A734|MINE_ECOLI	0.738	2.753e-06
sp|P0ABT5|DUSB_ECOLI	-0.17	0.517
sp|P09151|LEU1_ECOLI	-0.137	0.151
sp|P31677|OTSA_ECOLI	-0.145	0.548
sp|P75791|YBIU_ECOLI	-0.417	0.015
sp|P0AE28|AROM_ECOLI	0.869	0.002
sp|P0AEN1|FRE_ECOLI	0.432	0.017
sp|P39099|DEGQ_ECOLI	0.664	1.029e-12
sp|P0AE12|AMN_ECOLI	0.395	0.0005844
sp|P0AAX8|YBIS_ECOLI	-0.093	0.715
sp|P64585|YQJE_ECOLI	0.841	0.01
sp|P0A749|MURA_ECOLI	0.066	0.608
sp|P37005|LAST_ECOLI	-0.663	0.002
sp|P0AGI8|TRKA_ECOLI	0.518	0.104
sp|P0ACP7|PURR_ECOLI	0.184	0.116
sp|P37769|KDUD_ECOLI	0.842	0.018
sp|P75804|YLII_ECOLI	0.636	0.051
sp|P67080|PLPHP_ECOLI	0.006	0.932
sp|P0AAB6|GALF_ECOLI	-0.421	0.0001334
sp|P0A7M6|RL29_ECOLI	-0.599	0.007
sp|P77171|YDCI_ECOLI	1.051	2.084e-07
sp|P37665|YIAD_ECOLI	-0.208	0.353
sp|P26648|FTSP_ECOLI	0.35	0.344
sp|P33916|YEJF_ECOLI	1.252	0.0001259
sp|Q47679|YAFV_ECOLI	0.382	0.37
sp|P0ACP5|GNTR_ECOLI	0.585	0.002
sp|P37765|RLUB_ECOLI	-0.214	0.452
sp|P39451|ADHP_ECOLI	0.647	0.007
sp|P37634|RLMJ_ECOLI	-0.439	0.014
sp|P0AFP4|YBBO_ECOLI	0.394	0.031
sp|P0ADY1|PPID_ECOLI	0.052	0.459
sp|P31063|YEDD_ECOLI	-0.109	0.402
sp|P33920|NDPA_ECOLI	-0.258	0.035
sp|P06612|TOP1_ECOLI	-0.255	0.003
sp|P0AEH1|RSEP_ECOLI	0.988	9.772e-07
sp|P0A7P5|RL34_ECOLI	-1.152	1.99e-05
sp|P0ABU9|TOLQ_ECOLI	0.15	0.468
sp|P76578|A2MG_ECOLI	1.028	0.0
sp|P0AFM9|PSPB_ECOLI	0.388	0.075
sp|P76503|FADI_ECOLI	2.567	0.0
sp|P0AEC3|ARCB_ECOLI	0.813	1.883e-06
sp|P0ABU7|EXBB_ECOLI	0.23	0.152
sp|P0AF36|ZAPB_ECOLI	0.014	0.89
sp|P37188|PTKB_ECOLI	2.534	5.693e-12
sp|P69874|POTA_ECOLI	-0.726	2.518e-06
sp|P0A6L4|NANA_ECOLI	1.563	8.734e-11
sp|P76108|YDCS_ECOLI	2.424	1.008e-08
