protein	log2FC	p-val
sp|P00562|AK2H_ECOLI	0.435	3.608e-05
sp|P32132|TYPA_ECOLI	0.368	8.747e-08
sp|P07023|TYRA_ECOLI	0.462	0.0002488
sp|P0A8A4|PSRP_ECOLI	0.062	0.724
sp|P00490|PHSM_ECOLI	-0.164	0.332
sp|P76541|EUTL_ECOLI	0.654	0.008
sp|P0A9L8|P5CR_ECOLI	0.131	0.96
sp|P33195|GCSP_ECOLI	-0.519	1.274e-05
sp|P39406|RSMC_ECOLI	0.529	0.0005605
sp|P0A6R3|FIS_ECOLI	-0.943	0.0002472
sp|P0ACV8|YMJA_ECOLI	0.307	0.498
sp|P0A7A7|PLSB_ECOLI	0.271	0.0007999
sp|P0AFU4|GLRR_ECOLI	0.065	0.738
sp|P29013|YCGB_ECOLI	1.279	3.718e-07
sp|P36771|LRHA_ECOLI	0.482	0.012
sp|P17169|GLMS_ECOLI	-0.302	0.0008342
sp|P04335|FRSA_ECOLI	0.51	1.061e-07
sp|P30870|GLNE_ECOLI	0.837	0.001
sp|P76194|SUFE_ECOLI	0.649	0.058
sp|P30859|ARTI_ECOLI	0.004	0.867
sp|P06988|HISX_ECOLI	0.168	0.002
sp|P77667|SUFA_ECOLI	-0.084	0.934
sp|P31475|YIEP_ECOLI	-0.049	0.539
sp|P69853|DMSD_ECOLI	0.144	0.476
sp|P0AAX8|YBIS_ECOLI	-0.13	0.377
sp|P0ABI8|CYOB_ECOLI	-0.848	4.171e-06
sp|P77808|CINAL_ECOLI	0.256	0.313
sp|P39187|YTFJ_ECOLI	-1.18	2.941e-05
sp|P05459|PDXB_ECOLI	0.25	0.009
sp|P0A908|MIPA_ECOLI	-0.337	0.095
sp|P60906|SYH_ECOLI	0.108	0.076
sp|P61889|MDH_ECOLI	0.012	0.192
sp|P32664|NUDC_ECOLI	0.054	0.678
sp|P0A8M0|SYN_ECOLI	0.019	0.854
sp|P60438|RL3_ECOLI	-0.089	0.656
sp|P0AC47|FRDB_ECOLI	-1.883	1.113e-10
sp|P0ABV2|EXBD_ECOLI	-0.141	0.444
sp|P0A7A2|GPMB_ECOLI	-0.301	0.109
sp|P22259|PCKA_ECOLI	-0.207	4.454e-05
sp|P08373|MURB_ECOLI	0.127	0.872
sp|P07762|GLGB_ECOLI	0.083	0.438
sp|P0A7M6|RL29_ECOLI	-0.079	0.942
sp|P76172|YNFD_ECOLI	0.309	0.476
sp|P75796|GSIA_ECOLI	0.167	0.686
sp|P15288|PEPD_ECOLI	-0.083	0.502
sp|P0C054|IBPA_ECOLI	-1.542	1.47e-05
sp|P0A7E9|PYRH_ECOLI	-0.088	0.368
sp|P27250|AHR_ECOLI	0.928	1.826e-08
sp|P0A9Q9|DHAS_ECOLI	-0.294	0.0001461
sp|P75791|YBIU_ECOLI	-0.737	2.804e-06
sp|P64448|YNBE_ECOLI	0.27	0.23
sp|P67603|YQFB_ECOLI	0.131	0.812
sp|P0AFH8|OSMY_ECOLI	0.698	6.906e-09
sp|P04693|TYRB_ECOLI	0.031	0.813
sp|P0ADP0|YIGB_ECOLI	-0.918	3.858e-06
sp|P76002|PLIG_ECOLI	-0.11	0.518
sp|P0AEB2|DACA_ECOLI	-0.449	5.016e-07
sp|P0AA16|OMPR_ECOLI	-0.349	0.0008366
sp|P06715|GSHR_ECOLI	0.523	6.516e-08
sp|P15038|HELD_ECOLI	-0.381	0.18
sp|P0AFU8|RISA_ECOLI	0.219	0.085
sp|P0A9P4|TRXB_ECOLI	0.221	0.13
sp|P0AC44|DHSD_ECOLI	-1.203	6.053e-06
sp|P45799|NUDE_ECOLI	-0.324	0.161
sp|P24232|HMP_ECOLI	-0.39	0.138
sp|P0AFM6|PSPA_ECOLI	-0.201	0.425
sp|P0AE85|CPXP_ECOLI	-0.982	2.041e-08
sp|P00959|SYM_ECOLI	0.049	0.482
sp|P09029|PURK_ECOLI	0.076	0.373
sp|P0A6Z1|HSCA_ECOLI	0.02	0.55
sp|P39356|YJHU_ECOLI	0.086	0.784
sp|P37051|PURU_ECOLI	-0.172	0.468
sp|P77529|YDJN_ECOLI	-0.168	0.091
sp|P06989|HIS2_ECOLI	0.345	0.19
sp|P24215|UXUA_ECOLI	0.085	0.668
sp|P37188|PTKB_ECOLI	-0.179	0.974
sp|P77721|YDJF_ECOLI	0.334	0.199
sp|P0AEZ1|METF_ECOLI	0.487	2.241e-05
sp|P56262|DLHH_ECOLI	0.141	0.558
sp|P0C0R7|RLME_ECOLI	0.466	0.018
sp|P60340|TRUB_ECOLI	-0.077	0.554
sp|P37194|SLP_ECOLI	0.573	0.001
