protein	log2FC	p-val
sp|P30847|BAES_ECOLI	0.765	0.002
sp|P0AEZ3|MIND_ECOLI	0.413	1.708e-10
sp|P64451|YDCL_ECOLI	0.789	3.252e-11
sp|P0AEP3|GALU_ECOLI	0.217	0.263
sp|P11880|MURF_ECOLI	0.253	0.165
sp|P0AB28|YCED_ECOLI	0.04	0.688
sp|P0A843|TATE_ECOLI	-1.018	0.002
sp|P37774|YECC_ECOLI	-0.074	0.679
sp|P76149|SAD_ECOLI	0.072	0.453
sp|P0AFG8|ODP1_ECOLI	-0.422	0.0
sp|P00956|SYI_ECOLI	-0.106	0.002
sp|P0AB96|ARSC_ECOLI	0.892	0.009
sp|P0AFV4|MEPS_ECOLI	1.036	2.131e-10
sp|P0AAH0|PSTB_ECOLI	0.866	2.753e-08
sp|P33602|NUOG_ECOLI	1.104	0.0
sp|P0A752|NADD_ECOLI	0.199	0.126
sp|P65870|QUED_ECOLI	-0.348	0.058
sp|P0ADR8|PPNN_ECOLI	0.911	0.0
sp|P24188|YCEA_ECOLI	-0.239	0.163
sp|P61889|MDH_ECOLI	0.586	2.22e-16
sp|P77756|QUEC_ECOLI	0.046	0.751
sp|P0ADB1|OSME_ECOLI	0.169	0.348
sp|P76491|5DNU_ECOLI	-0.398	0.036
sp|P0A9Q5|ACCD_ECOLI	-0.077	0.161
sp|P00926|SDHD_ECOLI	-0.335	0.274
sp|P00550|PTM3C_ECOLI	1.555	0.0
sp|P31547|METI_ECOLI	-0.023	0.89
sp|P76507|YFDI_ECOLI	-0.262	0.017
sp|P22255|CYSQ_ECOLI	0.277	0.092
sp|P39173|YEAD_ECOLI	-0.067	0.009
sp|P10384|FADL_ECOLI	1.859	0.0
sp|P69797|PTNAB_ECOLI	0.381	1.261e-08
sp|P0AFL6|PPX_ECOLI	0.939	3.012e-10
sp|P52097|TILS_ECOLI	0.395	0.161
sp|P00893|ILVI_ECOLI	-0.073	0.124
sp|P0AFU8|RISA_ECOLI	0.115	0.778
sp|P23930|LNT_ECOLI	0.538	0.058
sp|P37765|RLUB_ECOLI	-0.019	1.0
sp|P0ADI4|ENTB_ECOLI	-0.506	0.004
sp|P64540|YFCL_ECOLI	-0.833	0.0003234
sp|P0AFY8|SEQA_ECOLI	-0.499	0.0001651
sp|P77804|YDGA_ECOLI	0.316	7.895e-08
sp|P0AEB7|YOAB_ECOLI	0.106	0.875
sp|P04036|DAPB_ECOLI	-0.638	6.838e-12
sp|P0AFM6|PSPA_ECOLI	0.258	0.006
sp|P69811|PTFAH_ECOLI	0.571	0.0001994
sp|P63020|NFUA_ECOLI	-0.149	0.423
sp|P33362|YEHZ_ECOLI	0.413	2.035e-05
sp|P39342|YJGR_ECOLI	0.716	1.332e-15
sp|P68688|GLRX1_ECOLI	0.059	0.775
sp|P0AG40|RIBF_ECOLI	0.282	0.044
sp|P0A6L0|DEOC_ECOLI	-0.27	0.017
sp|P30860|ARTJ_ECOLI	-0.811	9.948e-14
sp|P21599|KPYK2_ECOLI	0.696	0.0
sp|P37666|GHRB_ECOLI	-0.434	2.283e-07
sp|P0C0V0|DEGP_ECOLI	0.293	1.042e-06
sp|P23894|HTPX_ECOLI	0.037	0.838
sp|P26612|AMY2_ECOLI	0.768	2.837e-07
sp|P64534|RCNB_ECOLI	-0.475	0.217
sp|P0AFJ1|YJDM_ECOLI	1.177	1.724e-06
sp|P0A707|IF3_ECOLI	-0.192	0.026
sp|P33232|LLDD_ECOLI	1.244	0.0
sp|P05825|FEPA_ECOLI	-0.894	1.721e-11
sp|P76290|CMOA_ECOLI	0.03	0.831
sp|P77717|YBAY_ECOLI	-0.221	0.132
sp|P0AEI6|NUDJ_ECOLI	-0.128	0.404
sp|P37194|SLP_ECOLI	0.606	0.013
sp|P0A805|RRF_ECOLI	0.137	0.16
sp|P0ABD5|ACCA_ECOLI	0.023	0.987
sp|P17443|MURG_ECOLI	0.293	0.062
sp|P0A8B2|YFCN_ECOLI	-0.255	0.377
sp|P0AFJ7|PITA_ECOLI	0.157	0.345
sp|P76027|OPPD_ECOLI	0.373	0.054
sp|P03007|DPO3E_ECOLI	0.476	0.035
sp|P0AA99|YAFK_ECOLI	-0.567	0.0007274
sp|P77395|CNOX_ECOLI	0.113	0.053
sp|P61175|RL22_ECOLI	-0.287	0.009
sp|P23869|PPIB_ECOLI	0.253	0.228
sp|P0AAR3|YBAK_ECOLI	-0.935	3.653e-07
sp|P27298|OPDA_ECOLI	0.304	2.249e-06
sp|P37440|UCPA_ECOLI	1.4	4.924e-10
sp|P30178|HCXB_ECOLI	-1.123	4.673e-12
sp|P39160|UXUB_ECOLI	1.128	4.374e-07
sp|P0ABK5|CYSK_ECOLI	0.059	0.26
sp|P76537|YFEY_ECOLI	0.588	0.002
sp|P37626|YHII_ECOLI	0.205	0.187
sp|P32131|HEMN_ECOLI	-0.181	0.322
sp|P0A8B5|YBAB_ECOLI	-0.334	0.052
sp|P0AA91|YEAY_ECOLI	0.128	0.42
sp|P0AG27|YIBN_ECOLI	-0.12	0.042
sp|P0A7L3|RL20_ECOLI	-0.258	0.004
sp|P46118|HEXR_ECOLI	2.038	4.441e-16
sp|P0A6D0|ARGR_ECOLI	-0.558	0.008
sp|P0A9T8|YBBA_ECOLI	0.474	0.039
