protein	log2FC	p-val
sp|P0AE67|CHEY_ECOLI	-0.497	0.078
sp|P0A853|TNAA_ECOLI	1.682	0.0
sp|P0AC13|DHPS_ECOLI	-0.325	0.017
sp|P0AC69|GLRX4_ECOLI	-0.104	0.559
sp|P00370|DHE4_ECOLI	0.016	0.399
sp|P04949|FLIC_ECOLI	-1.31	0.029
sp|P21645|LPXD_ECOLI	0.099	0.555
sp|P0AFR2|DAUA_ECOLI	0.502	0.1
sp|P0A9H5|BTUR_ECOLI	0.287	0.512
sp|P00968|CARB_ECOLI	-0.012	0.52
sp|P76403|YEGQ_ECOLI	0.293	0.036
sp|P11458|NADA_ECOLI	0.098	0.612
sp|P25437|FRMA_ECOLI	0.376	0.01
sp|P0A9C9|GLPX_ECOLI	-0.199	0.113
sp|P25524|CODA_ECOLI	-0.075	0.59
sp|P29208|MENC_ECOLI	0.533	0.158
sp|P0AAV4|PXPB_ECOLI	0.2	0.354
sp|P04805|SYE_ECOLI	-0.019	0.518
sp|P08957|T1MK_ECOLI	-0.494	7.602e-06
sp|P0ADX7|YHHA_ECOLI	-1.535	1.542e-10
sp|P0AFI2|PARC_ECOLI	-0.138	0.313
sp|Q46948|YAJL_ECOLI	-0.098	0.718
sp|P75960|NPD_ECOLI	0.196	0.332
sp|P60785|LEPA_ECOLI	-0.607	1.023e-08
sp|P75728|UBIF_ECOLI	-0.208	0.162
sp|P0AEG1|DPPC_ECOLI	0.353	0.124
sp|P76491|5DNU_ECOLI	-0.039	0.799
sp|P62707|GPMA_ECOLI	0.295	0.001
sp|P0A7L0|RL1_ECOLI	-0.106	0.21
sp|P14081|SELB_ECOLI	-0.007	0.916
sp|P65556|YFCD_ECOLI	-0.321	0.175
sp|P00582|DPO1_ECOLI	0.03	0.923
sp|P33650|FEOB_ECOLI	-0.647	0.036
sp|P0A6K3|DEF_ECOLI	-0.385	0.006
sp|P0A830|DCTA_ECOLI	0.271	0.307
sp|P37387|XYLF_ECOLI	0.226	0.546
sp|P16676|CYSA_ECOLI	0.183	0.88
sp|P0A9Q5|ACCD_ECOLI	-0.109	0.262
sp|P00961|SYGB_ECOLI	-0.151	0.001
sp|P64596|YRAP_ECOLI	-0.331	0.024
sp|P23893|GSA_ECOLI	-0.084	0.182
sp|P31131|YDEJ_ECOLI	0.332	0.394
sp|Q46920|QUEF_ECOLI	-0.28	0.178
sp|P09323|PTW3C_ECOLI	-1.778	0.0
sp|P0ADT8|YGIM_ECOLI	0.466	0.009
sp|P0A698|UVRA_ECOLI	-0.11	0.067
sp|P76071|INSH5_ECOLI	-0.29	0.233
sp|P0A6F5|CH60_ECOLI	0.317	0.0004148
sp|P02930|TOLC_ECOLI	0.192	0.026
sp|P06999|PFKB_ECOLI	0.401	0.009
sp|P24182|ACCC_ECOLI	-0.037	0.771
sp|Q47690|MMUM_ECOLI	0.578	0.003
sp|P00803|LEP_ECOLI	-0.066	0.63
sp|P15770|AROE_ECOLI	0.317	0.333
sp|P30864|YAFC_ECOLI	0.779	0.021
sp|P18843|NADE_ECOLI	0.221	0.043
sp|P39173|YEAD_ECOLI	0.051	0.986
sp|P0AG24|SPOT_ECOLI	0.103	0.804
sp|P00954|SYW_ECOLI	-0.169	0.086
sp|P0A6Y5|HSLO_ECOLI	-0.115	0.127
sp|P0A7I7|RIBA_ECOLI	0.438	0.000424
sp|P23871|HEMH_ECOLI	-0.119	0.83
sp|P08373|MURB_ECOLI	-0.332	0.071
sp|P39356|YJHU_ECOLI	-0.189	0.112
sp|P37339|LHGD_ECOLI	-0.251	0.176
sp|P0AEB7|YOAB_ECOLI	0.218	0.547
sp|P75792|SUPH_ECOLI	0.31	0.166
sp|P30126|LEUD_ECOLI	0.623	0.0005178
sp|P30750|METN_ECOLI	-0.489	0.002
sp|P0A873|TRMD_ECOLI	-0.01	0.882
sp|P0A6P5|DER_ECOLI	-0.203	0.018
sp|P06721|METC_ECOLI	0.035	0.66
sp|P21165|PEPQ_ECOLI	0.052	0.665
sp|P0A9A6|FTSZ_ECOLI	0.023	0.994
sp|P0A738|MOAC_ECOLI	0.147	0.809
sp|P0ACG1|STPA_ECOLI	-0.491	0.0001484
sp|P0A840|SURE_ECOLI	0.063	0.771
sp|P68187|MALK_ECOLI	-0.818	2.103e-05
sp|P0AD33|YFCZ_ECOLI	-0.103	0.516
sp|P0AB55|YCII_ECOLI	0.032	0.958
sp|P64463|YDFZ_ECOLI	0.333	0.269
sp|P32144|CSQR_ECOLI	0.005	0.946
sp|P64423|ZNTB_ECOLI	-0.201	0.391
sp|P23721|SERC_ECOLI	0.013	0.786
sp|P77569|MHPR_ECOLI	1.085	0.0009777
sp|P0A7F9|QUEA_ECOLI	0.401	0.045
sp|P0AD61|KPYK1_ECOLI	-0.075	0.234
sp|P0ACC3|ERPA_ECOLI	-0.161	0.345
sp|P0AD57|ISPB_ECOLI	0.035	0.804
sp|P36767|RDGC_ECOLI	-0.322	0.0003092
sp|P0AF96|TABA_ECOLI	0.88	6.604e-13
sp|Q46871|YQJH_ECOLI	0.492	0.006
sp|P0AG14|SOHB_ECOLI	-0.028	0.674
sp|P76193|YNHG_ECOLI	-0.526	0.0001874
sp|P27249|GLND_ECOLI	0.141	0.095
sp|P0AE85|CPXP_ECOLI	2.238	3.453e-10
sp|P77432|LSRK_ECOLI	-0.272	0.572
sp|P07650|TYPH_ECOLI	0.004	0.605
sp|P61320|LOLB_ECOLI	0.644	0.000234
sp|P21169|DCOR_ECOLI	-0.282	0.116
sp|P0A912|PAL_ECOLI	-0.19	0.174
sp|P75818|YBJP_ECOLI	0.419	0.006
sp|P76004|YCGM_ECOLI	0.25	0.225
sp|P0AEG4|DSBA_ECOLI	0.322	0.009
sp|P39310|YTFB_ECOLI	0.397	0.069
sp|P0AG93|SECF_ECOLI	-0.183	0.45
sp|P75874|YCCU_ECOLI	0.033	0.748
sp|P10443|DPO3A_ECOLI	-0.11	0.415
sp|P0ADA1|TESA_ECOLI	-0.398	0.015
sp|P0A903|BAMC_ECOLI	0.01	0.51
sp|P25665|METE_ECOLI	0.019	0.248
sp|P30749|MOAE_ECOLI	0.122	0.608
sp|P76535|MURQ_ECOLI	0.072	0.704
sp|P0ABU0|MENB_ECOLI	0.401	0.015
sp|P0AFJ1|YJDM_ECOLI	0.279	0.517
sp|P21507|SRMB_ECOLI	0.072	0.552
sp|P0A6L2|DAPA_ECOLI	-0.029	0.366
sp|P76108|YDCS_ECOLI	-0.443	2.912e-05
sp|P15067|GLGX_ECOLI	0.88	8.81e-08
sp|Q46829|BGLA_ECOLI	-0.144	0.108
sp|P0A825|GLYA_ECOLI	-0.458	6.095e-12
sp|P07117|PUTP_ECOLI	-0.508	0.143
sp|P28903|NRDD_ECOLI	0.33	0.013
sp|P0AAE0|CYCA_ECOLI	0.259	0.273
sp|P30958|MFD_ECOLI	0.071	0.712
sp|P0ABS5|DNAG_ECOLI	0.211	0.396
sp|P0AA25|THIO_ECOLI	-0.005	0.855
sp|P64540|YFCL_ECOLI	0.121	0.699
sp|P0ADG7|IMDH_ECOLI	-0.344	0.0003394
sp|P77454|GLSA1_ECOLI	2.953	4.821e-09
sp|P0CE48|EFTU2_ECOLI	0.042	0.705
sp|P0A8I8|RLMH_ECOLI	-0.175	0.596
sp|P32157|YIIM_ECOLI	0.385	0.04
sp|P77218|EUTD_ECOLI	0.243	0.488
sp|P66817|DIAA_ECOLI	0.588	0.032
sp|P33570|TKT2_ECOLI	0.307	0.001
sp|P0ADC1|LPTE_ECOLI	-0.303	0.042
sp|P75745|PXPC_ECOLI	0.133	0.499
sp|P24255|RP54_ECOLI	0.297	0.137
sp|P33363|BGLX_ECOLI	0.037	0.946
sp|P0ACP5|GNTR_ECOLI	0.541	0.0009237
sp|P39280|EPMB_ECOLI	-0.322	0.1
sp|P22106|ASNB_ECOLI	0.04	0.832
sp|P0AEE3|DEGS_ECOLI	0.209	0.119
sp|Q46868|UBIK_ECOLI	0.003	0.808
sp|P29018|CYDD_ECOLI	0.347	0.019
sp|P76172|YNFD_ECOLI	-0.143	0.574
sp|P06983|HEM3_ECOLI	-0.079	0.436
sp|P76558|MAO2_ECOLI	0.58	3.997e-15
sp|P0A821|SELA_ECOLI	0.000325	0.636
sp|P0AGJ2|TRMH_ECOLI	-0.053	0.904
sp|P77774|BAMB_ECOLI	0.1	0.429
sp|P77570|ANMK_ECOLI	0.814	0.005
sp|P30850|RNB_ECOLI	0.073	0.175
sp|P0AFY8|SEQA_ECOLI	0.22	0.286
sp|P56262|DLHH_ECOLI	0.93	2.618e-08
sp|P13029|KATG_ECOLI	-0.557	0.0
sp|P27247|PLSX_ECOLI	0.069	1.0
sp|P76145|TAM_ECOLI	1.298	2.997e-06
sp|P46853|YHHX_ECOLI	0.123	0.278
sp|P0AE08|AHPC_ECOLI	0.009	0.871
sp|P67910|HLDD_ECOLI	0.161	0.323
sp|P0AB10|PQIC_ECOLI	0.057	0.831
sp|Q47147|YAFJ_ECOLI	0.107	0.429
sp|P13024|FDHE_ECOLI	-0.086	0.839
sp|P12998|BIOF_ECOLI	0.045	0.356
sp|P0ADR8|PPNN_ECOLI	0.328	0.007
sp|P77434|ALAC_ECOLI	0.231	0.175
sp|P0ABJ9|CYDA_ECOLI	0.248	0.117
sp|P00959|SYM_ECOLI	0.017	0.727
sp|P10902|NADB_ECOLI	-0.524	0.005
sp|P0AEZ1|METF_ECOLI	0.517	0.001
sp|P0AFB8|NTRC_ECOLI	0.418	0.22
sp|P0A915|OMPW_ECOLI	0.844	0.009
sp|P0ABI8|CYOB_ECOLI	0.729	6.997e-06
sp|P37690|ENVC_ECOLI	0.01	0.732
sp|P23869|PPIB_ECOLI	0.295	0.142
sp|P0A7M9|RL31_ECOLI	-0.315	0.227
sp|P77522|SUFB_ECOLI	0.099	0.453
sp|P0AEG6|DSBC_ECOLI	0.437	0.026
sp|P0AGF2|CSDE_ECOLI	-0.059	0.592
sp|P76621|GLAH_ECOLI	-0.26	0.07
sp|P0C037|PPNP_ECOLI	-0.548	0.063
sp|P0ACR4|YEIE_ECOLI	0.26	0.229
sp|P09158|SPEE_ECOLI	-0.404	0.005
sp|P51024|YAIL_ECOLI	0.276	0.915
sp|P16701|CYST_ECOLI	0.713	0.019
sp|P05793|ILVC_ECOLI	0.07	0.158
sp|P27838|CYAY_ECOLI	0.641	0.182
sp|P0AE88|CPXR_ECOLI	0.58	2.801e-05
sp|P0A7D1|PTH_ECOLI	-0.581	8.508e-05
sp|P69805|PTND_ECOLI	-1.666	0.0
sp|P04079|GUAA_ECOLI	-0.434	2.866e-10
sp|P75791|YBIU_ECOLI	-0.12	0.385
sp|P09832|GLTD_ECOLI	-0.083	0.692
sp|P32132|TYPA_ECOLI	-0.468	4.727e-09
sp|P24178|YFFB_ECOLI	0.75	0.0008144
sp|P0A8G3|UXAC_ECOLI	-0.101	0.401
sp|P25522|MNME_ECOLI	0.053	0.898
sp|P0ABU5|ELBB_ECOLI	0.57	0.0004062
sp|P76097|YDCJ_ECOLI	0.788	1.247e-06
sp|P07014|SDHB_ECOLI	0.979	4.441e-16
sp|P31473|RAVA_ECOLI	0.051	0.894
sp|P0A8A8|RIMP_ECOLI	-0.234	0.149
sp|P29745|PEPT_ECOLI	0.757	1.879e-08
sp|P32099|LPLA_ECOLI	-0.174	0.358
sp|P0AFM6|PSPA_ECOLI	1.112	3.553e-15
sp|P69829|PTSN_ECOLI	0.437	0.251
sp|P77239|CUSB_ECOLI	2.296	0.0
sp|P38051|MENF_ECOLI	0.143	0.423
sp|P77318|YDEN_ECOLI	-1.207	0.0
sp|P27431|ROXA_ECOLI	0.359	0.031
sp|P25536|NTPPA_ECOLI	0.559	0.295
sp|P0A8G6|NQOR_ECOLI	0.618	6.359e-07
sp|P22525|YCBB_ECOLI	-0.181	0.682
sp|P25714|YIDC_ECOLI	-0.561	0.002
sp|P0A9F9|METR_ECOLI	0.416	0.179
sp|P0AB98|ATP6_ECOLI	-0.054	0.754
sp|P0ADB1|OSME_ECOLI	0.049	0.865
sp|P30863|DKGB_ECOLI	0.069	0.82
sp|P77717|YBAY_ECOLI	0.293	0.177
sp|P33360|YEHX_ECOLI	0.221	0.57
sp|P38521|YGGL_ECOLI	0.026	0.887
