protein	log2FC	p-val
sp|Q59385|COPA_ECOLI	0.514	1.126e-08
sp|P0AB61|YCIN_ECOLI	-0.249	0.442
sp|P37643|YHJE_ECOLI	-0.762	0.003
sp|P0ACL0|GLPR_ECOLI	-0.43	0.078
sp|P77554|YAHJ_ECOLI	-0.087	0.734
sp|P77247|HXPB_ECOLI	-0.122	0.267
sp|P13024|FDHE_ECOLI	-0.609	0.0007705
sp|P00961|SYGB_ECOLI	-0.371	3.16e-10
sp|P0A8I3|YAAA_ECOLI	-0.06	0.351
sp|P23871|HEMH_ECOLI	0.223	0.898
sp|P0A8D0|NRDR_ECOLI	-0.448	0.59
sp|P08957|T1MK_ECOLI	-0.529	1.408e-05
sp|P0AEI6|NUDJ_ECOLI	0.918	0.005
sp|P46889|FTSK_ECOLI	0.268	0.261
sp|P63389|YHES_ECOLI	-0.176	0.303
sp|P0ACZ4|EVGA_ECOLI	0.344	0.309
sp|Q46871|YQJH_ECOLI	0.244	0.247
sp|P30860|ARTJ_ECOLI	-0.192	0.032
sp|P0AGB0|SERB_ECOLI	-0.289	0.282
sp|P0A9P6|DEAD_ECOLI	-0.1	0.431
sp|P0AG44|RL17_ECOLI	-0.343	0.0007479
sp|P0AD12|YEEZ_ECOLI	-0.116	0.268
sp|P0A836|SUCC_ECOLI	0.554	4.441e-14
sp|P28861|FENR_ECOLI	0.103	0.535
sp|P00803|LEP_ECOLI	-0.322	0.016
sp|P00954|SYW_ECOLI	-0.251	0.001
sp|P0AG90|SECD_ECOLI	-0.384	0.0002066
sp|P45771|YRDD_ECOLI	-0.327	0.316
sp|P52119|RATB_ECOLI	-0.017	0.336
sp|P0A6Z3|HTPG_ECOLI	0.199	0.022
sp|P0A6N4|EFP_ECOLI	-0.34	0.005
sp|P0A7P5|RL34_ECOLI	-1.171	0.004
sp|P51024|YAIL_ECOLI	-0.186	0.454
sp|P25536|NTPPA_ECOLI	0.413	0.463
sp|P0AEJ2|ENTC_ECOLI	-0.367	0.077
sp|P0AAE0|CYCA_ECOLI	0.348	0.512
sp|P17952|MURC_ECOLI	-0.021	0.847
sp|P0A873|TRMD_ECOLI	-0.071	0.733
sp|P43672|UUP_ECOLI	0.294	0.024
sp|P0A8W0|NANR_ECOLI	-0.276	0.108
sp|P33025|PSUG_ECOLI	0.143	0.638
sp|P0ACF8|HNS_ECOLI	-0.123	0.152
sp|P0A7E1|PYRD_ECOLI	-0.41	3.946e-06
sp|P07813|SYL_ECOLI	0.201	0.008
sp|P76142|LSRB_ECOLI	1.218	3.172e-06
sp|P09099|XYLB_ECOLI	0.14	0.894
sp|P0AEE3|DEGS_ECOLI	0.015	0.95
sp|P0A6Y1|IHFB_ECOLI	0.064	0.71
sp|P0AA10|RL13_ECOLI	0.175	0.307
sp|P75818|YBJP_ECOLI	0.894	7.131e-06
sp|P0A722|LPXA_ECOLI	-0.023	0.281
sp|P0AAF6|ARTP_ECOLI	-0.264	0.208
sp|P32160|YIIQ_ECOLI	-0.23	0.343
sp|P32705|ACTP_ECOLI	0.549	0.04
sp|P75829|YBJX_ECOLI	1.244	0.000476
sp|P16095|SDHL_ECOLI	-0.482	0.311
sp|P25437|FRMA_ECOLI	0.323	0.047
sp|P0AED5|UVRY_ECOLI	-0.341	0.119
sp|P0A8B2|YFCN_ECOLI	0.129	0.473
sp|P07003|POXB_ECOLI	1.613	0.0
sp|P24177|ACRD_ECOLI	-0.394	0.215
sp|P31064|YEDE_ECOLI	0.497	0.046
sp|P16703|CYSM_ECOLI	0.3	0.072
sp|P0A8T7|RPOC_ECOLI	-0.049	0.398
sp|P17993|UBIG_ECOLI	0.273	0.012
sp|P31475|YIEP_ECOLI	0.28	0.512
sp|P0AF03|MOG_ECOLI	0.222	0.403
sp|P12758|UDP_ECOLI	0.312	0.008
sp|P03023|LACI_ECOLI	-0.541	0.05
sp|P75914|YCDX_ECOLI	0.078	0.906
sp|P0AGK4|YHBY_ECOLI	-1.046	7.718e-05
sp|P76170|YNFB_ECOLI	0.673	0.004
sp|P08660|AK3_ECOLI	-0.239	0.007
sp|P0CE48|EFTU2_ECOLI	-0.134	0.004
sp|P31550|THIB_ECOLI	-0.783	0.008
sp|P39321|TAMB_ECOLI	-0.074	0.764
sp|P33363|BGLX_ECOLI	-0.255	0.011
sp|P22729|LIVM_ECOLI	-0.853	0.0005087
sp|P0AEJ6|EUTB_ECOLI	-0.156	0.307
sp|P15770|AROE_ECOLI	0.354	0.377
sp|P0ACP7|PURR_ECOLI	-0.192	0.049
sp|P0AG16|PUR1_ECOLI	-0.74	3.213e-12
sp|P41407|AZOR_ECOLI	1.082	4.063e-11
sp|P75863|YCBX_ECOLI	-0.114	0.433
sp|P0A8A0|YEBC_ECOLI	-0.093	0.662
sp|P77338|MSCK_ECOLI	-0.966	5.825e-05
sp|P39177|USPG_ECOLI	1.0	5.121e-09
sp|P0AG82|PSTS_ECOLI	-0.232	0.114
sp|P17315|CIRA_ECOLI	-0.437	3.722e-06
sp|P76535|MURQ_ECOLI	-0.205	0.29
sp|P30011|NADC_ECOLI	-0.246	0.085
sp|P0A6S7|GPDA_ECOLI	0.194	0.123
sp|P0ADT2|YGIB_ECOLI	-0.142	0.504
sp|P0AFP6|GCH1L_ECOLI	0.133	0.719
sp|P04994|EX7L_ECOLI	0.537	0.15
