protein	log2FC	p-val
P63737	-0.171	0.003
B1IW07	-0.922	2.449e-10
Q1R7B4	0.076	0.82
Q8FF55	-1.755	9.358e-07
P0AGG3	0.367	0.386
P31802	0.576	0.026
P18196	0.083	0.733
P22525	2.175	4.18e-05
B7LWK3	-3.851	2.268e-12
P0A960	-0.424	0.029
Q8FJQ3	-1.862	0.0
P0AD13	0.847	0.009
P04805	0.104	0.678
P0AEY7	0.029	0.363
P0AGD9	-0.049	0.715
Q8XD03	0.474	5.446e-06
P31828	0.747	0.0002316
P43533	-0.474	0.008
Q8X8L6	0.174	0.574
Q8X824	-0.054	0.37
P0C0S2	-0.46	0.019
P77667	1.945	6.455e-05
P0A9Y1	-4.477	0.0
P0A9M3	-0.359	0.089
Q1R5V3	0.056	0.405
P0AFR5	1.049	4.924e-07
B7LWK5	-1.052	0.0005355
P0AEU9	0.226	0.274
P77522	1.177	6.147e-08
P0A919	0.673	0.018
P0A6Q4	-0.19	0.54
Q8XD48	-0.044	0.698
P32684	-0.917	0.035
P0A9D6	-0.579	0.0005677
Q46845	0.733	0.019
P0A9J7	0.771	0.001
P15047	0.809	0.575
P0AEE4	0.547	0.011
Q8X6X5	0.139	0.367
P0A9F5	-0.582	0.005
P0ACA8	0.02	0.596
P75915	0.209	0.257
P0A8W3	1.634	0.0005596
P08506	1.084	1.208e-12
P21369	-0.14	0.663
P0AFD2	-0.389	0.057
P69452	1.836	0.0
P13035	2.799	3.393e-07
P0AGJ0	0.52	0.149
P0A954	0.012	0.91
P0AD51	4.351	0.0
P0AE20	-0.005	0.996
P0A9P2	0.035	0.572
Q8FCF1	-0.21	0.167
Q8XA55	0.101	0.775
P24178	0.667	0.01
P09832	-0.681	8.355e-09
P04825	0.561	5.975e-05
P07821	0.609	0.005
P66828	0.386	0.004
B7LJX9	0.451	0.371
P06710	-0.741	0.021
P15034	0.537	0.018
P22634	0.287	0.483
P0AE07	0.424	0.001
Q8X8L4	0.948	2.317e-05
P45579	-0.334	0.267
P77562	-0.133	0.814
P76536	-0.39	0.604
P77247	-0.003	0.731
P04693	-0.359	0.001
B7LK29	-0.149	0.432
B7LLH1	-0.209	0.01
P0AE89	0.845	0.0001764
P04816	0.234	0.064
Q1RF28	-0.904	0.002
P64598	0.42	0.026
P77625	0.353	0.069
Q9R9D5	0.22	0.777
B7LST2	0.452	0.075
Q1RE41	-0.021	0.876
P25539	0.513	0.016
P0ACJ2	0.022	0.952
Q0TG79	1.037	5.773e-06
P00887	0.054	0.703
P0A9P5	-0.199	0.219
Q8FAT5	-0.313	0.656
P0ADP0	0.034	0.712
P0A6S1	0.244	0.137
P0AGE7	0.668	0.0009471
B7LVJ7	-0.129	1.0
Q8FIP7	-0.371	0.45
B7LLV4	0.132	0.528
P00370	0.067	0.736
Q8FB98	-0.147	0.026
P23869	0.74	0.000691
P37626	0.949	0.016
P23003	-0.42	0.025
P05825	2.318	0.0
P0AE13	0.221	0.205
Q8FF08	0.237	0.613
B7LVK4	-0.024	0.491
Q1RE44	0.336	0.282
P64583	2.479	6.146e-06
P21499	0.264	0.163
P67088	0.146	0.516
Q1RG29	-0.189	0.469
P03018	-0.045	1.0
