protein	log2FC	p-val
P58070	-1.083	0.003
P45766	2.859	0.000127
B7LPL6	-1.251	0.000564
Q8XD88	0.157	0.94
P0AEG7	-0.109	0.621
P76569	0.824	0.0002556
P27828	-0.237	0.221
P0AB69	-0.029	0.828
B7LMI1	-0.409	0.059
B7LKE6	0.239	0.656
P12758	0.475	0.025
P0ACL3	0.233	0.397
P76049	1.038	0.031
B7LRR3	-0.257	0.124
P24203	-0.126	0.546
P0ACP8	-0.168	0.137
B7LRQ3	-0.553	0.008
P0A9Z3	-0.054	0.701
P25526	2.523	1.043e-09
P0ABE0	0.377	0.711
B7LMG5	0.28	0.382
P09147	0.566	0.006
P75867	0.147	0.605
P0ABB9	0.223	0.347
Q8FCA0	-0.004	0.591
P0A6B4	-0.112	0.399
P0AGF3	0.527	0.007
P0AF09	-0.664	0.007
B7LRR4	-1.565	2.671e-07
P75838	-0.39	0.088
B7LTY8	-0.035	0.909
P0A9W4	0.0005266	0.567
B1IUH4	-0.429	0.004
Q8XE76	-0.145	0.534
P26646	0.952	0.0001994
Q0TL93	0.831	2.507e-05
P37773	-0.364	0.165
P27833	-0.198	0.192
Q8XEG2	-0.115	0.106
P0ADI5	3.46	9.431e-10
Q8FIM7	-0.531	0.007
P0AEU9	-0.06	0.767
Q1R601	-0.448	0.073
Q8XCX9	0.127	0.46
P0A838	0.129	0.81
B7N4F3	-1.084	0.011
Q46893	0.301	0.328
Q46920	-0.474	0.058
P66680	-0.347	0.063
P76149	-0.011	0.785
P43672	-0.714	0.002
P0A960	-0.918	0.0009104
P08200	0.095	0.443
P23882	0.08	0.556
Q8FB98	-0.16	0.025
P23843	0.254	0.027
Q0TKQ4	-0.175	0.586
Q8X824	-0.154	0.179
B7UGX2	-0.33	0.016
Q0TJ25	-0.196	0.058
P37902	1.198	2.22e-16
P0ABU8	-2.024	2.644e-06
P0A706	-0.205	0.0009247
P0ABS6	-0.04	0.564
P02943	0.896	0.012
B7NUX4	1.891	0.044
B7LK81	0.433	0.249
P02919	0.0009043	0.863
P10384	2.088	1.21e-09
P69829	0.561	0.042
B7N5N4	0.316	0.666
