protein	log2FC	p-val
sp|P35340|AHPF_ECOLI	-0.394	6.165e-10
sp|P25738|MSYB_ECOLI	0.955	6.545e-07
sp|P76291|CMOB_ECOLI	-0.304	0.037
sp|P64596|YRAP_ECOLI	-0.184	0.18
sp|P61320|LOLB_ECOLI	0.111	0.142
sp|P0ACZ4|EVGA_ECOLI	0.034	0.702
sp|P00582|DPO1_ECOLI	-0.068	0.235
sp|P37626|YHII_ECOLI	-0.55	5.093e-06
sp|P0ABY4|FLAW_ECOLI	0.736	0.016
sp|P25526|GABD_ECOLI	-0.992	0.0
sp|P13001|BIOH_ECOLI	0.245	0.334
sp|P0A8K1|PSD_ECOLI	0.403	0.0008795
sp|P45800|IGAA_ECOLI	-0.843	0.004
sp|P0A7U3|RS19_ECOLI	-0.388	0.003
sp|P60293|MUKF_ECOLI	0.186	0.126
sp|P06282|CDH_ECOLI	-1.37	0.005
sp|P37690|ENVC_ECOLI	0.436	0.028
sp|P0A6B4|ALR1_ECOLI	-0.247	0.125
sp|P06987|HIS7_ECOLI	0.458	1.25e-06
sp|P0AFH2|OPPB_ECOLI	-3.5	1.339e-11
sp|P21514|PDEL_ECOLI	-1.526	2.01e-06
sp|P0ACX5|FUMD_ECOLI	-0.432	0.091
sp|P02359|RS7_ECOLI	-0.303	0.0002583
sp|P76038|PUUD_ECOLI	1.615	1.32e-05
sp|P02413|RL15_ECOLI	-0.659	1.05e-09
sp|P06999|PFKB_ECOLI	0.812	9.459e-14
sp|P0AED0|USPA_ECOLI	0.983	1.012e-07
sp|P0AGG0|THIL_ECOLI	-0.045	0.848
sp|P33030|YEIR_ECOLI	-0.002	0.944
sp|P13445|RPOS_ECOLI	-1.337	0.0
sp|P39452|RIR3_ECOLI	-0.124	0.569
sp|P69783|PTGA_ECOLI	0.542	4.035e-07
sp|P0AEX3|KGTP_ECOLI	-0.621	0.0005897
sp|P0ABA4|ATPD_ECOLI	-0.88	1.29e-12
sp|P23842|PDEA_ECOLI	-0.0008533	0.246
sp|P07762|GLGB_ECOLI	0.84	2.485e-06
sp|P0AE45|YTFL_ECOLI	-0.551	0.143
sp|P23845|CYSN_ECOLI	0.948	0.0
sp|P0A910|OMPA_ECOLI	-0.06	0.707
