protein	log2FC	p-val
sp|P0AE01|TRMJ_ECOLI	0.854	1.648e-05
sp|P21893|RECJ_ECOLI	-0.416	0.102
sp|P23893|GSA_ECOLI	-0.229	0.002
sp|P39172|ZNUA_ECOLI	-0.073	0.732
sp|P0AEN4|FTSL_ECOLI	0.11	0.872
sp|P67660|YHAJ_ECOLI	0.027	1.0
sp|P0A6V1|GLGC_ECOLI	0.748	7.294e-10
sp|P0AFK0|PMBA_ECOLI	0.248	0.087
sp|P0A720|KTHY_ECOLI	-0.432	0.01
sp|P43672|UUP_ECOLI	0.324	0.004
sp|P0A6B7|ISCS_ECOLI	0.023	0.496
sp|P39408|YJJV_ECOLI	-0.467	0.316
sp|P0A7B5|PROB_ECOLI	-0.266	0.019
sp|P24182|ACCC_ECOLI	0.101	0.566
sp|P0A8V6|FADR_ECOLI	0.002	0.691
sp|P76550|YFFS_ECOLI	0.493	0.000343
sp|P03007|DPO3E_ECOLI	-0.53	0.477
sp|P77338|MSCK_ECOLI	-0.772	0.0003972
sp|P0A8E1|YCFP_ECOLI	0.227	0.107
sp|P31547|METI_ECOLI	-0.902	0.0001649
sp|P33232|LLDD_ECOLI	0.861	3.794e-11
sp|P05194|AROD_ECOLI	-0.283	0.017
sp|P76397|MDTA_ECOLI	0.319	0.127
sp|P69776|LPP_ECOLI	0.126	0.054
sp|P77581|ASTC_ECOLI	0.899	0.007
sp|P46889|FTSK_ECOLI	-0.866	0.0001363
sp|P17117|NFSA_ECOLI	0.378	0.011
sp|P31473|RAVA_ECOLI	0.32	0.07
sp|P30958|MFD_ECOLI	-0.057	0.381
sp|P0A749|MURA_ECOLI	-0.303	0.0001519
sp|P0ADC3|LOLC_ECOLI	-0.484	0.023
sp|P0AED7|DAPE_ECOLI	-1.021	3.054e-07
sp|P02919|PBPB_ECOLI	-0.132	0.083
sp|P69411|RCSF_ECOLI	-0.362	0.034
sp|P02930|TOLC_ECOLI	0.194	0.001
sp|P17993|UBIG_ECOLI	0.463	0.0001816
sp|P02359|RS7_ECOLI	-0.25	3.24e-05
sp|P0AG16|PUR1_ECOLI	-0.256	0.0003345
sp|P39177|USPG_ECOLI	0.325	0.085
sp|P05458|PTRA_ECOLI	-0.155	0.1
sp|P0ABU9|TOLQ_ECOLI	-0.72	0.002
sp|P37689|GPMI_ECOLI	-2.051	0.0
sp|P61175|RL22_ECOLI	-0.533	5.649e-06
sp|P0A910|OMPA_ECOLI	-0.004	0.89
sp|P22523|MUKB_ECOLI	-0.238	7.309e-05
sp|P0AG84|YGHA_ECOLI	2.075	5.45e-08
sp|P05020|PYRC_ECOLI	0.322	1.569e-05
sp|P0A734|MINE_ECOLI	0.078	0.501
