protein	log2FC	p-val
sp|P00944|XYLA_ECOLI	-8.622	3.109e-15
sp|P76193|YNHG_ECOLI	-1.056	2.108e-09
sp|Q47083|CBL_ECOLI	-0.921	0.0003266
sp|P75792|SUPH_ECOLI	-1.251	7.935e-06
sp|P0AFB8|NTRC_ECOLI	-0.729	4.957e-05
sp|P27434|RODZ_ECOLI	-0.155	0.079
sp|P00490|PHSM_ECOLI	0.361	0.0002502
sp|Q93K97|ADPP_ECOLI	-0.14	0.428
sp|P0AD27|YEJM_ECOLI	0.689	0.039
sp|P0AEU7|SKP_ECOLI	-0.516	6.733e-06
sp|P17854|CYSH_ECOLI	0.695	2.786e-11
sp|P0ABI8|CYOB_ECOLI	0.435	0.01
sp|P00893|ILVI_ECOLI	-0.214	0.101
sp|P0AA04|PTHP_ECOLI	0.158	0.141
sp|P07004|PROA_ECOLI	0.024	0.542
sp|P33570|TKT2_ECOLI	0.68	2.22e-15
sp|P0AB52|YCHN_ECOLI	0.425	0.083
sp|P23865|PRC_ECOLI	0.222	0.002
sp|P0AC47|FRDB_ECOLI	3.222	1.625e-09
sp|P0A9J0|RNG_ECOLI	0.208	0.145
sp|P0A9M5|XGPT_ECOLI	-0.248	0.071
sp|P15034|AMPP_ECOLI	0.573	3.18e-07
sp|P09158|SPEE_ECOLI	0.407	0.022
sp|P0AB98|ATP6_ECOLI	0.595	0.011
sp|P0AAZ7|YCAR_ECOLI	-0.201	0.079
sp|P0ACY3|YEAG_ECOLI	1.084	0.0
sp|P77667|SUFA_ECOLI	-1.251	0.011
sp|P0A908|MIPA_ECOLI	0.648	0.0001177
sp|P0ADQ2|YIID_ECOLI	0.647	2.155e-08
sp|P76397|MDTA_ECOLI	-0.145	0.368
sp|P63224|GMHA_ECOLI	0.649	3.861e-11
sp|P0A6F3|GLPK_ECOLI	2.408	0.0
sp|P0AA31|YEDF_ECOLI	1.456	1.185e-08
sp|P33644|POLOX_ECOLI	-0.036	0.598
sp|P46130|YBHC_ECOLI	-0.078	0.136
