protein	log2FC	p-val
sp|P0ADN6|YIFL_ECOLI	-0.15	0.381
sp|P0AD96|LIVJ_ECOLI	0.325	0.001
sp|P0AF08|APBC_ECOLI	0.069	0.234
sp|P76071|INSH5_ECOLI	-0.378	0.708
sp|P39356|YJHU_ECOLI	0.152	0.418
sp|P33650|FEOB_ECOLI	-0.037	0.705
sp|P0ADN2|YIFE_ECOLI	-0.502	9.931e-09
sp|P0A8C4|YGFB_ECOLI	0.962	0.006
sp|P76116|YNCE_ECOLI	-0.417	1.429e-06
sp|P22729|LIVM_ECOLI	-1.025	9.904e-05
sp|P0ABQ2|GARR_ECOLI	0.34	0.085
sp|P31802|NARP_ECOLI	-0.053	0.938
sp|P76594|PKA_ECOLI	0.665	0.0007172
sp|P0AEF8|DPPB_ECOLI	-0.147	0.306
sp|P0A7C6|PEPE_ECOLI	0.763	0.001
sp|P0A8W0|NANR_ECOLI	-0.254	0.086
sp|P0AC33|FUMA_ECOLI	1.41	0.0
sp|P64455|YDCY_ECOLI	0.221	0.195
sp|P13482|TREA_ECOLI	0.669	7.567e-08
sp|P0ACL2|EXUR_ECOLI	-0.15	0.103
sp|P0ABV2|EXBD_ECOLI	-0.303	0.008
sp|P0A6G3|PNCC_ECOLI	0.059	0.802
sp|P0A853|TNAA_ECOLI	1.864	0.0
sp|P0AFX9|RSEB_ECOLI	0.119	0.733
sp|P37773|MPL_ECOLI	-0.312	0.017
sp|P0ABH0|FTSA_ECOLI	0.143	0.392
sp|P60664|HIS6_ECOLI	-1.066	3.233e-13
sp|P0A6Y1|IHFB_ECOLI	0.024	0.804
sp|P0A7Y0|RNC_ECOLI	-0.028	0.466
sp|P0AC16|FOLB_ECOLI	-0.696	0.002
sp|P15877|DHG_ECOLI	-0.106	0.938
sp|P0A8G0|UVRC_ECOLI	0.083	0.698
sp|P0ADG7|IMDH_ECOLI	-0.255	0.0004858
sp|P69801|PTNC_ECOLI	-0.663	0.003
sp|P27302|TKT1_ECOLI	-0.121	0.003
sp|P55734|YGAP_ECOLI	0.488	0.027
sp|P0AFU4|GLRR_ECOLI	-0.484	0.021
sp|P0AD27|YEJM_ECOLI	0.381	0.081
sp|P0AGG0|THIL_ECOLI	0.239	0.069
sp|P0A7F9|QUEA_ECOLI	0.67	0.0002174
sp|P0A8V2|RPOB_ECOLI	-0.145	0.0001029
sp|P23871|HEMH_ECOLI	0.087	0.716
sp|P0A858|TPIS_ECOLI	0.553	4.277e-08
sp|P76342|MSRP_ECOLI	-0.052	0.919
sp|P0A722|LPXA_ECOLI	0.179	0.226
sp|P09099|XYLB_ECOLI	0.105	0.526
sp|P27838|CYAY_ECOLI	-0.087	0.058
sp|P0A6Y5|HSLO_ECOLI	-0.335	0.0004971
sp|P0AF96|TABA_ECOLI	0.391	7.04e-07
sp|P0AE48|YTFP_ECOLI	-0.264	0.542
sp|P22525|YCBB_ECOLI	-0.595	0.404
sp|P76014|DHAL_ECOLI	-1.668	4.421e-13
sp|P76506|MLAA_ECOLI	-0.392	0.003
sp|P0AES4|GYRA_ECOLI	-0.259	2.098e-07
sp|P0C8J6|GATY_ECOLI	1.451	0.0
sp|P0A8I8|RLMH_ECOLI	-0.443	0.043
sp|P0A6H8|CLSA_ECOLI	-0.241	0.5
sp|Q93K97|ADPP_ECOLI	0.237	0.32
sp|P67087|RSMI_ECOLI	-0.231	0.012
sp|P0A825|GLYA_ECOLI	-0.317	3.02e-10
sp|P38038|CYSJ_ECOLI	-0.312	7.437e-06
sp|P31547|METI_ECOLI	-0.715	0.014
sp|P04949|FLIC_ECOLI	0.284	0.074
sp|P02925|RBSB_ECOLI	0.111	0.257
sp|P15034|AMPP_ECOLI	0.225	0.0005415
sp|P0AC41|SDHA_ECOLI	1.454	0.0
sp|P12281|MOEA_ECOLI	0.105	0.73
sp|P06968|DUT_ECOLI	-0.742	0.000274
