protein	log2FC	p-val
sp|P0AF36|ZAPB_ECOLI	0.216	0.121
sp|P00895|TRPE_ECOLI	0.35	0.906
sp|P0A884|TYSY_ECOLI	-0.085	0.46
sp|P26616|MAO1_ECOLI	-0.097	0.265
sp|P0A8G9|EX7S_ECOLI	0.672	0.001
sp|P0AFQ7|YCFH_ECOLI	-0.106	0.253
sp|P76506|MLAA_ECOLI	-0.209	0.136
sp|P27127|RFAB_ECOLI	1.486	9.202e-05
sp|P0A6F1|CARA_ECOLI	-0.847	0.0
sp|P0ADN2|YIFE_ECOLI	0.23	0.125
sp|P12994|YBHB_ECOLI	1.715	1.304e-07
sp|P07001|PNTA_ECOLI	-0.831	3.197e-14
sp|P31433|YICH_ECOLI	0.849	0.0001803
sp|P52697|6PGL_ECOLI	1.498	8.837e-14
sp|P0A6B4|ALR1_ECOLI	0.121	0.638
sp|P69222|IF1_ECOLI	0.08	0.65
sp|P77330|BORD_ECOLI	-0.084	0.446
sp|P00954|SYW_ECOLI	-0.367	7.027e-05
sp|P64429|YPFJ_ECOLI	0.468	0.003
sp|P0ADP9|YIHD_ECOLI	-0.264	0.049
sp|P0A9T4|TAS_ECOLI	0.0007017	0.678
sp|P76004|YCGM_ECOLI	1.002	0.0002281
sp|P30748|MOAD_ECOLI	-0.018	0.65
sp|P0A800|RPOZ_ECOLI	0.17	0.183
sp|P0A9I3|GCVR_ECOLI	0.148	0.494
sp|P0AED7|DAPE_ECOLI	0.491	0.119
sp|P0ADU5|YGIW_ECOLI	0.869	2.081e-07
sp|P0AEI4|RIMO_ECOLI	-0.595	1.219e-05
sp|P0AC51|ZUR_ECOLI	0.822	0.009
sp|P31678|OTSB_ECOLI	1.634	0.0
sp|Q2M7R5|YIBT_ECOLI	-0.306	0.319
sp|P23837|PHOQ_ECOLI	1.25	0.0007653
sp|P0A6U3|MNMG_ECOLI	-0.138	0.17
sp|P0A9T0|SERA_ECOLI	-0.657	2.398e-14
sp|P67087|RSMI_ECOLI	0.067	0.105
sp|P0AAB4|UBID_ECOLI	1.252	7.976e-13
sp|P00962|SYQ_ECOLI	-0.007	0.653
sp|P0AGG2|TESB_ECOLI	0.164	0.181
sp|P69805|PTND_ECOLI	-0.123	0.422
sp|P75736|YBFF_ECOLI	0.671	2.142e-05
sp|P0A6W5|GREA_ECOLI	0.449	0.003
sp|P64624|YHEO_ECOLI	0.17	0.743
sp|P25535|UBII_ECOLI	0.237	0.68
sp|P26365|AMIB_ECOLI	0.023	0.912
sp|P07012|RF2_ECOLI	-0.365	1.672e-06
sp|P11875|SYR_ECOLI	-0.216	0.143
sp|P07913|TDH_ECOLI	1.449	1.701e-08
sp|P77721|YDJF_ECOLI	0.99	0.003
sp|P0AE82|CPXA_ECOLI	0.839	9.522e-06
sp|P0AG80|UGPB_ECOLI	2.711	0.0
sp|P11446|ARGC_ECOLI	-0.462	5.038e-06
sp|P0A7F6|SPED_ECOLI	-0.601	1.08e-06
sp|P39411|NCPP_ECOLI	-0.116	0.72
sp|P0AB58|LAPB_ECOLI	1.998	5.797e-06
sp|P0A6C1|END4_ECOLI	-0.019	0.701
sp|P05041|PABB_ECOLI	-0.284	0.194
sp|P76535|MURQ_ECOLI	1.324	1.07e-07
sp|P60723|RL4_ECOLI	-0.247	0.021
sp|P42593|FADH_ECOLI	2.751	0.0
sp|P07004|PROA_ECOLI	0.542	0.000906
sp|P24251|CRL_ECOLI	-0.744	1.199e-07
sp|P45523|FKBA_ECOLI	-0.286	0.015
sp|P60757|HIS1_ECOLI	-0.663	1.07e-13
sp|P10100|RLPA_ECOLI	0.024	0.829
sp|P40874|MTOX_ECOLI	-0.545	2.854e-07
sp|P29012|ALR2_ECOLI	1.149	1.676e-06
sp|P11454|ENTF_ECOLI	-0.05	0.447
sp|P08957|T1MK_ECOLI	-0.374	0.003
sp|P0AAF6|ARTP_ECOLI	0.398	0.013
sp|P0A7U3|RS19_ECOLI	-0.741	2.038e-07
sp|P76038|PUUD_ECOLI	-0.988	0.0009356
sp|P0ADR8|PPNN_ECOLI	1.11	0.0
sp|P37095|PEPB_ECOLI	0.365	0.001
sp|P60560|GUAC_ECOLI	0.156	0.927
sp|P0ABI8|CYOB_ECOLI	-0.557	0.0007698
sp|P37613|PANZ_ECOLI	1.664	1.202e-06
sp|P06989|HIS2_ECOLI	-0.681	0.0001261
sp|P0A877|TRPA_ECOLI	-0.531	2.714e-10
sp|P0A9X9|CSPA_ECOLI	-1.286	2.505e-08
sp|P0A6Z1|HSCA_ECOLI	-0.401	1.22e-06
sp|P0AAS7|YBCJ_ECOLI	-0.078	0.021
sp|P0A912|PAL_ECOLI	-0.145	0.354
sp|P0A8T7|RPOC_ECOLI	0.013	0.567
