protein	log2FC	p-val
sp|P0A780|NUSB_ECOLI	-0.379	0.001
sp|P0A7W7|RS8_ECOLI	-0.231	0.035
sp|P45577|PROQ_ECOLI	-0.436	6.046e-06
sp|P0AAN5|YAIA_ECOLI	0.396	0.101
sp|P0C0V0|DEGP_ECOLI	1.006	0.0
sp|P64530|RCNR_ECOLI	-0.327	0.239
sp|P21363|YCIE_ECOLI	1.453	2.933e-10
sp|P0A738|MOAC_ECOLI	-0.107	0.054
sp|P68767|AMPA_ECOLI	0.322	0.004
sp|P41409|RIHA_ECOLI	-0.026	0.455
sp|P0A9P6|DEAD_ECOLI	-1.192	6.661e-16
sp|P08142|ILVB_ECOLI	-0.474	6.105e-05
sp|P15034|AMPP_ECOLI	0.93	3.206e-13
sp|P77806|YBDL_ECOLI	0.305	0.214
sp|P18843|NADE_ECOLI	0.4	0.004
sp|P06993|MALT_ECOLI	-0.71	2.526e-05
sp|P0AGD1|SODC_ECOLI	0.804	0.0006452
sp|P0A832|SSRP_ECOLI	-0.181	0.247
sp|P06999|PFKB_ECOLI	0.12	0.575
sp|P77544|YFCF_ECOLI	0.536	0.01
sp|P0AA53|QMCA_ECOLI	-0.201	0.32
sp|P0AC44|DHSD_ECOLI	-1.14	5.638e-05
sp|P00350|6PGD_ECOLI	-0.386	2.242e-09
sp|P18390|YJJA_ECOLI	0.297	0.289
sp|P0ADQ2|YIID_ECOLI	0.683	2.221e-05
sp|P00887|AROH_ECOLI	0.272	0.097
sp|P0AAN9|IRAP_ECOLI	-0.442	0.105
sp|P25665|METE_ECOLI	-0.47	0.0
sp|P0A8T7|RPOC_ECOLI	-0.471	0.0
sp|P07001|PNTA_ECOLI	-0.859	8.216e-14
sp|P0A9K7|PHOU_ECOLI	0.144	0.578
sp|P77541|PRPB_ECOLI	1.931	0.0
sp|P0AEB2|DACA_ECOLI	-0.194	0.004
sp|P03004|DNAA_ECOLI	0.19	0.325
sp|P76034|YCIT_ECOLI	0.354	0.028
sp|P77737|OPPF_ECOLI	-0.526	0.004
sp|P04846|NLPA_ECOLI	-0.371	0.0005439
sp|P0A988|DPO3B_ECOLI	0.421	0.133
sp|P76015|DHAK_ECOLI	0.145	0.7
sp|P0AAQ2|YAJD_ECOLI	-0.55	0.015
sp|P28249|ASMA_ECOLI	-0.018	0.493
sp|P0AEB7|YOAB_ECOLI	0.069	0.663
sp|P31680|DJLA_ECOLI	-0.52	0.08
sp|P69441|KAD_ECOLI	0.114	0.573
sp|P00895|TRPE_ECOLI	0.297	0.029
sp|P07862|DDLB_ECOLI	0.321	0.173
sp|P0AC02|BAMD_ECOLI	-0.406	0.0008492
sp|P69423|TATC_ECOLI	-0.508	0.639
sp|P0AD61|KPYK1_ECOLI	0.383	8.755e-06
sp|P0ABZ6|SURA_ECOLI	0.169	0.12
sp|P33940|MQO_ECOLI	0.018	0.977
sp|P37690|ENVC_ECOLI	0.556	0.016
sp|P0AA25|THIO_ECOLI	0.697	3.575e-07
sp|P31142|THTM_ECOLI	0.413	0.0006745
sp|P07012|RF2_ECOLI	-0.225	0.005
sp|P32132|TYPA_ECOLI	0.057	0.421
sp|P77695|GNSB_ECOLI	0.016	0.566
sp|P25746|HFLD_ECOLI	-0.324	0.354
sp|P31475|YIEP_ECOLI	-0.186	0.22
sp|P0ADS2|ZAPA_ECOLI	0.357	0.081
sp|P0ABJ1|CYOA_ECOLI	-1.161	3.393e-10
sp|P0ABB0|ATPA_ECOLI	-0.377	5.633e-09
sp|P43329|HRPA_ECOLI	-0.293	0.022
sp|P33602|NUOG_ECOLI	-0.298	3.911e-05
sp|P31130|YDEI_ECOLI	0.7	0.0006935
sp|P00934|THRC_ECOLI	-0.521	5.706e-10
sp|Q46856|YQHD_ECOLI	0.301	0.011
sp|P0AG78|SUBI_ECOLI	-0.949	1.332e-14
sp|P0AG18|PURE_ECOLI	-0.524	0.0006207
sp|P0A9M8|PTA_ECOLI	-0.023	0.798
sp|P13482|TREA_ECOLI	1.034	3.143e-11
sp|P37645|YHJG_ECOLI	0.762	0.0001569
sp|P52096|YAER_ECOLI	0.309	0.495
sp|P0A850|TIG_ECOLI	-0.255	0.0001566
sp|P0ADE4|TAMA_ECOLI	-0.178	0.342
sp|P75713|ALLE_ECOLI	0.346	0.282
sp|P0A6V1|GLGC_ECOLI	-0.128	0.337
sp|P37902|GLTI_ECOLI	0.414	1.859e-06
sp|P75915|YCDY_ECOLI	-0.328	0.063
sp|P07623|METAS_ECOLI	0.174	0.104
sp|P69831|PTKC_ECOLI	-0.947	5.835e-10
sp|P0AB77|KBL_ECOLI	0.319	0.084
sp|P0ACY1|YDJA_ECOLI	-0.367	0.081
sp|P18956|GGT_ECOLI	-0.198	0.036
sp|P0A9D8|DAPD_ECOLI	-0.115	0.042
sp|P0A6Z6|NIKR_ECOLI	0.662	0.312
sp|P27302|TKT1_ECOLI	-0.529	1.856e-13
sp|P07395|SYFB_ECOLI	0.167	0.027
sp|P45470|YHBO_ECOLI	0.877	4.641e-05
sp|P0AEQ3|GLNH_ECOLI	0.177	0.047
sp|P0A7E1|PYRD_ECOLI	-0.279	0.003
sp|P14081|SELB_ECOLI	0.028	0.485
sp|P0A6C8|ARGB_ECOLI	0.033	0.796
sp|P09831|GLTB_ECOLI	-0.311	3.175e-12
sp|P76569|YFGD_ECOLI	-0.152	0.754
sp|P0A7A5|PIMT_ECOLI	0.857	0.0004394
sp|P27550|ACSA_ECOLI	0.665	8.882e-16
sp|P0AEV1|RSSB_ECOLI	0.62	0.128
sp|Q46939|YQEF_ECOLI	0.051	0.784
sp|P0AFH8|OSMY_ECOLI	-0.406	0.0007134
sp|P17854|CYSH_ECOLI	-0.338	0.004
sp|P0AG84|YGHA_ECOLI	1.141	3.362e-09
sp|P02919|PBPB_ECOLI	-0.055	0.893
sp|P37642|YHJD_ECOLI	0.067	0.611
sp|P77581|ASTC_ECOLI	-0.104	0.623
sp|P05041|PABB_ECOLI	-0.303	0.227
sp|P77735|YAJO_ECOLI	0.404	0.001
sp|P0ADW3|YHCB_ECOLI	-0.026	0.719
sp|P0A9H1|MUG_ECOLI	0.593	0.01
sp|P0ADZ0|RL23_ECOLI	-0.318	0.239
sp|P0ACB4|HEMG_ECOLI	0.56	0.004
sp|P0AG59|RS14_ECOLI	-0.478	0.002
sp|P36649|CUEO_ECOLI	1.169	2.411e-06
sp|P0A6W9|GSH1_ECOLI	-0.062	0.643
sp|P0ABP8|DEOD_ECOLI	0.228	0.094
sp|P0ACQ4|OXYR_ECOLI	0.125	0.586
sp|P77213|GCS2_ECOLI	0.56	0.014
