protein	log2FC	p-val
sp|P62517|OPGH_ECOLI	0.124	0.234
sp|P0AAI5|FABF_ECOLI	0.082	0.607
sp|P76346|MTFA_ECOLI	1.26	4.587e-08
sp|P21645|LPXD_ECOLI	0.111	0.28
sp|P02918|PBPA_ECOLI	0.194	0.443
sp|P30126|LEUD_ECOLI	0.356	0.004
sp|P0A6I9|COAE_ECOLI	0.332	0.214
sp|P37349|DHAM_ECOLI	-1.516	4.96e-09
sp|P0A7R5|RS10_ECOLI	0.111	0.682
sp|P37903|USPF_ECOLI	1.716	1.244e-12
sp|P0ACU7|YJDC_ECOLI	-0.002	0.508
sp|P0A7F3|PYRI_ECOLI	0.756	6.586e-11
sp|P0A9Q5|ACCD_ECOLI	0.026	0.829
sp|P0ADV5|YHBW_ECOLI	-0.568	0.012
sp|P0ACG1|STPA_ECOLI	0.181	0.124
sp|P32160|YIIQ_ECOLI	0.814	0.068
sp|P43337|NUDL_ECOLI	-0.202	0.233
sp|P64530|RCNR_ECOLI	-0.033	0.862
sp|P10378|ENTE_ECOLI	-0.971	6.661e-06
sp|P21829|YBHA_ECOLI	-0.038	0.889
sp|P0A6I3|COAA_ECOLI	0.564	0.0007044
sp|P0AFH6|OPPC_ECOLI	-0.382	0.088
sp|P04825|AMPN_ECOLI	0.043	0.793
sp|P0A8E7|YAJQ_ECOLI	-0.044	0.415
sp|P75830|MACA_ECOLI	-0.139	0.502
sp|Q93K97|ADPP_ECOLI	0.269	0.185
sp|P0AB28|YCED_ECOLI	-0.117	0.909
sp|P25535|UBII_ECOLI	0.381	0.104
sp|P77171|YDCI_ECOLI	0.509	0.003
sp|P37643|YHJE_ECOLI	0.418	0.03
sp|P65367|YQCA_ECOLI	0.014	0.942
sp|P0A9S3|GATD_ECOLI	2.166	0.0
sp|P45579|HCXA_ECOLI	0.728	6.168e-06
sp|P77213|GCS2_ECOLI	0.762	0.066
sp|P0A8W5|YQGE_ECOLI	0.12	0.393
sp|P15005|MCRB_ECOLI	0.496	0.063
sp|P0A6J8|DDLA_ECOLI	-0.931	1.785e-13
sp|P0ACE3|HHA_ECOLI	-0.407	0.102
sp|P0ACZ4|EVGA_ECOLI	-0.458	0.063
sp|P0C037|PPNP_ECOLI	-0.645	0.003
sp|P19934|TOLA_ECOLI	-0.563	0.002
sp|P0A7F6|SPED_ECOLI	-0.014	0.774
sp|P37765|RLUB_ECOLI	0.415	0.014
sp|P0A884|TYSY_ECOLI	0.236	0.161
sp|P75745|PXPC_ECOLI	0.222	0.459
sp|P0AED5|UVRY_ECOLI	-0.631	0.004
sp|P0AFT2|YECS_ECOLI	-0.043	0.697
sp|P0A731|MGSA_ECOLI	0.786	0.03
sp|P0A9H5|BTUR_ECOLI	0.201	0.216
sp|P24202|MRR_ECOLI	0.18	0.223
sp|P0AAG3|GLTL_ECOLI	0.538	0.012
sp|P00452|RIR1_ECOLI	-0.209	0.003
sp|P0A9N4|PFLA_ECOLI	-0.005	0.747
sp|P0A7A7|PLSB_ECOLI	0.022	0.782
sp|P75728|UBIF_ECOLI	0.574	0.021
sp|P77258|NEMA_ECOLI	-0.509	0.0006272
sp|P0ABS1|DKSA_ECOLI	0.235	0.013
sp|P02925|RBSB_ECOLI	3.228	0.0
sp|P29680|DCUP_ECOLI	-0.793	0.0001495
sp|P0ABT2|DPS_ECOLI	1.963	0.0
sp|P00909|TRPC_ECOLI	0.02	0.866
sp|P64581|YQJD_ECOLI	0.035	0.831
sp|P11557|DAMX_ECOLI	-0.159	0.058
sp|P77756|QUEC_ECOLI	-0.627	0.039
sp|P0A7L0|RL1_ECOLI	0.049	0.908
sp|P0AG99|SECG_ECOLI	0.036	0.829
sp|P31806|NNR_ECOLI	-0.219	0.371
sp|P08395|SPPA_ECOLI	-0.423	0.012
sp|P0ACL2|EXUR_ECOLI	0.6	0.032
sp|P0A6M8|EFG_ECOLI	0.201	0.0001319
sp|P0AB26|YCEB_ECOLI	-1.198	4.128e-05
sp|P23837|PHOQ_ECOLI	0.903	0.016
sp|P0AF67|TSAE_ECOLI	-0.063	0.439
sp|P0AGG8|TLDD_ECOLI	-0.5	0.012
sp|P07014|SDHB_ECOLI	1.127	0.0
sp|P20966|PTFBC_ECOLI	-0.566	0.015
sp|P13857|RIML_ECOLI	0.403	0.089
sp|P20099|BISC_ECOLI	-0.412	0.025
sp|P0ACQ4|OXYR_ECOLI	0.069	0.319
sp|P0AAQ2|YAJD_ECOLI	1.008	1.309e-06
sp|P77689|SUFD_ECOLI	-0.755	5.639e-08
sp|P0A7Z4|RPOA_ECOLI	0.041	0.689
sp|P08956|T1RK_ECOLI	0.728	0.011
sp|P11880|MURF_ECOLI	-0.264	0.113
