protein	log2FC	p-val
sp|P69425|TATB_ECOLI	0.066	0.789
sp|P0ACF0|DBHA_ECOLI	0.007	0.946
sp|P0ABQ0|COABC_ECOLI	-0.336	0.06
sp|P0AG82|PSTS_ECOLI	0.537	1.951e-05
sp|P18390|YJJA_ECOLI	0.637	0.224
sp|P0A9W9|YRDA_ECOLI	-0.026	0.679
sp|P39406|RSMC_ECOLI	0.202	0.22
sp|P46118|HEXR_ECOLI	0.949	0.00091
sp|P03004|DNAA_ECOLI	-0.027	0.929
sp|P02358|RS6_ECOLI	0.039	0.544
sp|P33355|YEHS_ECOLI	0.185	0.662
sp|P12995|BIOA_ECOLI	-0.339	0.056
sp|P09147|GALE_ECOLI	0.692	3.072e-07
sp|P75694|YAHO_ECOLI	1.414	1.679e-07
sp|P31133|POTF_ECOLI	0.602	1.917e-07
sp|P0A9R4|FER_ECOLI	0.226	0.338
sp|P00887|AROH_ECOLI	-0.093	0.45
sp|P37774|YECC_ECOLI	0.006	0.954
sp|P06993|MALT_ECOLI	0.282	0.104
sp|P0AD68|FTSI_ECOLI	0.11	0.929
sp|P0C018|RL18_ECOLI	0.221	0.092
sp|P31130|YDEI_ECOLI	0.285	0.412
sp|P77552|YDHQ_ECOLI	-0.307	0.064
sp|P0A698|UVRA_ECOLI	-0.122	0.056
sp|P0A6Z6|NIKR_ECOLI	-0.133	0.721
sp|P0A7C6|PEPE_ECOLI	1.359	2.285e-10
sp|P0ADZ0|RL23_ECOLI	0.231	0.379
sp|P0A908|MIPA_ECOLI	0.622	0.0001218
sp|P0AFU4|GLRR_ECOLI	-0.244	0.233
sp|P30748|MOAD_ECOLI	-0.257	0.063
sp|P0AFY8|SEQA_ECOLI	-0.042	0.154
sp|P0A705|IF2_ECOLI	-0.0008976	0.737
sp|P0A6A3|ACKA_ECOLI	-0.289	0.002
sp|P77611|RSXC_ECOLI	0.458	0.081
sp|P0A7D7|PUR7_ECOLI	-0.032	0.168
sp|P37595|IAAA_ECOLI	0.126	0.35
sp|P33920|NDPA_ECOLI	0.314	0.015
sp|P0A951|ATDA_ECOLI	-0.133	0.654
sp|P31802|NARP_ECOLI	0.597	0.005
sp|P0AF93|RIDA_ECOLI	0.478	0.001
sp|P31057|PANB_ECOLI	-0.033	0.322
sp|P0A759|NAGB_ECOLI	0.58	0.0001402
sp|P66948|BEPA_ECOLI	0.215	0.45
sp|P21156|CYSD_ECOLI	0.306	0.108
sp|P0AFB1|NLPI_ECOLI	0.227	0.1
sp|P0AED7|DAPE_ECOLI	-0.535	0.001
sp|P0AF90|RRAB_ECOLI	-0.412	0.079
sp|P30749|MOAE_ECOLI	-0.538	0.001
sp|P30958|MFD_ECOLI	-0.253	0.004
sp|P0A7E1|PYRD_ECOLI	0.404	1.332e-05
sp|P0AFZ1|SSEB_ECOLI	-0.182	0.211
