protein	log2FC	p-val
sp|P30177|YBIB_ECOLI	0.981	3.001e-09
sp|P77544|YFCF_ECOLI	0.173	0.427
sp|P0AG24|SPOT_ECOLI	0.107	0.386
sp|P36767|RDGC_ECOLI	0.167	0.101
sp|P32695|DUSA_ECOLI	0.54	0.008
sp|P45578|LUXS_ECOLI	-0.34	0.033
sp|P0A905|SLYB_ECOLI	-0.46	0.006
sp|P13001|BIOH_ECOLI	-0.175	0.755
sp|P23836|PHOP_ECOLI	0.274	0.016
sp|P77182|MNMC_ECOLI	0.489	0.156
sp|P0A9U3|YBIT_ECOLI	-0.332	0.054
sp|P32664|NUDC_ECOLI	0.382	0.092
sp|P09373|PFLB_ECOLI	0.091	0.013
sp|P22731|LIVF_ECOLI	0.014	0.621
sp|P0AGD1|SODC_ECOLI	1.994	1.561e-07
sp|P0A6A8|ACP_ECOLI	0.301	0.157
sp|P27848|YIGL_ECOLI	0.706	0.002
sp|P08331|CPDB_ECOLI	0.673	1.007e-07
sp|P0A7S3|RS12_ECOLI	-0.797	8.746e-06
sp|P0A7D7|PUR7_ECOLI	0.194	0.012
sp|P0ACJ8|CRP_ECOLI	0.574	4.392e-09
sp|P46130|YBHC_ECOLI	-0.174	0.095
sp|P0AG16|PUR1_ECOLI	-0.206	0.066
sp|P23882|FMT_ECOLI	0.482	0.0006749
sp|P77756|QUEC_ECOLI	0.279	0.243
sp|P02925|RBSB_ECOLI	0.867	0.0
sp|P02943|LAMB_ECOLI	1.829	0.0
sp|P0A8L1|SYS_ECOLI	-0.351	0.0002086
sp|P0AFX9|RSEB_ECOLI	0.375	0.244
sp|P0AAB8|USPD_ECOLI	1.555	8.424e-06
sp|P0A6P5|DER_ECOLI	-0.104	0.058
sp|P0AAP3|FRMR_ECOLI	0.087	0.718
sp|P0AA43|RSUA_ECOLI	-0.11	0.804
sp|P0AFI7|PDXH_ECOLI	-0.151	0.737
sp|P0AEU0|HISJ_ECOLI	0.239	0.004
sp|P03023|LACI_ECOLI	-0.823	0.027
sp|P23839|YICC_ECOLI	-0.136	0.517
sp|P0C0S1|MSCS_ECOLI	-0.164	0.683
sp|P76402|YEGP_ECOLI	0.992	8.85e-05
sp|P09372|GRPE_ECOLI	0.182	0.155
sp|P0A9X9|CSPA_ECOLI	0.195	0.222
sp|P62623|ISPH_ECOLI	-0.308	0.862
sp|P0ACP7|PURR_ECOLI	0.064	0.438
