protein	log2FC	p-val
sp|P0A7G6|RECA_ECOLI	-0.753	2.536e-08
sp|P0AET8|HDHA_ECOLI	1.239	0.0
sp|P55734|YGAP_ECOLI	0.783	0.002
sp|P39177|USPG_ECOLI	0.265	0.016
sp|P0A8X2|YCEI_ECOLI	0.134	0.304
sp|P0A7F9|QUEA_ECOLI	0.417	0.09
sp|P33030|YEIR_ECOLI	-0.035	0.093
sp|P22564|RIHC_ECOLI	-0.123	0.124
sp|P39411|NCPP_ECOLI	-0.047	0.774
sp|P0ACB7|HEMY_ECOLI	-0.388	0.0007369
sp|P60472|UPPS_ECOLI	0.4	0.092
sp|P69853|DMSD_ECOLI	0.254	0.317
sp|P0ACJ0|LRP_ECOLI	-0.061	0.686
sp|P39280|EPMB_ECOLI	-0.244	0.583
sp|P0ACE3|HHA_ECOLI	-0.411	0.055
sp|P0AAE0|CYCA_ECOLI	0.132	0.437
sp|P0ADV1|LPTA_ECOLI	0.039	0.297
sp|P0A9F3|CYSB_ECOLI	0.19	0.787
sp|P23894|HTPX_ECOLI	-0.445	0.004
sp|P0A729|NTPPB_ECOLI	0.822	1.209e-06
sp|P0ADY3|RL14_ECOLI	0.056	0.854
sp|P29131|FTSN_ECOLI	0.126	0.414
sp|P76113|CURA_ECOLI	0.39	3.65e-05
sp|P64554|QUEE_ECOLI	-0.027	0.183
sp|P0ACF0|DBHA_ECOLI	-0.537	5.792e-06
sp|P18392|RSTB_ECOLI	0.663	0.011
sp|P37339|LHGD_ECOLI	-0.764	0.0001624
sp|P0AGA6|UHPA_ECOLI	0.235	0.434
sp|P76536|YFEX_ECOLI	0.172	0.087
sp|P28249|ASMA_ECOLI	0.041	0.39
sp|P0A9B2|G3P1_ECOLI	0.052	0.928
sp|P23843|OPPA_ECOLI	-0.539	3.639e-13
sp|P37330|MASZ_ECOLI	1.409	0.0
sp|P75914|YCDX_ECOLI	0.149	0.848
sp|P39099|DEGQ_ECOLI	-0.533	3.318e-08
sp|P0AB61|YCIN_ECOLI	-0.558	0.803
sp|P68767|AMPA_ECOLI	-0.525	3.273e-09
sp|P0AAI5|FABF_ECOLI	0.215	0.181
sp|P0AEW9|K1PF_ECOLI	-2.372	7.804e-08
sp|P00350|6PGD_ECOLI	-0.003	0.89
sp|P77625|HXPA_ECOLI	0.253	0.33
sp|P0A7D7|PUR7_ECOLI	-0.051	0.222
sp|P0AEE3|DEGS_ECOLI	-0.198	0.478
sp|P52108|RSTA_ECOLI	0.845	4.813e-06
sp|P0AB24|EFEO_ECOLI	0.044	0.715
sp|P33219|YEBF_ECOLI	-0.0008511	0.95
sp|P25714|YIDC_ECOLI	-0.512	0.005
sp|P00490|PHSM_ECOLI	-0.737	4.441e-16
sp|P0AB52|YCHN_ECOLI	1.065	5.543e-08
sp|P69425|TATB_ECOLI	-0.515	0.0001126
sp|P26646|ACUI_ECOLI	0.138	0.019
sp|P0AFB8|NTRC_ECOLI	-0.242	0.02
sp|P75818|YBJP_ECOLI	0.45	0.02
sp|P52061|IXTPA_ECOLI	0.199	0.122
sp|P27302|TKT1_ECOLI	0.092	0.989
sp|P0ADQ7|YGAM_ECOLI	0.714	0.012
sp|P0A761|NANE_ECOLI	-0.458	0.006
sp|P0C0S1|MSCS_ECOLI	-0.101	0.061
sp|P23003|TRMA_ECOLI	-0.048	0.522
sp|P76235|YEAH_ECOLI	-0.236	0.216
sp|P0A6N8|EFPL_ECOLI	-0.023	0.275
sp|P0AGE6|CHRR_ECOLI	0.334	0.057
sp|P09424|MTLD_ECOLI	0.694	3.704e-12
sp|P0A8I5|TRMB_ECOLI	0.141	0.483
sp|P0A7B8|HSLV_ECOLI	-0.373	0.141
sp|P0A6P5|DER_ECOLI	-0.095	0.042
sp|P31120|GLMM_ECOLI	-0.397	2.819e-06
sp|P12758|UDP_ECOLI	0.222	0.009
sp|P0AE91|CREA_ECOLI	-0.496	0.073
sp|P30871|3PASE_ECOLI	-0.219	0.127
sp|P61889|MDH_ECOLI	0.535	1.072e-10
sp|P46837|YHGF_ECOLI	-0.381	8.824e-06
sp|P60595|HIS5_ECOLI	-1.174	6.084e-14
sp|P76004|YCGM_ECOLI	-0.269	0.716
sp|P00448|SODM_ECOLI	-0.003	0.701
sp|P0AB10|PQIC_ECOLI	0.31	0.19
sp|P0AE88|CPXR_ECOLI	0.174	0.123
sp|P0AFI2|PARC_ECOLI	-0.335	0.004
sp|P0A6L9|HSCB_ECOLI	0.124	0.763
sp|Q47146|FADE_ECOLI	0.065	0.041
sp|P0AC81|LGUL_ECOLI	0.273	0.025
sp|P77569|MHPR_ECOLI	0.428	0.018
sp|P0A9R4|FER_ECOLI	0.68	1.881e-07
sp|P69054|DHSC_ECOLI	0.495	0.004
sp|P23847|DPPA_ECOLI	0.031	0.429
sp|P0AEE5|DGAL_ECOLI	-0.594	0.0
sp|P0AFD6|NUOI_ECOLI	-0.226	0.014
sp|P0DMC7|RCSB_ECOLI	0.109	0.123
sp|P75713|ALLE_ECOLI	0.26	0.468
sp|P0A7A2|GPMB_ECOLI	0.208	0.292
sp|P0AAB8|USPD_ECOLI	0.629	0.005
sp|P64540|YFCL_ECOLI	-0.319	0.111
sp|P77667|SUFA_ECOLI	0.092	0.524
sp|P36649|CUEO_ECOLI	-0.263	0.01
sp|P0ADZ0|RL23_ECOLI	-0.522	0.0002338
sp|P77544|YFCF_ECOLI	0.058	0.697
sp|P0A901|BLC_ECOLI	-0.129	0.465
sp|P05825|FEPA_ECOLI	0.208	0.279
sp|P0AED9|DCM_ECOLI	0.667	0.049
sp|P37128|NUDK_ECOLI	-0.677	0.002
sp|P76594|PKA_ECOLI	-0.237	0.004
sp|P0A884|TYSY_ECOLI	-0.706	5.749e-05
sp|P08142|ILVB_ECOLI	-0.031	0.423
sp|P0AF36|ZAPB_ECOLI	0.671	0.001
sp|P23305|YIGA_ECOLI	-0.288	0.27
sp|P0A6F9|CH10_ECOLI	-1.073	1.079e-10
sp|P0A763|NDK_ECOLI	-0.118	0.017
sp|P0AGK4|YHBY_ECOLI	-0.236	0.57
sp|P15770|AROE_ECOLI	0.678	0.0003721
sp|P0AEH3|ELAA_ECOLI	0.123	0.48
sp|P24182|ACCC_ECOLI	0.159	0.035
sp|P69776|LPP_ECOLI	0.367	0.0003254
sp|P04693|TYRB_ECOLI	0.263	0.001
sp|P0ABH7|CISY_ECOLI	0.682	3.411e-10
sp|P21363|YCIE_ECOLI	0.35	0.112
sp|P0AED0|USPA_ECOLI	0.673	6.238e-07
sp|P0AEZ3|MIND_ECOLI	0.121	0.026
sp|P0A6E4|ASSY_ECOLI	-0.419	2.405e-09
sp|P37634|RLMJ_ECOLI	0.244	0.028
sp|P0AG78|SUBI_ECOLI	1.421	0.0
sp|P21499|RNR_ECOLI	-0.05	0.263
sp|P32662|GPH_ECOLI	0.304	0.116
sp|P0A972|CSPE_ECOLI	-1.198	1.14e-11
sp|P13029|KATG_ECOLI	0.078	0.054
sp|P15254|PUR4_ECOLI	-0.175	6.068e-08
sp|Q46857|DKGA_ECOLI	0.455	1.379e-05
sp|P28304|QOR1_ECOLI	0.599	1.043e-08
sp|P37757|YDDE_ECOLI	-0.562	0.041
sp|P12008|AROC_ECOLI	0.152	0.735
sp|P0AFX0|HPF_ECOLI	0.32	0.013
sp|P30850|RNB_ECOLI	0.066	0.256
sp|P24178|YFFB_ECOLI	0.312	0.225
sp|P0AE01|TRMJ_ECOLI	0.666	4.48e-05
sp|P0A890|TUSA_ECOLI	0.418	0.042
sp|P0AB12|YCCF_ECOLI	-0.71	0.003
sp|P75745|PXPC_ECOLI	-0.319	0.314
sp|P46852|YHHW_ECOLI	-0.56	9.3e-05
sp|P0A6Z1|HSCA_ECOLI	-0.171	0.318
sp|P0AAG8|MGLA_ECOLI	-0.897	2.665e-14
sp|P27848|YIGL_ECOLI	-0.219	0.003
sp|P35340|AHPF_ECOLI	0.67	0.0
sp|P0A6I3|COAA_ECOLI	-0.287	0.077
sp|P0AE48|YTFP_ECOLI	0.175	0.921
sp|P33195|GCSP_ECOLI	-0.022	0.164
sp|P65870|QUED_ECOLI	-0.78	6.37e-05
sp|P21156|CYSD_ECOLI	0.397	0.025
sp|P0ABI4|CORA_ECOLI	-0.069	0.645
sp|P0ADG7|IMDH_ECOLI	0.018	0.441
sp|P0AC19|FOLX_ECOLI	-0.572	0.000174
sp|P46130|YBHC_ECOLI	-0.089	0.107
sp|P0A7F3|PYRI_ECOLI	0.01	0.882
sp|P0ABK5|CYSK_ECOLI	0.432	4.754e-07
sp|P25535|UBII_ECOLI	-0.348	0.07
sp|P69829|PTSN_ECOLI	0.453	0.004
sp|P0A6L2|DAPA_ECOLI	0.024	0.773
sp|P0ADZ4|RS15_ECOLI	-0.372	0.0009261
sp|P0AEN8|FUCM_ECOLI	-0.382	0.037
sp|P69786|PTGCB_ECOLI	-0.235	0.011
sp|P31979|NUOF_ECOLI	-0.02	0.668
sp|P0A9W6|IBAG_ECOLI	-1.005	0.0002188
sp|P75959|NAGK_ECOLI	-0.009	0.948
sp|P77338|MSCK_ECOLI	-0.494	0.113
sp|P0AFQ7|YCFH_ECOLI	-0.285	0.154
sp|P76038|PUUD_ECOLI	-1.831	2.429e-07
sp|P0AG16|PUR1_ECOLI	-0.286	0.006
sp|P77554|YAHJ_ECOLI	-0.017	0.899
sp|P0A8C4|YGFB_ECOLI	0.061	0.887
sp|P30958|MFD_ECOLI	-0.052	0.41
sp|P0ABT2|DPS_ECOLI	0.971	0.0
sp|P33368|YOHF_ECOLI	0.756	0.0006595
sp|P0ACZ8|CUSR_ECOLI	0.393	0.0002105
sp|P62617|ISPF_ECOLI	1.037	1.44e-06
sp|P0A800|RPOZ_ECOLI	-0.235	0.0005191
sp|P21513|RNE_ECOLI	-0.326	4.903e-07
sp|P0A9F6|GCVA_ECOLI	-0.684	0.097
sp|P25894|LOIP_ECOLI	0.038	0.734
sp|P0A9Z1|GLNB_ECOLI	-0.03	0.132
sp|P21367|YCAC_ECOLI	-0.399	0.068
sp|P0A8D6|YMDB_ECOLI	1.356	0.003
sp|P56262|DLHH_ECOLI	0.715	5.199e-05
sp|P75823|LTAE_ECOLI	0.658	2.373e-06
sp|P07639|AROB_ECOLI	0.112	0.256
sp|P0ABZ4|KDSC_ECOLI	-0.358	0.257
sp|P76341|HIUH_ECOLI	-0.3	0.08
sp|P0AFF6|NUSA_ECOLI	-0.041	0.507
sp|P60723|RL4_ECOLI	-0.131	0.438
sp|P17315|CIRA_ECOLI	-0.375	0.0008271
sp|P76372|WZZB_ECOLI	-0.233	0.0007784
sp|P32144|CSQR_ECOLI	0.48	0.121
sp|P0ADS6|YGGE_ECOLI	0.125	0.458
sp|P0A6I0|KCY_ECOLI	0.02	0.614
sp|P75849|GLO22_ECOLI	0.546	0.001
sp|P31547|METI_ECOLI	-0.935	0.0001619
sp|P0ACV8|YMJA_ECOLI	0.153	0.516
sp|P78067|YNJE_ECOLI	0.824	0.004
sp|P36683|ACNB_ECOLI	0.873	0.0
sp|P0A7Z4|RPOA_ECOLI	0.097	0.114
sp|P68699|ATPL_ECOLI	-0.27	0.231
sp|P36929|RSMB_ECOLI	0.574	0.1
sp|P22256|GABT_ECOLI	0.072	0.427
sp|P25397|TEHB_ECOLI	-0.472	0.117
sp|P38489|NFSB_ECOLI	-0.577	3.545e-07
sp|P0A903|BAMC_ECOLI	0.036	0.861
sp|P40874|MTOX_ECOLI	-0.333	0.002
sp|P67603|YQFB_ECOLI	0.083	0.621
sp|P76071|INSH5_ECOLI	-0.237	0.933
sp|P69451|LCFA_ECOLI	0.138	0.39
sp|P76085|PAAK_ECOLI	-0.215	0.9
sp|P37645|YHJG_ECOLI	-0.373	0.07
sp|P0AD57|ISPB_ECOLI	-0.223	0.283
sp|P07913|TDH_ECOLI	0.467	0.04
sp|P39452|RIR3_ECOLI	-0.728	0.003
sp|P0AC02|BAMD_ECOLI	0.107	0.7
sp|P0AD96|LIVJ_ECOLI	-0.104	0.001
sp|P0A832|SSRP_ECOLI	-0.053	0.861
sp|P0AAQ2|YAJD_ECOLI	-0.385	0.019
sp|P0A6W9|GSH1_ECOLI	0.254	0.181
sp|P0A847|TGT_ECOLI	-0.212	0.088
sp|P0A9J6|RBSK_ECOLI	-0.019	0.302
sp|P16701|CYST_ECOLI	0.292	0.183
sp|P24232|HMP_ECOLI	-0.519	0.002
sp|P76142|LSRB_ECOLI	1.246	1.341e-07
sp|P0ADR8|PPNN_ECOLI	-0.077	0.274
sp|P0A780|NUSB_ECOLI	0.306	0.003
sp|Q46851|GPR_ECOLI	0.973	0.0
sp|P0AFV4|MEPS_ECOLI	-0.706	1.142e-05
sp|P0AG82|PSTS_ECOLI	-0.027	0.721
sp|P31808|YCIK_ECOLI	-0.352	0.0008034
sp|P08997|MASY_ECOLI	0.786	0.0
sp|P76007|NHAP2_ECOLI	-0.146	0.613
sp|P00547|KHSE_ECOLI	-0.298	0.006
sp|P0ACP7|PURR_ECOLI	0.059	0.48
sp|P27829|WECC_ECOLI	0.832	0.001
sp|P52062|YGGW_ECOLI	0.273	0.347
sp|P10908|UGPQ_ECOLI	0.767	6.869e-06
sp|P77258|NEMA_ECOLI	-0.018	0.566
sp|P0AAC0|USPE_ECOLI	0.189	0.6
sp|P67826|CUTC_ECOLI	0.608	0.006
sp|P0A955|ALKH_ECOLI	0.654	0.005
sp|P02931|OMPF_ECOLI	-0.286	3.364e-06
sp|P0AB67|PNTB_ECOLI	-0.618	6.337e-08
sp|P17846|CYSI_ECOLI	0.29	5.751e-05
sp|P0ADU5|YGIW_ECOLI	0.23	0.013
sp|P17443|MURG_ECOLI	-0.021	0.731
sp|P0AGG0|THIL_ECOLI	0.498	0.007
sp|P0AEU0|HISJ_ECOLI	-0.376	6.48e-08
sp|P76187|YDHF_ECOLI	0.737	0.0004522
sp|P24183|FDNG_ECOLI	0.986	0.0002687
sp|P76537|YFEY_ECOLI	-0.331	0.198
sp|P37744|RMLA1_ECOLI	0.558	2.103e-05
sp|P0A6C5|ARGA_ECOLI	0.1	0.188
sp|P0A9T0|SERA_ECOLI	-0.118	0.01
sp|P0ACQ4|OXYR_ECOLI	-0.409	0.001
sp|P28635|METQ_ECOLI	-0.101	0.244
sp|P0ADA1|TESA_ECOLI	0.256	0.079
sp|P0A9T4|TAS_ECOLI	0.534	0.003
sp|P03007|DPO3E_ECOLI	0.706	0.016
sp|P03841|MALM_ECOLI	-1.04	2.428e-09
sp|P37773|MPL_ECOLI	-0.119	0.374
sp|P33012|SBMC_ECOLI	0.174	0.399
sp|P0AEC3|ARCB_ECOLI	0.453	0.0002924
sp|P09323|PTW3C_ECOLI	-1.005	6.67e-13
sp|P0A6V1|GLGC_ECOLI	0.345	3.486e-05
sp|P76145|TAM_ECOLI	1.048	2.657e-06
sp|P13445|RPOS_ECOLI	0.161	0.864
sp|P0AG27|YIBN_ECOLI	-0.464	0.0001426
sp|P16456|SELD_ECOLI	0.357	0.119
sp|P77293|GTRB_ECOLI	0.033	0.776
sp|P76535|MURQ_ECOLI	-0.315	0.01
sp|P31063|YEDD_ECOLI	0.215	0.194
