protein	log2FC	p-val
sp|P30014|RNT_ECOLI	0.057	0.768
sp|P15042|DNLJ_ECOLI	-0.046	0.508
sp|P39160|UXUB_ECOLI	1.048	3.055e-06
sp|P0AG30|RHO_ECOLI	-0.275	0.0007353
sp|P0AAI9|FABD_ECOLI	-0.157	0.108
sp|P27127|RFAB_ECOLI	0.592	0.01
sp|P0ADV7|MLAC_ECOLI	0.88	7.338e-09
sp|P04951|KDSB_ECOLI	-0.232	0.019
sp|P77376|YDGJ_ECOLI	0.635	8.368e-05
sp|P0ABI8|CYOB_ECOLI	-1.065	6.573e-08
sp|P18390|YJJA_ECOLI	0.509	0.045
sp|P0AG90|SECD_ECOLI	-0.497	7.017e-07
sp|P21177|FADB_ECOLI	2.448	0.0
sp|P75797|GSIB_ECOLI	0.414	0.0006956
sp|P0A9J8|CMPDT_ECOLI	1.598	0.0
sp|P0ADS9|YGGN_ECOLI	0.864	0.0001126
sp|P0ADF8|ILVN_ECOLI	0.465	0.0009638
sp|P0A746|MSRB_ECOLI	0.595	0.0006336
sp|P69831|PTKC_ECOLI	-0.262	0.244
sp|P0ABS1|DKSA_ECOLI	0.231	0.042
sp|P29012|ALR2_ECOLI	-0.03	0.754
sp|P31802|NARP_ECOLI	0.469	0.012
sp|P13024|FDHE_ECOLI	0.906	1.045e-06
sp|P21507|SRMB_ECOLI	-0.023	0.605
sp|P11454|ENTF_ECOLI	0.045	0.611
sp|P00935|METB_ECOLI	0.192	0.016
sp|P0A9P4|TRXB_ECOLI	-0.328	0.0007921
sp|P76034|YCIT_ECOLI	0.734	9.751e-05
sp|P0A8N3|SYK1_ECOLI	-0.28	2.221e-06
sp|P0ACB7|HEMY_ECOLI	0.175	0.186
sp|P26612|AMY2_ECOLI	0.952	9.149e-09
sp|Q47622|SAPA_ECOLI	0.137	0.627
sp|P0A884|TYSY_ECOLI	-0.228	0.431
sp|P0A715|KDSA_ECOLI	0.246	0.014
sp|P0ADZ7|YAJC_ECOLI	0.008	0.894
sp|P37095|PEPB_ECOLI	0.211	0.026
sp|P77213|GCS2_ECOLI	1.768	9.752e-12
sp|P30870|GLNE_ECOLI	-0.194	0.451
sp|P0A6F1|CARA_ECOLI	-0.598	1.779e-12
sp|P0AA63|YQJA_ECOLI	-0.752	0.0007797
sp|P0A9D4|CYSE_ECOLI	0.296	0.053
sp|P28861|FENR_ECOLI	0.777	3.07e-05
sp|P31069|KCH_ECOLI	0.109	0.876
sp|P69795|PTQB_ECOLI	1.643	4.266e-06
sp|P0A9J0|RNG_ECOLI	-0.089	0.715
sp|P0A8Y3|YIHX_ECOLI	1.025	1.796e-08
sp|P23721|SERC_ECOLI	-0.353	3.045e-06
sp|P0A749|MURA_ECOLI	-0.066	0.653
sp|P0C037|PPNP_ECOLI	-0.045	0.406
sp|P0AEC3|ARCB_ECOLI	0.156	0.182
sp|P02924|ARAF_ECOLI	2.681	6.632e-08
sp|P0AEX5|KPPR_ECOLI	0.78	3.533e-05
sp|P76503|FADI_ECOLI	0.736	1.905e-05
sp|P0AFJ7|PITA_ECOLI	-1.161	6.401e-05
sp|P64467|CNU_ECOLI	-0.068	0.999
sp|P0A8V0|RBN_ECOLI	-0.384	0.128
sp|P0AD96|LIVJ_ECOLI	0.495	1.624e-10
sp|Q47150|DINJ_ECOLI	0.144	0.724
sp|P0ACP5|GNTR_ECOLI	0.547	0.0008368
sp|P32162|YIIS_ECOLI	1.074	3.334e-05
sp|P23836|PHOP_ECOLI	0.03	0.583
sp|P26646|ACUI_ECOLI	1.137	0.0
sp|Q46939|YQEF_ECOLI	1.142	2.267e-05
sp|P0A9X4|MREB_ECOLI	0.091	0.536
sp|P42593|FADH_ECOLI	1.572	0.0
sp|P07118|SYV_ECOLI	-0.245	1.477e-05
sp|P62620|ISPG_ECOLI	0.0004395	0.672
sp|P27828|WECB_ECOLI	-0.724	0.005
sp|P0ADA5|YAJG_ECOLI	-0.34	0.011
sp|P0AEH1|RSEP_ECOLI	-0.045	1.0
sp|P21338|RNI_ECOLI	0.347	0.05
sp|P0A9U6|PUUR_ECOLI	-0.156	0.681
sp|P62707|GPMA_ECOLI	0.273	5.852e-05
sp|P0AEZ9|MOAB_ECOLI	0.737	1.572e-13
sp|P46837|YHGF_ECOLI	-0.691	1.482e-11
sp|P07004|PROA_ECOLI	0.557	1.846e-07
sp|P27302|TKT1_ECOLI	-0.587	3.171e-13
sp|P46889|FTSK_ECOLI	-0.375	0.076
sp|P22731|LIVF_ECOLI	0.413	0.003
sp|P0AD12|YEEZ_ECOLI	0.508	0.014
sp|P39176|ERFK_ECOLI	1.507	1.011e-09
sp|P0A8F4|URK_ECOLI	-0.153	0.135
sp|P60240|RAPA_ECOLI	-0.696	7.242e-10
sp|P0C8J8|GATZ_ECOLI	1.618	0.0
sp|P0AB26|YCEB_ECOLI	-0.325	0.225
sp|P64596|YRAP_ECOLI	0.638	6.988e-06
sp|P0A6U3|MNMG_ECOLI	-0.366	0.011
sp|P0AES4|GYRA_ECOLI	-0.725	0.0
sp|P0AEQ3|GLNH_ECOLI	1.105	0.0
sp|P0A9U3|YBIT_ECOLI	-0.509	0.0003862
sp|P76170|YNFB_ECOLI	0.464	0.123
sp|P25539|RIBD_ECOLI	-0.311	0.258
sp|P67603|YQFB_ECOLI	0.49	0.003
sp|P0A8B5|YBAB_ECOLI	-0.14	0.236
sp|P0A9M2|HPRT_ECOLI	-0.054	0.903
sp|P37757|YDDE_ECOLI	0.623	0.017
sp|P0A7I4|RF3_ECOLI	-0.288	0.011
sp|P0AGE0|SSB_ECOLI	0.436	0.002
sp|P0AC02|BAMD_ECOLI	-0.305	0.024
sp|P0AAC0|USPE_ECOLI	1.082	0.0
sp|P45395|KDSD_ECOLI	0.029	0.763
sp|P0A8F0|UPP_ECOLI	0.014	0.632
sp|P18843|NADE_ECOLI	0.3	0.0004282
sp|P00954|SYW_ECOLI	-0.324	0.0004492
sp|P06999|PFKB_ECOLI	0.364	0.0002268
sp|P77748|YDIJ_ECOLI	-0.389	3.049e-05
sp|P0A873|TRMD_ECOLI	0.348	0.049
sp|P33136|OPGG_ECOLI	-0.025	0.926
sp|P03007|DPO3E_ECOLI	-0.54	0.13
sp|P17117|NFSA_ECOLI	-0.022	0.577
sp|P45955|CPOB_ECOLI	-0.301	0.067
sp|P0A9L5|PPIC_ECOLI	-0.129	0.431
sp|P0A7K6|RL19_ECOLI	-1.152	0.0
sp|P0A9G8|MODE_ECOLI	0.45	0.016
sp|P34209|YDCF_ECOLI	1.606	0.0
sp|P0AEU7|SKP_ECOLI	0.442	0.0003155
sp|P76341|HIUH_ECOLI	1.184	1.269e-05
sp|P37634|RLMJ_ECOLI	0.428	0.01
sp|P75949|NAGZ_ECOLI	-0.182	0.314
sp|P30748|MOAD_ECOLI	0.128	0.304
sp|P05042|FUMC_ECOLI	2.63	0.0
sp|P37759|RMLB1_ECOLI	-0.828	3.797e-14
sp|P45531|TUSC_ECOLI	0.152	0.544
sp|P0A9A9|FUR_ECOLI	0.429	0.013
sp|P69829|PTSN_ECOLI	0.484	0.068
sp|P64540|YFCL_ECOLI	-0.668	0.006
sp|P0ACD4|ISCU_ECOLI	0.127	0.071
sp|P0AB98|ATP6_ECOLI	-0.372	0.026
sp|P0AG93|SECF_ECOLI	-0.52	0.008
sp|P0A6D7|AROK_ECOLI	-0.427	0.002
sp|P0ADI7|YECD_ECOLI	0.324	0.28
sp|P0A6W9|GSH1_ECOLI	0.265	0.012
sp|P19934|TOLA_ECOLI	0.322	0.103
sp|P0A9H7|CFA_ECOLI	-0.086	0.948
sp|P0A8J8|RHLB_ECOLI	0.187	0.03
sp|P0A6E6|ATPE_ECOLI	-0.183	0.437
sp|P10346|GLNQ_ECOLI	0.657	0.0001906
sp|P36683|ACNB_ECOLI	1.242	0.0
sp|P64506|YEBY_ECOLI	-0.781	0.005
sp|P00894|ILVH_ECOLI	0.1	0.196
sp|P0A908|MIPA_ECOLI	-0.175	0.261
sp|P0ABN5|DCUA_ECOLI	-0.616	0.022
sp|P61517|CAN_ECOLI	0.064	0.945
sp|P0AEB7|YOAB_ECOLI	0.325	0.068
sp|P0ADY3|RL14_ECOLI	-0.516	5.749e-06
sp|P37647|KDGK_ECOLI	0.229	0.26
sp|P0A7D1|PTH_ECOLI	0.083	0.306
sp|P77774|BAMB_ECOLI	0.116	0.23
sp|P06129|BTUB_ECOLI	-0.243	0.015
sp|P07623|METAS_ECOLI	0.09	0.107
sp|P0AD49|YFIA_ECOLI	-0.056	0.871
sp|P67826|CUTC_ECOLI	0.142	0.733
sp|Q57261|TRUD_ECOLI	-0.186	0.467
sp|P76372|WZZB_ECOLI	0.035	0.908
sp|P0AC53|G6PD_ECOLI	0.227	0.009
sp|P0ADQ2|YIID_ECOLI	0.722	3.861e-09
sp|P0A953|FABB_ECOLI	0.385	0.003
sp|P39199|PRMB_ECOLI	0.324	0.065
sp|P0ABH7|CISY_ECOLI	0.416	2.628e-07
sp|P42616|YQJC_ECOLI	0.332	0.046
sp|P0A9S7|LIVG_ECOLI	0.05	0.407
sp|P33570|TKT2_ECOLI	1.839	0.0
sp|P16700|CYSP_ECOLI	0.27	5.484e-05
sp|P0ABD8|BCCP_ECOLI	0.23	0.201
sp|P07604|TYRR_ECOLI	-0.029	0.641
sp|P21369|PNCA_ECOLI	0.654	0.004
sp|P0AB14|YCCJ_ECOLI	1.296	3.584e-10
sp|P09127|HEMX_ECOLI	0.766	4.194e-10
sp|P60906|SYH_ECOLI	0.005	0.883
sp|P0AGF2|CSDE_ECOLI	0.199	0.459
sp|P37745|RMLC_ECOLI	0.256	0.087
sp|P78061|PUUA_ECOLI	-0.876	9.775e-05
sp|P0AE88|CPXR_ECOLI	1.033	1.112e-13
sp|P28635|METQ_ECOLI	0.479	6.153e-13
sp|P07650|TYPH_ECOLI	1.125	5.373e-14
sp|P0ADK8|YIBL_ECOLI	-0.041	0.671
sp|P14081|SELB_ECOLI	-0.071	0.472
sp|P37177|PT1P_ECOLI	-0.285	0.094
sp|P23331|KITH_ECOLI	-0.106	0.894
sp|P0A8W0|NANR_ECOLI	0.429	0.005
sp|P23857|PSPE_ECOLI	0.404	0.055
sp|P06983|HEM3_ECOLI	0.412	0.099
sp|P77258|NEMA_ECOLI	-0.757	0.0002023
sp|P06709|BIRA_ECOLI	0.36	0.155
sp|P75913|GHRA_ECOLI	0.373	0.0005475
sp|P64624|YHEO_ECOLI	0.356	0.178
sp|P0A6H5|HSLU_ECOLI	-0.45	1.851e-07
sp|P06612|TOP1_ECOLI	0.205	0.002
sp|P0A8H6|YIHI_ECOLI	0.146	0.173
sp|Q46845|YGHU_ECOLI	1.589	0.0
sp|P0AAB4|UBID_ECOLI	0.354	0.002
sp|P0AEE1|DCRB_ECOLI	0.006	0.779
sp|P0AEL6|FEPB_ECOLI	-0.101	0.759
sp|P0AC30|FTSX_ECOLI	-0.031	0.911
sp|P0AAG0|DPPD_ECOLI	0.017	0.646
sp|P04983|RBSA_ECOLI	1.387	1.167e-08
sp|P0A6A3|ACKA_ECOLI	0.055	0.569
sp|P0A9F6|GCVA_ECOLI	-0.226	0.548
sp|P76621|GLAH_ECOLI	0.946	0.0003724
sp|P0ADS2|ZAPA_ECOLI	0.497	0.016
sp|P39452|RIR3_ECOLI	0.285	0.201
sp|P60757|HIS1_ECOLI	-0.072	0.494
sp|P0AA10|RL13_ECOLI	-0.512	1.905e-06
sp|P0AB77|KBL_ECOLI	0.41	0.009
sp|P27434|RODZ_ECOLI	0.54	2.311e-05
sp|P12008|AROC_ECOLI	-0.031	0.951
sp|P0C0L2|OSMC_ECOLI	2.673	0.0
sp|P65556|YFCD_ECOLI	0.376	0.022
sp|P33219|YEBF_ECOLI	1.297	6.573e-12
sp|P0A6G3|PNCC_ECOLI	0.843	0.0001666
sp|P22188|MURE_ECOLI	-0.407	0.005
sp|P0A9R7|FTSE_ECOLI	0.575	0.019
sp|P0A8C1|YBJQ_ECOLI	1.377	1.057e-05
sp|P0A6I6|COAD_ECOLI	0.614	0.004
sp|P15770|AROE_ECOLI	-0.17	0.396
sp|P76027|OPPD_ECOLI	-0.477	0.156
sp|P37595|IAAA_ECOLI	0.329	0.098
sp|P05825|FEPA_ECOLI	-0.566	0.000357
sp|P0AFM9|PSPB_ECOLI	0.212	0.443
sp|P76004|YCGM_ECOLI	0.9	0.00055
sp|P0AFC3|NUOA_ECOLI	-1.037	0.012
sp|P22634|MURI_ECOLI	0.114	0.596
sp|P0AED0|USPA_ECOLI	0.898	6.726e-07
sp|P0ADZ0|RL23_ECOLI	-0.73	1.83e-06
sp|P0ACJ8|CRP_ECOLI	1.104	0.0
sp|P61316|LOLA_ECOLI	-0.095	0.772
sp|P0AAI3|FTSH_ECOLI	-0.049	0.063
sp|P16659|SYP_ECOLI	-0.19	0.0009381
sp|P00956|SYI_ECOLI	-0.075	0.037
sp|P0ADN6|YIFL_ECOLI	0.012	0.785
sp|P0ADG4|SUHB_ECOLI	-0.749	5.187e-06
sp|P30011|NADC_ECOLI	0.143	0.307
sp|P76268|KDGR_ECOLI	0.301	0.013
sp|P0AB80|ILVE_ECOLI	-0.658	1.162e-08
sp|P27431|ROXA_ECOLI	0.51	0.001
sp|P24232|HMP_ECOLI	-0.169	0.963
sp|P67087|RSMI_ECOLI	-0.022	0.836
sp|P04425|GSHB_ECOLI	0.347	0.002
sp|P00350|6PGD_ECOLI	-0.463	1.019e-13
sp|P0ABQ0|COABC_ECOLI	0.133	0.414
sp|P16701|CYST_ECOLI	-0.863	0.022
sp|P39321|TAMB_ECOLI	0.165	0.34
sp|P07762|GLGB_ECOLI	0.374	0.014
sp|P0AC47|FRDB_ECOLI	0.53	0.012
sp|P33602|NUOG_ECOLI	-0.013	0.672
sp|P77737|OPPF_ECOLI	-0.592	0.0006979
sp|P30126|LEUD_ECOLI	0.632	3.843e-06
sp|P78067|YNJE_ECOLI	1.187	2.626e-05
sp|P0A7L3|RL20_ECOLI	-1.333	3.17e-11
sp|P0A993|F16PA_ECOLI	0.51	1.842e-05
sp|P0A7Y0|RNC_ECOLI	0.143	0.684
sp|P09099|XYLB_ECOLI	1.663	4.25e-11
sp|P31057|PANB_ECOLI	0.187	0.438
sp|P75914|YCDX_ECOLI	0.127	0.28
sp|P77499|SUFC_ECOLI	0.457	1.829e-05
sp|P0ABC3|HFLC_ECOLI	0.085	0.35
sp|P77717|YBAY_ECOLI	1.469	8.841e-10
sp|P09148|GAL7_ECOLI	4.071	0.0
sp|P23909|MUTS_ECOLI	-0.221	0.17
sp|P0A8A2|YEEN_ECOLI	-0.306	0.023
sp|P0A9E5|FNR_ECOLI	-0.434	0.112
sp|P26281|HPPK_ECOLI	0.206	0.645
sp|P36771|LRHA_ECOLI	0.93	1.212e-05
sp|P21829|YBHA_ECOLI	-0.948	0.003
sp|P63224|GMHA_ECOLI	0.732	2.978e-11
sp|P60438|RL3_ECOLI	-0.326	0.0001036
sp|P09323|PTW3C_ECOLI	2.117	0.0
sp|P0AFX9|RSEB_ECOLI	-0.235	0.923
sp|P0A8D6|YMDB_ECOLI	1.234	1.67e-07
sp|P77444|SUFS_ECOLI	0.759	3.149e-07
sp|P0A7U3|RS19_ECOLI	-0.367	0.017
sp|P68739|NFI_ECOLI	1.207	9.008e-05
sp|P07024|USHA_ECOLI	0.551	7.587e-05
sp|P66948|BEPA_ECOLI	0.679	5.228e-06
sp|P25906|PDXI_ECOLI	2.245	0.0
sp|P0AB43|YCGL_ECOLI	-0.142	0.643
sp|P28903|NRDD_ECOLI	0.44	0.009
sp|P45748|TSAC_ECOLI	-0.006	0.641
sp|P0A927|TSX_ECOLI	-0.139	0.519
sp|P20099|BISC_ECOLI	0.398	0.038
sp|P37751|WBBK_ECOLI	-0.063	1.0
sp|P0A881|TRPR_ECOLI	1.01	7.437e-07
sp|P0ADP9|YIHD_ECOLI	0.299	0.302
sp|P0A7A9|IPYR_ECOLI	0.315	5.206e-05
sp|P0C054|IBPA_ECOLI	-0.879	0.008
sp|P09546|PUTA_ECOLI	-0.609	0.002
sp|P0C960|EMTA_ECOLI	0.03	0.677
sp|P77247|HXPB_ECOLI	-0.492	0.000462
sp|P07109|HISP_ECOLI	0.191	0.405
sp|P17115|GUTQ_ECOLI	0.317	0.145
sp|P41409|RIHA_ECOLI	0.112	0.44
sp|P0AB65|ACYP_ECOLI	1.145	1.547e-05
sp|P23827|ECOT_ECOLI	-0.239	0.384
sp|P33018|SFGH2_ECOLI	0.744	3.068e-05
sp|P31134|POTG_ECOLI	-0.221	0.548
sp|P33030|YEIR_ECOLI	0.02	0.759
sp|P27306|STHA_ECOLI	1.041	1.776e-15
sp|P21169|DCOR_ECOLI	-0.575	0.0006121
sp|P05020|PYRC_ECOLI	0.328	0.0001343
sp|P76539|YPEA_ECOLI	0.27	0.124
sp|P0AG48|RL21_ECOLI	-0.888	1.178e-07
sp|P0A988|DPO3B_ECOLI	0.591	5.726e-05
sp|P0AEN1|FRE_ECOLI	0.388	0.114
sp|P00893|ILVI_ECOLI	-0.136	0.106
sp|P33221|PURT_ECOLI	0.343	0.0001155
sp|P21165|PEPQ_ECOLI	0.796	0.0
sp|P0AEE3|DEGS_ECOLI	-0.018	0.899
sp|P0AFB8|NTRC_ECOLI	0.123	0.821
sp|P12758|UDP_ECOLI	1.022	0.0
sp|P36548|AMIA_ECOLI	-0.628	0.041
sp|P37690|ENVC_ECOLI	0.568	0.007
sp|P75780|FIU_ECOLI	-0.732	2.275e-06
sp|P24202|MRR_ECOLI	0.192	0.248
sp|P67080|PLPHP_ECOLI	-0.185	0.234
sp|P00547|KHSE_ECOLI	-1.098	5.075e-10
sp|P0A912|PAL_ECOLI	-0.26	0.017
sp|P30125|LEU3_ECOLI	0.982	0.0
sp|P0A7G6|RECA_ECOLI	0.204	0.047
sp|P0C079|RELB_ECOLI	0.582	0.048
sp|P0A951|ATDA_ECOLI	-0.33	0.178
sp|P75864|RLMKL_ECOLI	-0.461	0.012
sp|P29217|YCEH_ECOLI	0.536	7.462e-05
sp|P75876|RLMI_ECOLI	0.016	0.75
sp|P10908|UGPQ_ECOLI	0.845	1.831e-05
sp|P37626|YHII_ECOLI	0.175	0.08
sp|P0A7N4|RL32_ECOLI	-0.543	0.0006398
sp|P03023|LACI_ECOLI	0.95	0.000363
sp|P0AGG2|TESB_ECOLI	0.391	0.0001538
sp|P0A8E1|YCFP_ECOLI	0.988	2.456e-08
sp|P31806|NNR_ECOLI	1.956	1.308e-08
sp|P25553|ALDA_ECOLI	2.28	0.0
sp|P00962|SYQ_ECOLI	-0.14	0.004
sp|P0AD59|IVY_ECOLI	1.015	3.592e-08
sp|P09373|PFLB_ECOLI	0.17	0.004
sp|P21889|SYD_ECOLI	-0.377	1.762e-08
sp|P45799|NUDE_ECOLI	-0.05	0.943
sp|P68191|SRA_ECOLI	0.913	2.202e-07
sp|P0ADR8|PPNN_ECOLI	0.217	0.018
sp|P60560|GUAC_ECOLI	-0.061	0.192
sp|P0A935|MLTA_ECOLI	-0.339	0.051
sp|P0AED5|UVRY_ECOLI	-0.301	0.031
sp|P0A7I7|RIBA_ECOLI	0.284	0.249
sp|P60422|RL2_ECOLI	-1.018	0.0
sp|P0A780|NUSB_ECOLI	-0.104	0.148
sp|P0AG14|SOHB_ECOLI	-0.196	0.025
sp|P69828|PTKA_ECOLI	-0.102	0.259
sp|P39173|YEAD_ECOLI	-0.845	5.808e-10
sp|P37330|MASZ_ECOLI	2.597	0.0
sp|P0A9V1|LPTB_ECOLI	0.324	0.001
sp|P0ABB0|ATPA_ECOLI	0.037	0.448
sp|P0AGB0|SERB_ECOLI	-0.238	0.287
sp|P0AF08|APBC_ECOLI	-0.337	0.121
sp|P0ABH0|FTSA_ECOLI	-0.007	0.791
sp|P0A8I3|YAAA_ECOLI	-0.256	0.025
sp|P39177|USPG_ECOLI	0.885	3.287e-09
sp|P18956|GGT_ECOLI	1.009	1.288e-12
sp|P20966|PTFBC_ECOLI	-4.013	0.0
sp|P31142|THTM_ECOLI	1.238	0.0
sp|P0AG84|YGHA_ECOLI	2.633	8.642e-13
sp|P0AFX0|HPF_ECOLI	1.045	2.774e-05
sp|P0AA39|RLUC_ECOLI	-0.179	0.29
sp|P0A6I3|COAA_ECOLI	0.32	0.048
sp|P0AFF6|NUSA_ECOLI	-0.047	0.666
sp|P00370|DHE4_ECOLI	-0.859	0.0
sp|P09832|GLTD_ECOLI	-0.406	2.355e-07
sp|P06961|CCA_ECOLI	0.491	0.028
sp|P0ABU2|YCHF_ECOLI	-0.451	1.156e-06
sp|P37188|PTKB_ECOLI	1.6	1.962e-06
sp|P0A8B2|YFCN_ECOLI	-0.056	0.751
sp|P39406|RSMC_ECOLI	0.473	0.008
sp|P0A7P5|RL34_ECOLI	-0.623	0.015
sp|P0ACN4|ALLR_ECOLI	-0.21	0.307
sp|P0A7V0|RS2_ECOLI	-0.567	8.709e-13
sp|P33599|NUOCD_ECOLI	0.13	0.137
sp|P00961|SYGB_ECOLI	-0.079	0.056
sp|P0A9W9|YRDA_ECOLI	-0.246	0.061
sp|Q46948|YAJL_ECOLI	0.256	0.318
sp|P06989|HIS2_ECOLI	-0.217	0.116
sp|P0A968|CSPD_ECOLI	2.053	6.427e-08
sp|P0AEW9|K1PF_ECOLI	-4.561	0.0
sp|P0AAA1|YAGU_ECOLI	-0.173	0.808
sp|P0AA16|OMPR_ECOLI	0.889	1.278e-12
