protein	log2FC	p-val
sp|P69425|TATB_ECOLI	0.088	0.419
sp|P0ADI7|YECD_ECOLI	0.093	0.775
sp|P27431|ROXA_ECOLI	0.04	0.936
sp|P38054|CUSA_ECOLI	0.681	1.612e-13
sp|P60340|TRUB_ECOLI	-0.063	0.819
sp|P0A8M0|SYN_ECOLI	-0.099	0.003
sp|P75796|GSIA_ECOLI	0.7	0.034
sp|P0AD59|IVY_ECOLI	-0.185	0.189
sp|P33570|TKT2_ECOLI	0.08	0.815
sp|P62399|RL5_ECOLI	-0.107	0.15
sp|P0AEM0|FKBX_ECOLI	0.492	0.004
sp|P38489|NFSB_ECOLI	-0.151	0.106
sp|P03817|MIOC_ECOLI	0.333	0.273
sp|P0AF67|TSAE_ECOLI	-0.433	0.004
sp|P36548|AMIA_ECOLI	-0.323	0.046
sp|P77529|YDJN_ECOLI	-0.5	0.001
sp|P25522|MNME_ECOLI	0.027	0.677
sp|P0AED9|DCM_ECOLI	-0.02	0.962
sp|P0A799|PGK_ECOLI	-0.048	0.513
sp|P05852|TSAD_ECOLI	0.015	0.827
sp|P46837|YHGF_ECOLI	-0.088	0.834
sp|P0AEJ6|EUTB_ECOLI	0.73	0.0005084
sp|P06612|TOP1_ECOLI	0.094	0.321
sp|P21365|YCIC_ECOLI	0.985	0.002
sp|P67697|HICB_ECOLI	-1.121	0.009
sp|P76145|TAM_ECOLI	0.142	0.443
sp|P31658|HCHA_ECOLI	0.31	0.028
sp|P17854|CYSH_ECOLI	-0.742	5.363e-11
sp|P0ABK5|CYSK_ECOLI	0.462	4.405e-13
sp|P27127|RFAB_ECOLI	1.133	0.01
sp|P24554|RADA_ECOLI	0.124	0.605
sp|P0AGE6|CHRR_ECOLI	0.593	0.0002766
sp|P39334|BDCR_ECOLI	-0.238	0.504
sp|P76256|TSAB_ECOLI	-0.336	0.094
sp|P0AFU8|RISA_ECOLI	0.178	0.435
sp|P0A722|LPXA_ECOLI	0.162	0.05
sp|P08373|MURB_ECOLI	0.073	0.665
sp|P06989|HIS2_ECOLI	-0.815	1.602e-05
sp|P0AEX9|MALE_ECOLI	1.622	0.0
sp|P64554|QUEE_ECOLI	-0.207	0.986
sp|P77171|YDCI_ECOLI	0.903	4.35e-07
sp|P77717|YBAY_ECOLI	-0.172	0.569
sp|P69441|KAD_ECOLI	0.507	8.091e-09
sp|P0ADV1|LPTA_ECOLI	0.172	0.172
sp|P09158|SPEE_ECOLI	-0.873	7.255e-08
sp|P0ADA5|YAJG_ECOLI	0.195	0.014
sp|P0A6G3|PNCC_ECOLI	-0.115	1.0
sp|P0A9L5|PPIC_ECOLI	0.233	0.453
sp|P23827|ECOT_ECOLI	0.492	0.046
sp|P0AAE0|CYCA_ECOLI	1.636	5.442e-10
sp|P69805|PTND_ECOLI	-0.463	0.0005284
sp|P37327|YFDC_ECOLI	1.551	1.281e-05
sp|P37631|YHIN_ECOLI	0.314	0.197
sp|P76569|YFGD_ECOLI	-0.193	0.922
sp|P08956|T1RK_ECOLI	2.189	3.216e-09
sp|P0A8J8|RHLB_ECOLI	0.235	0.013
sp|P0AGJ5|YFIF_ECOLI	0.23	0.349
sp|P0ABU2|YCHF_ECOLI	-0.546	2.9e-10
sp|P64506|YEBY_ECOLI	-1.068	2.976e-05
sp|P0AB96|ARSC_ECOLI	1.373	0.0005558
sp|P0A7M9|RL31_ECOLI	-0.006	0.55
sp|Q46925|CSDA_ECOLI	-0.297	0.542
sp|P0AFP4|YBBO_ECOLI	0.486	0.301
sp|P64564|YGGT_ECOLI	0.203	0.516
sp|P39451|ADHP_ECOLI	0.613	0.014
sp|P32131|HEMN_ECOLI	0.081	0.286
sp|P33195|GCSP_ECOLI	0.31	0.02
sp|P0A7K2|RL7_ECOLI	-0.342	0.002
sp|P77611|RSXC_ECOLI	0.064	0.95
sp|P45800|IGAA_ECOLI	1.267	0.0003655
sp|P00959|SYM_ECOLI	-0.455	8.261e-12
sp|P0AA82|CODB_ECOLI	0.772	0.002
sp|P66817|DIAA_ECOLI	0.651	0.216
sp|P12758|UDP_ECOLI	0.365	0.004
sp|P68191|SRA_ECOLI	0.031	0.282
sp|P77735|YAJO_ECOLI	0.23	0.007
sp|P0A7V3|RS3_ECOLI	-0.238	3.322e-05
sp|P0AE88|CPXR_ECOLI	-0.012	0.653
sp|P0A8F0|UPP_ECOLI	0.189	0.09
sp|P22523|MUKB_ECOLI	0.304	7.675e-05
sp|P02929|TONB_ECOLI	0.482	0.015
sp|P0A6M8|EFG_ECOLI	-0.03	0.659
sp|P0AB61|YCIN_ECOLI	-0.036	0.785
sp|P0ADS2|ZAPA_ECOLI	0.177	0.198
sp|P0A6C8|ARGB_ECOLI	-0.773	1.421e-14
sp|P13029|KATG_ECOLI	0.812	0.0
sp|P36673|TRER_ECOLI	1.896	6.062e-07
sp|P00582|DPO1_ECOLI	0.392	3.218e-08
sp|P21499|RNR_ECOLI	0.478	8.036e-07
sp|P37666|GHRB_ECOLI	-0.671	3.056e-10
sp|P23865|PRC_ECOLI	0.117	0.197
sp|P39199|PRMB_ECOLI	-0.279	0.072
sp|P0ADX7|YHHA_ECOLI	-0.145	1.0
sp|P15038|HELD_ECOLI	0.224	0.101
sp|Q93K97|ADPP_ECOLI	0.581	1.497e-05
sp|P07623|METAS_ECOLI	-1.152	1.332e-15
sp|P0A8B2|YFCN_ECOLI	0.021	1.0
sp|P0ADR6|RLMM_ECOLI	0.055	0.967
sp|P0A9K9|SLYD_ECOLI	-0.489	0.058
sp|P0ADX1|YHFA_ECOLI	0.677	0.292
sp|P17443|MURG_ECOLI	0.207	0.398
sp|P37643|YHJE_ECOLI	-0.154	0.188
sp|Q47147|YAFJ_ECOLI	0.163	0.835
sp|P63177|RLMB_ECOLI	-0.594	0.017
sp|P0AEN1|FRE_ECOLI	0.64	4.17e-05
sp|P75949|NAGZ_ECOLI	-0.042	0.714
sp|P0A955|ALKH_ECOLI	-0.194	0.244
sp|P36562|COBT_ECOLI	0.17	0.892
sp|P0AGE0|SSB_ECOLI	0.062	0.464
sp|P69222|IF1_ECOLI	0.018	0.656
sp|P64588|YQJI_ECOLI	0.146	0.074
sp|P0AAI3|FTSH_ECOLI	-0.154	0.057
sp|P0ABI4|CORA_ECOLI	0.295	0.16
sp|P0AEI6|NUDJ_ECOLI	-0.197	0.534
sp|P0AEN8|FUCM_ECOLI	0.303	0.23
sp|P0AFK9|POTD_ECOLI	0.182	0.004
sp|P0A8W8|YFBU_ECOLI	-0.225	0.037
sp|P0A7M2|RL28_ECOLI	0.306	0.059
sp|P64530|RCNR_ECOLI	-0.688	2.824e-05
sp|P0AF70|YJEI_ECOLI	-0.129	0.213
sp|P0AE67|CHEY_ECOLI	1.189	0.001
sp|P36649|CUEO_ECOLI	0.318	0.023
sp|P0A7S3|RS12_ECOLI	0.453	0.0005888
sp|P76177|YDGH_ECOLI	0.034	0.714
sp|P0AEJ2|ENTC_ECOLI	-0.056	0.556
sp|P78061|PUUA_ECOLI	-0.384	0.05
sp|P45578|LUXS_ECOLI	-0.04	0.378
sp|P37440|UCPA_ECOLI	2.994	2.354e-14
sp|P25714|YIDC_ECOLI	0.204	0.083
sp|P0DP89|ILVGP_ECOLI	0.345	0.352
sp|P0A9W3|ETTA_ECOLI	0.269	2.69e-06
sp|P0A7W7|RS8_ECOLI	-0.203	0.0003636
sp|P07118|SYV_ECOLI	-0.246	0.0001589
sp|P77522|SUFB_ECOLI	0.177	0.355
sp|P75823|LTAE_ECOLI	0.24	0.089
sp|P0AFH2|OPPB_ECOLI	0.465	0.112
sp|P0AE12|AMN_ECOLI	0.423	0.002
sp|P15082|SRLR_ECOLI	1.286	7.502e-05
sp|P22259|PCKA_ECOLI	3.572	0.0
sp|P06993|MALT_ECOLI	0.818	1.134e-06
sp|P0A7I4|RF3_ECOLI	-0.43	0.0002681
sp|P31460|DGOR_ECOLI	0.59	0.03
sp|P38506|XNI_ECOLI	0.537	0.165
sp|P0AAI9|FABD_ECOLI	-0.199	0.025
sp|P0ABA6|ATPG_ECOLI	0.429	2.191e-05
sp|P0ABB0|ATPA_ECOLI	0.522	0.0
sp|P37177|PT1P_ECOLI	1.438	1.349e-10
sp|P00811|AMPC_ECOLI	1.063	0.009
sp|P0AEK4|FABI_ECOLI	0.261	0.002
sp|P0ACG1|STPA_ECOLI	-0.983	2.305e-10
sp|P0A7X6|RIMM_ECOLI	-0.449	0.053
sp|P0A7W1|RS5_ECOLI	-0.161	0.009
sp|P36680|ZAPD_ECOLI	-0.186	0.191
sp|P37690|ENVC_ECOLI	0.583	0.0008946
sp|P0A7J7|RL11_ECOLI	-0.404	3.636e-05
sp|Q46920|QUEF_ECOLI	0.376	0.021
sp|P0ABA0|ATPF_ECOLI	0.188	0.087
sp|P0A6F5|CH60_ECOLI	0.57	0.0
sp|P63020|NFUA_ECOLI	-0.149	0.342
sp|P15078|CSTA_ECOLI	3.616	0.0
sp|P76491|5DNU_ECOLI	-0.62	0.026
sp|P63228|GMHBB_ECOLI	0.029	0.676
sp|P07395|SYFB_ECOLI	-0.007	0.165
sp|P0A8C4|YGFB_ECOLI	-0.101	0.157
sp|P15254|PUR4_ECOLI	-0.097	0.008
sp|P0AGD7|SRP54_ECOLI	-0.263	0.013
sp|P0AB67|PNTB_ECOLI	-0.86	4.441e-16
sp|P69811|PTFAH_ECOLI	-0.047	0.997
sp|P43329|HRPA_ECOLI	0.063	0.587
sp|P69423|TATC_ECOLI	0.393	0.123
sp|P08244|PYRF_ECOLI	-0.064	0.298
sp|P0A8W2|SLYA_ECOLI	0.141	0.513
sp|P37671|YIAJ_ECOLI	0.127	1.0
sp|P0AFZ1|SSEB_ECOLI	-0.779	0.023
sp|P45955|CPOB_ECOLI	-0.408	0.004
sp|P77808|CINAL_ECOLI	-0.384	0.221
sp|P07762|GLGB_ECOLI	0.494	0.0006815
sp|P0ABD3|BFR_ECOLI	0.75	9.65e-10
sp|P0AGL7|RSME_ECOLI	0.122	0.37
sp|P17445|BETB_ECOLI	0.296	0.853
sp|P21363|YCIE_ECOLI	0.273	0.298
sp|P76340|HPRR_ECOLI	1.798	8.261e-07
sp|P0ABQ4|DYR_ECOLI	0.017	0.867
sp|P63224|GMHA_ECOLI	0.442	0.0007962
sp|P0A761|NANE_ECOLI	1.33	6.436e-07
sp|P0ADG7|IMDH_ECOLI	-0.348	4.825e-07
sp|P14081|SELB_ECOLI	0.075	0.865
sp|P0A7I7|RIBA_ECOLI	-0.605	0.0009882
sp|P0AEI4|RIMO_ECOLI	-0.026	0.393
sp|P60785|LEPA_ECOLI	0.115	0.559
sp|P40120|OPGD_ECOLI	0.713	5.645e-05
sp|P0A790|PAND_ECOLI	-0.519	0.062
sp|P0A6V1|GLGC_ECOLI	0.456	0.0002374
sp|P00894|ILVH_ECOLI	0.15	0.026
sp|P77674|ABDH_ECOLI	4.873	0.0
sp|P15993|AROP_ECOLI	-0.233	0.22
sp|P0A6R3|FIS_ECOLI	-0.293	0.128
sp|P31979|NUOF_ECOLI	0.881	8.882e-16
sp|P0C8J6|GATY_ECOLI	2.65	0.0
sp|P0A746|MSRB_ECOLI	0.677	2.433e-06
sp|P76329|MPGP_ECOLI	2.033	2.881e-06
sp|P33355|YEHS_ECOLI	0.886	0.001
sp|P0C960|EMTA_ECOLI	-0.231	0.546
sp|P0A759|NAGB_ECOLI	1.5	0.0
sp|P0AFH6|OPPC_ECOLI	0.679	0.004
sp|P00954|SYW_ECOLI	-0.138	0.355
sp|P0AC33|FUMA_ECOLI	2.197	0.0
sp|P37613|PANZ_ECOLI	1.764	9.28e-05
sp|P0AFW4|RNK_ECOLI	0.775	0.0002108
sp|P0AC53|G6PD_ECOLI	-0.555	4.055e-12
sp|P23003|TRMA_ECOLI	-0.185	0.242
sp|P77338|MSCK_ECOLI	0.792	5.753e-05
sp|P24188|YCEA_ECOLI	0.015	0.919
sp|P0A6C5|ARGA_ECOLI	-0.472	6.8e-06
sp|P13857|RIML_ECOLI	0.453	0.046
sp|Q57261|TRUD_ECOLI	-0.322	0.231
sp|P31224|ACRB_ECOLI	0.464	1.603e-06
sp|P05793|ILVC_ECOLI	-0.046	0.536
sp|P21829|YBHA_ECOLI	0.261	0.145
sp|P0ABH7|CISY_ECOLI	1.161	0.0
sp|P09996|YIDB_ECOLI	-0.278	0.24
sp|P0AA16|OMPR_ECOLI	0.325	0.002
sp|P33224|AIDB_ECOLI	2.169	7.219e-11
sp|P0A7A9|IPYR_ECOLI	-0.003	0.275
sp|P18133|PNCB_ECOLI	-0.263	0.001
sp|P0A6N8|EFPL_ECOLI	-0.185	0.185
sp|P42620|YQJG_ECOLI	0.308	0.103
sp|P0A8I1|YQGF_ECOLI	-0.107	0.928
sp|P09148|GAL7_ECOLI	1.138	0.0003169
sp|P16700|CYSP_ECOLI	-0.055	0.639
sp|P0A843|TATE_ECOLI	-0.035	0.803
sp|P17115|GUTQ_ECOLI	0.954	2.975e-05
sp|P36979|RLMN_ECOLI	0.354	0.006
sp|P0AD61|KPYK1_ECOLI	-0.653	0.0
sp|P00452|RIR1_ECOLI	0.108	0.256
sp|P07014|SDHB_ECOLI	1.343	0.0
sp|P33363|BGLX_ECOLI	0.398	0.0004066
sp|P0AG90|SECD_ECOLI	0.459	1.519e-05
sp|P0ACY1|YDJA_ECOLI	0.028	0.929
sp|P0A6B4|ALR1_ECOLI	0.461	0.145
sp|P0A6R0|FABH_ECOLI	0.118	0.867
sp|P0A6D3|AROA_ECOLI	-0.961	0.0
sp|P22186|MRAZ_ECOLI	1.05	0.011
sp|P46118|HEXR_ECOLI	1.91	1.576e-07
sp|P0ADA3|NLPD_ECOLI	0.229	0.067
sp|P37626|YHII_ECOLI	0.885	2.038e-13
sp|P0A867|TALA_ECOLI	0.041	0.776
sp|P0A8X0|YJGA_ECOLI	-0.109	0.262
sp|P41052|MLTB_ECOLI	-0.002	0.202
sp|P0A725|LPXC_ECOLI	0.052	0.734
sp|P0A6E1|AROL_ECOLI	-0.358	0.18
sp|P0A6A3|ACKA_ECOLI	-0.325	1.584e-05
sp|P0A786|PYRB_ECOLI	0.901	0.0
sp|P0ACC7|GLMU_ECOLI	0.009	0.901
sp|P0A9D4|CYSE_ECOLI	0.421	0.0009596
sp|P67087|RSMI_ECOLI	0.125	0.192
sp|P0A8G9|EX7S_ECOLI	0.563	0.0004418
sp|P0A988|DPO3B_ECOLI	0.113	0.69
sp|P31808|YCIK_ECOLI	0.246	0.22
sp|P37634|RLMJ_ECOLI	0.04	0.834
sp|P76108|YDCS_ECOLI	3.233	1.625e-09
sp|P0AF08|APBC_ECOLI	-0.611	0.065
sp|P0AAS7|YBCJ_ECOLI	-0.155	0.171
sp|P0ADZ7|YAJC_ECOLI	0.203	0.297
sp|P0A9F3|CYSB_ECOLI	-0.415	0.004
sp|P18843|NADE_ECOLI	-0.713	4.941e-07
sp|P29013|YCGB_ECOLI	0.761	0.012
sp|P75864|RLMKL_ECOLI	0.402	0.022
sp|P23843|OPPA_ECOLI	0.353	1.806e-11
sp|P09323|PTW3C_ECOLI	1.687	0.0
sp|P0C018|RL18_ECOLI	-0.363	0.025
sp|P0ABU0|MENB_ECOLI	0.164	0.264
sp|P0C054|IBPA_ECOLI	0.261	0.0008685
sp|P28306|MLTG_ECOLI	1.394	0.0004352
sp|P29131|FTSN_ECOLI	-0.121	0.22
sp|P0AG55|RL6_ECOLI	0.01	0.222
sp|P27829|WECC_ECOLI	-0.304	0.059
sp|P0ABJ1|CYOA_ECOLI	0.039	0.756
sp|P05459|PDXB_ECOLI	-0.139	0.112
sp|P76558|MAO2_ECOLI	2.089	0.0
sp|P76170|YNFB_ECOLI	0.272	0.169
sp|P0A8R4|SLYX_ECOLI	0.188	0.446
sp|P27298|OPDA_ECOLI	0.134	0.004
sp|P77182|MNMC_ECOLI	0.275	0.403
sp|P0A991|ALF1_ECOLI	1.066	0.0
sp|P0A962|ASPG1_ECOLI	-0.233	0.08
sp|P03023|LACI_ECOLI	1.066	0.002
sp|P37313|DPPF_ECOLI	1.686	0.0
sp|P0A8W0|NANR_ECOLI	0.038	0.861
sp|P0AFI2|PARC_ECOLI	0.142	0.326
sp|P0A7Y8|RNPA_ECOLI	0.692	0.002
sp|P69228|BAER_ECOLI	-0.01	0.461
sp|P46889|FTSK_ECOLI	0.214	0.219
