protein	log2FC	p-val
sp|P19624|PDXA_ECOLI	0.184	0.479
sp|P0AG16|PUR1_ECOLI	-0.061	0.299
sp|P0A7A5|PIMT_ECOLI	0.03	0.528
sp|P0AB65|ACYP_ECOLI	1.04	2.751e-06
sp|P0AET2|HDEB_ECOLI	0.91	0.0001391
sp|P20083|PARE_ECOLI	-0.359	0.081
sp|P0A6Z1|HSCA_ECOLI	-0.658	1.776e-14
sp|P0A917|OMPX_ECOLI	-0.944	0.0
sp|P17443|MURG_ECOLI	-0.065	0.827
sp|P0AFM2|PROX_ECOLI	1.388	2.794e-05
sp|P76038|PUUD_ECOLI	-0.85	0.0002098
sp|P0ACU7|YJDC_ECOLI	0.98	7.079e-11
sp|P77239|CUSB_ECOLI	1.186	0.0
sp|P17315|CIRA_ECOLI	-3.436	0.0
sp|P28248|DCD_ECOLI	0.286	0.165
sp|P36771|LRHA_ECOLI	1.319	2.529e-06
sp|P02930|TOLC_ECOLI	0.456	7.485e-12
sp|P02925|RBSB_ECOLI	3.723	0.0
sp|P0A8L1|SYS_ECOLI	-0.519	4.529e-12
sp|P12995|BIOA_ECOLI	-0.291	0.113
sp|P0AD27|YEJM_ECOLI	0.153	0.491
sp|P0A7L8|RL27_ECOLI	0.07	0.854
sp|P52647|NIFJ_ECOLI	0.516	1.252e-05
sp|P31678|OTSB_ECOLI	1.713	8.783e-08
sp|P0A8I8|RLMH_ECOLI	0.114	0.589
sp|P0AED0|USPA_ECOLI	0.82	8.755e-05
sp|P0ADF8|ILVN_ECOLI	0.158	0.469
sp|P0A8X2|YCEI_ECOLI	0.985	1.554e-15
sp|P0A8I5|TRMB_ECOLI	0.195	0.419
sp|P06983|HEM3_ECOLI	0.395	0.023
sp|P0ABU5|ELBB_ECOLI	-0.032	0.855
sp|P0A8E7|YAJQ_ECOLI	0.291	0.001
sp|P76149|SAD_ECOLI	0.057	0.957
sp|P10100|RLPA_ECOLI	0.08	0.482
sp|P03018|UVRD_ECOLI	-0.343	0.109
sp|P0A6P7|ENGB_ECOLI	0.501	0.001
sp|P22634|MURI_ECOLI	-0.091	0.924
sp|P24186|FOLD_ECOLI	-0.282	0.013
sp|P0A9K3|PHOL_ECOLI	0.18	0.055
sp|P30125|LEU3_ECOLI	0.473	2.074e-07
sp|P0ADE4|TAMA_ECOLI	-0.002	0.931
sp|P0AEX5|KPPR_ECOLI	0.894	0.0003013
sp|P0AEB2|DACA_ECOLI	-0.624	1.023e-10
sp|P0ABK5|CYSK_ECOLI	0.344	2.088e-08
sp|P42593|FADH_ECOLI	2.041	0.0
sp|P28304|QOR1_ECOLI	1.556	0.0
sp|P0A9Q9|DHAS_ECOLI	-0.446	4.612e-06
sp|P0A8D6|YMDB_ECOLI	1.041	1.026e-05
sp|P69828|PTKA_ECOLI	0.388	0.0006948
sp|P29013|YCGB_ECOLI	1.349	5.199e-05
sp|P30178|HCXB_ECOLI	-0.552	6.719e-06
sp|P77488|DXS_ECOLI	0.556	2.848e-06
sp|P31808|YCIK_ECOLI	0.612	6.622e-06
sp|P0AAV4|PXPB_ECOLI	0.898	0.0002539
sp|P0A988|DPO3B_ECOLI	0.408	0.016
sp|P77338|MSCK_ECOLI	-0.548	0.005
sp|P77258|NEMA_ECOLI	-0.954	1.29e-08
sp|P0A6T5|GCH1_ECOLI	-0.866	0.0
sp|P0AGG0|THIL_ECOLI	0.183	0.598
sp|P40120|OPGD_ECOLI	0.225	0.212
sp|P33644|POLOX_ECOLI	-0.03	0.751
sp|P0DMC7|RCSB_ECOLI	0.22	0.058
sp|P0A6F1|CARA_ECOLI	-0.207	0.006
sp|P18843|NADE_ECOLI	0.314	0.0007189
sp|P06715|GSHR_ECOLI	0.837	1.865e-14
sp|P0A7M9|RL31_ECOLI	-0.171	0.333
sp|P0AEN8|FUCM_ECOLI	0.265	0.203
sp|P39452|RIR3_ECOLI	-0.802	5.185e-06
sp|P08506|DACC_ECOLI	0.782	0.0
sp|P0ACF0|DBHA_ECOLI	0.518	0.011
sp|P13445|RPOS_ECOLI	1.317	8.477e-09
sp|P0A935|MLTA_ECOLI	-0.306	0.02
sp|P15042|DNLJ_ECOLI	-0.09	0.148
sp|P00957|SYA_ECOLI	-0.325	3.342e-12
sp|P09151|LEU1_ECOLI	0.287	0.0001869
sp|P23894|HTPX_ECOLI	-0.034	1.0
sp|P0AFY8|SEQA_ECOLI	0.092	0.656
sp|P0ACB7|HEMY_ECOLI	0.425	0.002
sp|P09030|EX3_ECOLI	0.128	0.64
sp|P37751|WBBK_ECOLI	0.415	0.039
sp|P75797|GSIB_ECOLI	0.95	1.405e-09
sp|P00393|DHNA_ECOLI	-1.776	0.0
sp|P00961|SYGB_ECOLI	-0.049	0.145
sp|P64530|RCNR_ECOLI	0.239	0.067
sp|P21513|RNE_ECOLI	-0.307	2.236e-07
sp|P0AG84|YGHA_ECOLI	2.119	2.215e-08
sp|P0AG27|YIBN_ECOLI	0.634	7.648e-06
sp|P39406|RSMC_ECOLI	0.542	0.000955
sp|P0C8J6|GATY_ECOLI	1.654	0.0
sp|P0A7M6|RL29_ECOLI	-0.292	0.089
sp|P77214|CUSF_ECOLI	1.534	5.596e-12
sp|P45395|KDSD_ECOLI	0.234	0.098
sp|P0A7T3|RS16_ECOLI	-0.537	0.0002239
sp|P23893|GSA_ECOLI	0.008	0.531
sp|P77171|YDCI_ECOLI	0.24	0.079
sp|P27828|WECB_ECOLI	-1.588	3.349e-08
sp|P77748|YDIJ_ECOLI	0.329	0.002
sp|P08192|FOLC_ECOLI	-0.072	0.613
sp|P0ABI4|CORA_ECOLI	0.498	0.019
