protein	log2FC	p-val
sp|P0AC84|GLO2_ECOLI	0.315	0.04
sp|P52094|HISQ_ECOLI	-0.221	0.853
sp|P27278|NADR_ECOLI	-0.08	0.53
sp|P0A722|LPXA_ECOLI	0.097	0.923
sp|P77526|YFCG_ECOLI	0.068	0.917
sp|P75796|GSIA_ECOLI	0.27	0.493
sp|P0ADT2|YGIB_ECOLI	-0.504	0.029
sp|P17993|UBIG_ECOLI	0.252	0.005
sp|P0A9G8|MODE_ECOLI	0.486	0.006
sp|P27298|OPDA_ECOLI	0.116	0.073
sp|P05041|PABB_ECOLI	0.096	0.715
sp|P0A993|F16PA_ECOLI	0.574	9.05e-09
sp|P77243|PRPD_ECOLI	-2.723	0.0
sp|P0A890|TUSA_ECOLI	0.248	0.436
sp|P0ADT5|YGIC_ECOLI	-0.519	4.604e-06
sp|P0A7H6|RECR_ECOLI	0.326	0.244
sp|P39199|PRMB_ECOLI	-0.162	0.107
sp|P31064|YEDE_ECOLI	-0.146	0.287
sp|P12758|UDP_ECOLI	-0.035	0.61
sp|P22333|ADD_ECOLI	-0.272	0.135
sp|P26616|MAO1_ECOLI	0.433	2.397e-08
sp|P30011|NADC_ECOLI	-0.031	0.809
sp|P08312|SYFA_ECOLI	-0.218	0.004
sp|P37643|YHJE_ECOLI	-1.987	1.261e-07
sp|P76035|YCIW_ECOLI	0.082	0.883
sp|P75829|YBJX_ECOLI	0.008	0.896
sp|P75728|UBIF_ECOLI	0.032	0.893
sp|P77211|CUSC_ECOLI	0.127	0.179
sp|P31550|THIB_ECOLI	-0.048	1.0
sp|P37128|NUDK_ECOLI	-0.777	0.003
sp|P0A6L4|NANA_ECOLI	-0.455	0.005
sp|P02929|TONB_ECOLI	0.065	0.411
sp|P16095|SDHL_ECOLI	-0.106	0.529
sp|P10378|ENTE_ECOLI	-0.192	0.361
sp|P67080|PLPHP_ECOLI	0.027	0.984
sp|P0ABF6|CDD_ECOLI	-0.137	0.179
sp|P37903|USPF_ECOLI	-0.229	0.086
sp|P0ABC3|HFLC_ECOLI	-0.177	0.072
sp|P77432|LSRK_ECOLI	-0.884	0.012
sp|P0ADW3|YHCB_ECOLI	-0.118	0.091
sp|P13445|RPOS_ECOLI	0.607	0.003
sp|P69423|TATC_ECOLI	-0.456	0.046
sp|P60624|RL24_ECOLI	-0.413	1.559e-05
sp|Q46856|YQHD_ECOLI	0.446	0.0003346
sp|P0A6K6|DEOB_ECOLI	0.145	0.151
sp|P39337|YJGM_ECOLI	0.355	0.209
sp|P0A6M4|DTD_ECOLI	-0.099	0.911
sp|P76149|SAD_ECOLI	-0.348	0.023
sp|P76507|YFDI_ECOLI	-0.352	0.265
sp|P0AB58|LAPB_ECOLI	-0.219	0.456
sp|P0A6E4|ASSY_ECOLI	-0.142	0.01
sp|P29208|MENC_ECOLI	0.166	0.625
sp|P0A6F3|GLPK_ECOLI	-0.668	4.441e-16
sp|P0AEB7|YOAB_ECOLI	0.147	0.503
sp|P50457|PUUE_ECOLI	-0.687	0.0005961
sp|P0A8G3|UXAC_ECOLI	-0.11	0.2
sp|P0ACN4|ALLR_ECOLI	0.158	0.144
sp|P0AFX7|RSEA_ECOLI	0.383	0.198
sp|P77148|YDHS_ECOLI	0.123	0.43
sp|P14900|MURD_ECOLI	0.395	0.007
sp|P0ACV4|LAPA_ECOLI	0.356	0.245
sp|P33355|YEHS_ECOLI	0.037	0.478
sp|P0A901|BLC_ECOLI	-0.029	0.731
sp|P61517|CAN_ECOLI	0.856	5.949e-10
sp|P52647|NIFJ_ECOLI	-0.068	0.38
sp|P0A968|CSPD_ECOLI	-0.748	0.0002857
sp|P28248|DCD_ECOLI	0.082	0.356
sp|P0ADI7|YECD_ECOLI	0.229	0.465
sp|P15254|PUR4_ECOLI	-0.392	0.0
sp|P0A7J7|RL11_ECOLI	-0.165	0.277
sp|P62768|YAEH_ECOLI	0.133	0.454
sp|P76503|FADI_ECOLI	0.071	0.52
sp|P0AAI5|FABF_ECOLI	-0.188	0.038
sp|P33570|TKT2_ECOLI	0.205	0.002
sp|P45577|PROQ_ECOLI	-0.008	0.838
sp|P0A6G3|PNCC_ECOLI	-0.103	0.143
sp|P32176|FDOG_ECOLI	-0.337	0.042
sp|P0ABQ4|DYR_ECOLI	-0.613	8.958e-05
sp|P0A9Q5|ACCD_ECOLI	-0.212	0.003
sp|P41409|RIHA_ECOLI	-0.232	0.067
sp|Q2M7R5|YIBT_ECOLI	-0.469	0.062
sp|P31063|YEDD_ECOLI	0.087	0.563
sp|P0A9F3|CYSB_ECOLI	-0.34	0.001
sp|P21367|YCAC_ECOLI	-0.715	1.216e-07
sp|P0AG67|RS1_ECOLI	-0.244	2.14e-09
sp|P25906|PDXI_ECOLI	0.387	0.0001679
sp|P0AEU7|SKP_ECOLI	-0.133	0.142
sp|P0A940|BAMA_ECOLI	-0.168	0.003
sp|P64602|MLAB_ECOLI	0.293	0.545
sp|P0AEN4|FTSL_ECOLI	0.176	0.332
sp|Q46863|YGIS_ECOLI	0.102	0.893
sp|P67087|RSMI_ECOLI	-0.045	0.364
sp|P21151|FADA_ECOLI	-0.304	0.006
sp|P0A7D7|PUR7_ECOLI	-0.062	0.582
sp|P0AB28|YCED_ECOLI	-0.344	0.021
sp|P63417|YHBS_ECOLI	-0.118	0.459
sp|P76290|CMOA_ECOLI	-0.173	0.327
sp|P77737|OPPF_ECOLI	-1.023	6.869e-07
sp|P00490|PHSM_ECOLI	0.0009446	0.676
sp|P12996|BIOB_ECOLI	-0.371	0.007
sp|P42599|YGJR_ECOLI	-0.203	0.281
sp|P0AG48|RL21_ECOLI	-0.399	0.0006403
sp|P0AB89|PUR8_ECOLI	-0.531	9.104e-15
sp|P33363|BGLX_ECOLI	-0.188	0.005
sp|P27250|AHR_ECOLI	-0.001	0.82
sp|P17846|CYSI_ECOLI	0.004	0.441
sp|P0AFM9|PSPB_ECOLI	0.296	0.272
sp|P45799|NUDE_ECOLI	-0.391	0.005
sp|P0A8E1|YCFP_ECOLI	0.308	0.016
sp|P0ACE3|HHA_ECOLI	-0.313	0.173
sp|P31060|MODF_ECOLI	0.292	0.01
sp|P46130|YBHC_ECOLI	-0.026	0.706
sp|P0AB14|YCCJ_ECOLI	0.374	0.022
sp|P0A717|KPRS_ECOLI	-0.238	0.035
sp|P15078|CSTA_ECOLI	-0.335	8.485e-05
sp|Q46925|CSDA_ECOLI	-0.262	0.441
sp|P07395|SYFB_ECOLI	-0.215	0.0004644
sp|P08245|YCIH_ECOLI	-0.343	0.11
sp|P0A7Z4|RPOA_ECOLI	-0.051	0.73
sp|P0ABH9|CLPA_ECOLI	0.227	0.004
sp|P76658|HLDE_ECOLI	-0.289	0.000112
sp|P37613|PANZ_ECOLI	-0.091	0.164
sp|P06983|HEM3_ECOLI	-0.012	0.79
sp|P0A6I9|COAE_ECOLI	-0.119	0.766
sp|P0ADE4|TAMA_ECOLI	0.329	0.163
sp|P38489|NFSB_ECOLI	-0.148	0.146
sp|P38038|CYSJ_ECOLI	-0.014	0.643
sp|P0ACA3|SSPA_ECOLI	0.037	0.566
sp|P68767|AMPA_ECOLI	-0.343	5.538e-05
sp|P37661|EPTB_ECOLI	-0.92	5.728e-05
sp|P0C8J8|GATZ_ECOLI	1.194	0.0
sp|P0A7S9|RS13_ECOLI	0.068	0.716
sp|P0AD61|KPYK1_ECOLI	0.306	1.172e-06
sp|P10908|UGPQ_ECOLI	0.09	0.538
sp|P39298|YJFP_ECOLI	0.048	0.692
sp|P0AAH0|PSTB_ECOLI	-0.535	0.0001755
sp|P28903|NRDD_ECOLI	-0.177	0.073
sp|P0ADM4|YIDQ_ECOLI	-0.446	0.03
sp|P07001|PNTA_ECOLI	-0.318	0.0001581
sp|P0AD01|DCUR_ECOLI	0.078	0.749
sp|P0AGJ7|TRML_ECOLI	-0.153	0.41
sp|P64423|ZNTB_ECOLI	0.053	0.756
sp|P36659|CBPA_ECOLI	0.676	8.542e-06
sp|P39838|RCSD_ECOLI	0.037	0.707
sp|P0A8E7|YAJQ_ECOLI	0.145	0.083
sp|P40120|OPGD_ECOLI	-0.319	0.003
sp|P0A7N4|RL32_ECOLI	-0.481	0.003
sp|P0AFB8|NTRC_ECOLI	0.648	0.002
sp|P0ACZ4|EVGA_ECOLI	1.457	1.388e-05
sp|P77218|EUTD_ECOLI	0.217	0.368
sp|P0AD65|MRDA_ECOLI	0.723	0.026
sp|P27431|ROXA_ECOLI	0.143	0.198
sp|P64479|YDIZ_ECOLI	0.566	0.121
sp|P06616|ERA_ECOLI	0.106	0.302
sp|P0ADA5|YAJG_ECOLI	-0.296	0.012
sp|P0A9H5|BTUR_ECOLI	-0.14	0.419
sp|P00962|SYQ_ECOLI	0.01	0.994
sp|P39321|TAMB_ECOLI	-0.15	0.699
sp|P67660|YHAJ_ECOLI	-0.029	0.397
sp|P02919|PBPB_ECOLI	0.089	0.368
sp|P0A7V0|RS2_ECOLI	-0.215	0.001
sp|P33012|SBMC_ECOLI	0.293	0.41
sp|P0ACF4|DBHB_ECOLI	-0.064	0.7
sp|P0A9L3|FKBB_ECOLI	-0.471	4.249e-06
sp|P0ADK0|YIAF_ECOLI	0.035	0.645
sp|P29745|PEPT_ECOLI	0.471	6.323e-06
sp|P27302|TKT1_ECOLI	-0.172	0.001
sp|P61320|LOLB_ECOLI	0.173	0.358
sp|P69786|PTGCB_ECOLI	-0.271	0.012
sp|P0AF18|NAGA_ECOLI	-0.106	0.416
sp|P0ADR8|PPNN_ECOLI	0.073	0.454
sp|P08997|MASY_ECOLI	0.96	0.0
sp|P33219|YEBF_ECOLI	-0.184	0.156
sp|P0A6V8|GLK_ECOLI	0.153	0.069
sp|P52697|6PGL_ECOLI	0.416	1.197e-05
sp|P69913|CSRA_ECOLI	0.794	0.0002041
sp|P0A6A8|ACP_ECOLI	-0.298	0.122
sp|P0A825|GLYA_ECOLI	-0.245	3.965e-07
sp|P0A6P7|ENGB_ECOLI	-0.333	0.016
sp|P77214|CUSF_ECOLI	-0.107	0.451
sp|P09373|PFLB_ECOLI	0.308	1.243e-06
sp|P0A6Z6|NIKR_ECOLI	0.405	0.225
sp|P17443|MURG_ECOLI	0.32	0.283
sp|P77300|XYNR_ECOLI	0.003	1.0
sp|P43671|PQIB_ECOLI	0.167	0.355
sp|P00887|AROH_ECOLI	0.068	0.687
sp|P0A847|TGT_ECOLI	-0.223	0.11
sp|P60546|KGUA_ECOLI	-0.006	0.883
sp|P0A836|SUCC_ECOLI	0.947	0.0
sp|P64530|RCNR_ECOLI	0.168	0.316
sp|P33643|RLUD_ECOLI	-0.022	0.545
sp|P0A9K7|PHOU_ECOLI	-0.271	0.048
sp|P00954|SYW_ECOLI	-0.007	0.746
sp|P0A8I3|YAAA_ECOLI	0.02	0.611
sp|P0AF52|GHXP_ECOLI	-0.457	0.1
sp|P77808|CINAL_ECOLI	0.086	0.92
sp|P0AD96|LIVJ_ECOLI	-0.077	0.277
sp|P0AAS7|YBCJ_ECOLI	-0.4	0.054
sp|P31142|THTM_ECOLI	0.01	0.952
sp|P0AEQ1|GLCG_ECOLI	1.807	3.006e-13
sp|P0ABB4|ATPB_ECOLI	-0.217	1.103e-05
sp|P0AF08|APBC_ECOLI	0.289	0.011
sp|P77522|SUFB_ECOLI	0.144	0.15
sp|P33218|YEBE_ECOLI	-0.073	0.885
sp|P31547|METI_ECOLI	-0.298	0.492
sp|P37902|GLTI_ECOLI	-0.348	2.908e-05
sp|P21338|RNI_ECOLI	0.16	0.342
sp|P61175|RL22_ECOLI	-0.213	0.033
sp|P69222|IF1_ECOLI	-0.199	0.58
sp|P29217|YCEH_ECOLI	0.465	9.863e-05
sp|P0AB77|KBL_ECOLI	0.209	0.166
sp|P77690|ARNB_ECOLI	-0.29	0.401
sp|P0A6I0|KCY_ECOLI	-0.034	0.985
sp|P0AAN9|IRAP_ECOLI	0.443	0.028
sp|P0ACA7|GSTB_ECOLI	0.286	0.029
sp|P18133|PNCB_ECOLI	-0.052	0.537
sp|P00934|THRC_ECOLI	-0.394	1.123e-07
sp|P76235|YEAH_ECOLI	0.38	0.045
sp|P15034|AMPP_ECOLI	0.032	0.761
sp|P23003|TRMA_ECOLI	-0.111	0.529
sp|P32695|DUSA_ECOLI	-0.466	3.402e-05
sp|P0A9G6|ACEA_ECOLI	0.842	0.0
sp|P32162|YIIS_ECOLI	1.451	0.0001119
sp|P0AF12|MTNN_ECOLI	0.165	0.156
sp|P06959|ODP2_ECOLI	-0.635	0.0
sp|P0AE82|CPXA_ECOLI	0.051	0.747
sp|P61316|LOLA_ECOLI	0.235	0.145
sp|P0AFX4|RSD_ECOLI	-0.051	0.578
sp|P0A8G0|UVRC_ECOLI	0.304	0.169
sp|P69783|PTGA_ECOLI	0.007	0.345
sp|P0AGA6|UHPA_ECOLI	-0.112	0.407
sp|P0A7J3|RL10_ECOLI	-0.189	0.042
sp|P27550|ACSA_ECOLI	-0.395	4.503e-13
sp|P16681|YJDN_ECOLI	0.096	0.94
sp|P0A853|TNAA_ECOLI	0.736	2.22e-16
sp|P0A6N8|EFPL_ECOLI	-0.043	0.675
sp|P02925|RBSB_ECOLI	-0.272	6.104e-05
sp|P12295|UNG_ECOLI	-0.139	0.358
sp|P0AEF8|DPPB_ECOLI	-0.316	0.185
sp|P37666|GHRB_ECOLI	-0.055	0.953
sp|P0AFD6|NUOI_ECOLI	-0.507	3.34e-06
sp|P0AF28|NARL_ECOLI	-0.002	0.813
sp|P0A6S7|GPDA_ECOLI	0.099	0.393
sp|P0ACP7|PURR_ECOLI	-0.121	0.313
sp|P23917|MAK_ECOLI	0.139	0.904
sp|P04968|ILVA_ECOLI	-0.24	0.038
sp|P07650|TYPH_ECOLI	-0.034	0.826
sp|P0ADS9|YGGN_ECOLI	-0.011	0.954
sp|P0AC02|BAMD_ECOLI	-0.285	0.001
sp|P0A9I3|GCVR_ECOLI	0.182	0.403
sp|P64483|YEAK_ECOLI	0.272	0.046
sp|P39411|NCPP_ECOLI	-0.103	0.526
sp|P69228|BAER_ECOLI	0.179	0.024
sp|P05719|T1SK_ECOLI	-0.061	1.0
sp|P75828|YBJD_ECOLI	-0.543	0.389
sp|P69776|LPP_ECOLI	0.103	0.325
sp|P0C018|RL18_ECOLI	-0.022	0.703
sp|P25665|METE_ECOLI	0.193	0.0001754
sp|P0A8R0|RRAA_ECOLI	0.066	0.567
sp|P18335|ARGD_ECOLI	0.162	0.006
sp|P13000|BIOD1_ECOLI	0.452	0.004
sp|P0AGK4|YHBY_ECOLI	-0.678	0.005
sp|P0ABQ0|COABC_ECOLI	0.018	0.478
sp|Q46939|YQEF_ECOLI	-0.842	2.631e-07
