protein	z-value
copA	4.939944037006045
exbB	-5.210671603055028
dadA	-3.536244568144899
ppc	-7.3487
yhaJ	0.39581928920006443
glpX	-1.6554831521735585
secD	0.5378607886385273
ydiZ	5.29291306018043
glgX	2.6306060433364005
ddlB	-1.2317116643615962
ggt	1.2835449219797697
glmS	-4.377282510444699
glk	2.969806685204275
yciW	-2.1786783219348425
ygiC	-0.8206353493436644
yecS	1.121884585506999
yidQ	2.495460740545851
lepA	-0.5508379943380548
ynfD	0.7891672806186288
dhaM	-2.4668190890938093
rpsA	-6.572709358474765
yjbJ	6.002541668358961
rpsP	-2.7201818719695345
mukE	2.593509390405421
yifK	-1.9780883750460883
prc	-0.021097105148430446
ybaY	3.7130249641172863
glcG	3.9974216985106863
pepD	-2.743580818404317
ydfZ	0.3198855218180515
yecA	2.3038473438481493
rcnB	1.554863760510982
bglX	-2.271863075931512
gatD	6.448791704812488
nrdB	-2.2835392256410727
cpxA	4.295944931103851
rpoD	4.419393589468397
spoT	1.9672342208742661
ycjF	2.0097600505825226
rne	-0.12531919142455375
ispG	1.2707233995649212
sdhC	0.8898269213113725
cdd	5.756643675920655
hisQ	2.1610757563413574
cmoB	-1.5769980358902005
puuD	-2.331492791399146
crr	4.187285625503955
mlc	2.67800252948872
nudF	4.016864984208262
phoB	0.5139011249522767
wbbK	-1.1311329459779136
dapD	-5.500504990820426
ybeL	6.124683979356061
ahpC	1.6684505509920065
tesA	1.3202923476239188
valS	-4.871647819403815
ycgL	-1.6138627242323798
cnoX	-2.387207931828959
atpF	-3.9386042354030586
mpl	0.4000958425756729
ldcA	-0.911246421412651
cycA	1.721014434245639
deoR	-0.29130964520001545
ycbZ	-1.9065946845274615
creA	1.6106681622204984
serB	-1.7139219310712748
nfuA	-3.964679186674043
ppsA	5.440102547598282
fucO	6.357849903024489
treC	1.3643169378101019
yhcB	-1.722779157889199
hisJ	2.2652598041498826
rfaG	2.479391462383026
kdsD	-1.3349401804093375
oppF	-0.7273663426653199
ydcY	-0.2678260032224829
rcsD	1.834513286713413
xylA	3.86833831880085
ytfL	-0.019532662303919382
zntA	-0.25712252782003603
cobB	-1.3017909229516913
aas	0.5819611109736151
rpoN	1.1916539774781394
atpH	-4.295299165981797
waaU	-2.5556922935286446
ftsH	-1.2779756654510337
speA	0.5750212849271991
nuoA	-1.4262695854159027
metC	1.6946572909286293
proB	-1.0750741138752962
yqcA	1.4308713069877321
erfK	3.276008144681209
cysC	-5.71023436567306
atpA	-4.034540803769094
rpsN	-2.9664293966288775
leuB	7.034121561815143
rplP	-1.2239441340462875
nikR	0.5248463046978905
modA	5.709712227880975
mrp	-3.283057915690571
eutM	5.998855280632128
gsiB	-0.2008305953494962
fiu	-4.821227601979803
cueO	-1.199546548661777
putA	-2.1476800430983105
avtA	-4.1798983330768404
bioA	-3.197625209741925
macB	0.6640767808526646
degP	4.144418582605491
prlC	-0.11303805686804987
yeaK	-1.076307795119556
dadX	3.096824340422638
ybiS	-3.0719912341088778
rpmG	-3.075302236417867
rbsC	3.9941663025456204
fusA	-5.9500424190458
bamC	1.422197199443545
ftsX	2.379048972717075
rfbA	-3.048256595372566
livF	1.113431674891554
kdgR	0.3333443919402243
hemL	-4.151175836908367
sthA	-4.4177707222151
recC	1.8521798587690466
tehB	-2.546609740007904
frsA	0.951048634165412
yhhM	1.0699325825926604
pcm	1.5057046008589134
lysP	1.0460741368630437
ptsG	-7.3487
rapA	1.721838520922952
yccU	3.673335839580972
tolQ	-1.3076833593592454
phoQ	2.79471654257241
feaB	3.1589751629227543
pabB	-1.0614405343332483
htpG	-1.9374378400915737
prpB	-4.043088983883271
aroD	0.4023304052007421
ribA	-1.927305951405575
psd	3.2244260512762257
metL	-2.5338090598144487
aphA	1.7333810287818083
solA	-0.5507126760163508
dosC	3.3457193490293835
ycbX	4.949608729834188
yafK	-4.3658045242878725
yibF	2.7501171869085796
acnB	2.4222601582062437
lsrA	-0.4031097854765302
tktA	-7.242861455089698
rplL	-3.307880960496897
ybhB	2.154665601620563
actP	6.728720138051323
rpsF	-4.797287718350418
yhbW	-0.6469795625870393
osmE	6.281965167384964
yeiP	-2.665614265677917
lptE	1.777228950479763
uxaC	5.021041029867331
nudE	-1.643620644716207
secG	-0.4705948352097819
gppA	-0.267624399904533
yfcD	-4.923721301158009
pdxB	-1.6915741905670316
iscR	-4.116063847347369
ynbE	-0.14924474081819436
ynhG	4.258889615036086
mltC	0.3562967026517345
nagA	5.522906338751769
proC	2.7661991587006383
creB	2.7784965045931096
hdeB	4.035901252853911
speC	-0.5473432654517524
purR	2.4406672593566054
yeeN	-5.681458591450598
purC	-5.5905596958757
pntA	-5.744015938597079
rnpA	-1.3376208252153956
murQ	1.1660877012257995
ispF	-0.22633716272233226
ispB	-1.291523875866462
ugpB	7.3487
basR	2.180566820115556
rpoC	-1.1332200603702847
trmA	-4.99759891606418
fliC	-3.6416161572247514
eda	-3.4371879322010925
rsmC	0.10307405563287542
rdgC	-1.1800798033738735
ptsI	-6.0283453261249305
ppk	4.471388960663356
sucB	-2.504135493598974
mug	0.9838375194265793
queF	0.35692527368725957
rsmA	-1.4033427400075396
sstT	0.7617980487803612
gpsA	0.950208258785034
greA	1.9592940583577048
typA	-5.334042632684921
yeeX	-0.1334134304471822
ydeI	6.687976892796592
malF	0.8875390097329763
gltL	1.2954521114721578
dcp	1.6504921709899132
dut	-2.6608661427299087
hisC	0.5519406000687626
nrdR	0.09467622369068439
aroL	-2.6845169809878886
yhhW	5.849300462529106
ypfJ	3.821087909470679
sbmC	2.8221289841365156
metB	0.6804263425490326
fadJ	7.226666388952907
yecM	1.1336521831887565
yaiI	-3.7905424892468753
galS	0.6751135598414921
hemD	2.0890389879243565
rlmM	1.798581936755711
dgcJ	1.826623252367442
mog	-0.9262244459340282
putP	2.3470880688778606
speE	-2.6755934181104317
sufC	-0.5846965468971085
coaE	2.4337012665247197
dapB	-3.139806314023223
rsgA	1.8870634524492407
mnmA	0.3713284736718958
yihX	3.1142844284262674
yeaG	7.3487
rsd	0.8938871054964006
argA	-2.4232135416674745
ptrA	2.6887828281375583
maeB	5.444202914286529
cpdB	3.3463398464193053
guaA	-7.3487
tgt	-3.7942080770372284
aceE	4.043617857809779
cusA	-3.163049276937097
mukB	4.581745387808965
yjiA	-1.3691227983528993
cusC	-0.7353861691238835
yfaY	2.2145321363178088
gadC	1.8452581167555007
hisI	-2.0592620764181637
yffB	0.05323554776677452
mtlD	5.122785368282839
mdoH	1.6367584081864155
trpS	-2.531740062134918
rimO	-3.8528818845422004
dnaX	-0.2322150754364192
gsiC	0.31663866165489407
xylB	4.839986990276784
pdxI	7.3487
dnaB	-0.6784651096604708
aroG	-7.256302028750419
yejM	3.3878916852978365
ybgC	0.8759223441357437
ygeA	2.743821688556791
asnB	-5.761690141762111
bglA	0.21949578477118412
ghrA	-1.500122649041362
ftnA	-0.07161337524044774
yecJ	-3.366888142165555
ptsP	1.178153320912474
degS	1.4331961918843137
yeeZ	3.352760345377968
ygaP	3.428455501931137
potA	0.13335208972813697
aceF	3.6233809223437565
lolD	-1.542453816362658
nagB	3.991699802257566
lptB	2.417593213468716
ycaC	6.846273231923811
maa	2.0927893190353863
dsbA	-2.533886419072502
ppiA	0.4072195863614323
yidB	2.070248354118852
glpD	1.902205621133603
uspG	5.567928140227536
yagU	-0.4862271075609379
gltD	-0.3355529837339515
flgM	-3.4558456575249052
rplQ	-4.61135948561356
ygiF	0.2819256839880285
yhbS	3.5631958866457056
mltA	-2.0554525233843144
plsY	2.6565746234959806
rsmB	-0.09244265313611007
gyrA	-4.095800879269336
rfaQ	-0.3813647352875226
argI	5.0229382015516295
metH	-3.587368793675876
uvrB	6.2406793444495
mlaF	1.0743042131399134
tas	1.5634968265856732
yahK	7.3487
amyA	0.7068427200982104
pfkA	-0.31348366897468893
plsB	5.7632084313564915
lapA	1.6977908303075053
ybcJ	-1.6702330293840564
cysP	-2.461416463721786
dps	6.134347985841146
nlpD	-0.3968260526850314
rpsC	-5.439373101557747
rlpA	0.2868472335744649
fnr	-2.0729905968249045
ilvD	-6.622615226666452
trpC	-1.8786213537175191
rpsJ	-2.901058693858707
tpx	-1.580578507516943
uvrC	1.5222452375112228
rpmD	-2.6494357332705203
secF	-0.6479183781309957
grcA	0.48762372340068366
yceH	1.180275116842366
uidA	2.444743332623757
ghrB	-6.598307112693319
rplC	-4.775672247977632
lexA	-0.3571776115802356
xylF	6.372477863674099
yhbO	5.27469874291793
rpmA	-3.1138580067717734
sufS	0.6150420122737689
sapF	1.9592124849656891
yfcZ	0.5500564100179072
dsbG	-0.23794291199094766
hmp	-6.100616633638306
livK	-2.2978344302737588
rfaF	-0.17986764358975024
rlmL	0.47857113620053526
metE	-7.3487
kbp	7.3487
lolB	-1.8032928991253976
sseA	5.1460986439560585
malE	-0.619452200147771
mdoD	1.8183301200037165
rihC	3.2671919374044327
cusR	0.7033606808340062
purM	-5.700932900497307
leuD	6.790376989836074
pdxA	1.2890613145157046
mutL	3.921934309337357
tsaE	0.46537076801733285
yjgH	3.294166498557982
moeA	1.2773299757677907
hemC	1.6231494040457102
glgB	1.6069018402181678
rbsD	6.616289269710798
fumA	-7.3487
rihA	-3.8178757305024784
maeA	-3.619518285930579
serS	-0.9304776012572273
panB	2.5848720838686083
kdpD	3.8747481688651813
glrR	-1.2372263067306044
minD	3.1741843276889425
rlmJ	-1.51617915609151
rhlB	0.6297613618770566
yqfB	2.1321214260197636
kdsB	-1.7366883013643684
ytfP	-0.49689684875832846
dcm	0.23330214653740028
acuI	6.003476047249917
glcA	3.136688418809243
glcF	1.0322855654195058
glpF	2.2648826008800893
fsaA	0.02028152212923464
clpB	6.97216751108758
pncB	-5.3122282400464105
suhB	-4.4757100782323125
ynjB	0.3718560893850747
sdaC	-3.9983128568646
talB	-7.2861020159063505
hiuH	-1.347784552465696
yebC	-0.855271562315367
yhhX	0.6287249405920405
purD	-7.204351958389211
sohB	-1.0446137854484165
ppnN	1.4250371447353813
gloC	2.5085046423300477
yciN	0.7985959124975373
ydcI	0.35211917036430596
nadR	2.1595104042360123
cysG	0.6332400667722864
glmM	1.4075225726279714
ansA	0.07739508923764653
zapE	0.7314343214350767
fklB	-5.532218420577795
mioC	-2.7584690097836333
frdB	5.748200944531004
rpsS	-4.071336276573217
ispH	-3.310030448396068
sdhD	0.10536384855423307
ddlA	-3.731021976016155
rcsC	0.08824525151683546
rlmH	-1.5034461165689383
rlmN	-3.4331813191323866
pdeN	1.7450658800254772
rplJ	-3.104677023844815
metI	1.15239969714284
ompT	-3.0342786294641644
yceI	0.2299057299844714
yddH	3.226789888499843
lpxB	3.1981465237207827
queE	-1.2777423697776347
alaS	-2.4212491409567187
fbaA	-4.018835382460457
tig	-5.061157921001365
codA	-6.653368276795229
yiiS	2.3816175004676983
cydA	6.310288063656826
rplW	-2.7329128174399075
hxpA	-0.8714361728787121
yfcG	3.2139705617663044
csdE	-0.0020400197702878414
hslU	-3.7843691019600088
gor	2.2985745583592734
cysB	-1.168587091258345
pqiB	-1.8156509812499273
folP	-5.506438986782862
yobA	-0.22523558889835624
pdxH	-1.59625751792678
parC	-2.2402405186803307
trpB	-3.9463131037363244
udp	7.272775334860163
purB	-6.160326167807213
gss	0.36100253899034884
epd	-2.361444835890647
hrpA	2.6430415308602346
lolA	-1.3082437884373415
