Raw file	Experiment	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
MURI_100_1a_03312014																																13030																		
MURI_100_1b_03312014																																12905																		
MURI_101_1a_04022014																																13676																		
MURI_101_1b_04022014																																13870																		
MURI_102_1a_04072014																																13574																		
MURI_102_1b_04072014																																12816																		
MURI_103_1a_04122014																																9579																		
MURI_103_1b_04122014																																10154																		
MURI_104_1a_04072014																																13294																		
MURI_104_1b_04072014																																13032																		
MURI_105_1a_04022014																																12517																		
MURI_105_1b_04022014																																12660																		
MURI_16a_5xDil_08052013																																11242																		
MURI_16b_5xDil_08052013																																11323																		
MURI_17a_5xDil_08052013																																10908																		
MURI_17b_5xDil_08052013																																11044																		
MURI_18a_5xDil_08122013																																10309																		
MURI_18b_5xDil_08122013																																10190																		
MURI_19a_5xDil_08132013																																9693																		
MURI_19b_5xDil_08132013																																9858																		
MURI_20a_5xDil_08132013																																10142																		
MURI_20b_5xDil_08132013																																9810																		
MURI_21a_5xDil_08142013																																9946																		
MURI_21b_5xDil_08142013																																10152																		
MURI_22a_5xDil_08142013																																10568																		
MURI_22b_5xDil_08142013																																10374																		
MURI_23a_5xDil_08162013																																9865																		
MURI_23b_5xDil_08162013																																10233																		
MURI_24a_5xDil_08162013																																9435																		
MURI_24b_5xDil_08162013																																10047																		
MURI_25a_5xDil_07192013																																10498																		
MURI_25b_5xDil_07192013																																10403																		
MURI_26a_5xDil_07192013																																10481																		
MURI_26b_5xDil_07192013																																10164																		
MURI_27a_5xDil_07252013																																10310																		
MURI_27b_5xDil_07252013																																10159																		
MURI_28a_5xDil_07282013																																10542																		
MURI_28b_5xDil_07282013																																10637																		
MURI_29a_5xDil_07282013																																10460																		
MURI_29b_5xDil_07282013																																10445																		
MURI_30a_5xDil_07292013																																10820																		
MURI_30b_5xDil_07292013																																10819																		
MURI_31a_5xDil_07302013																																10983																		
MURI_31b_5xDil_07302013																																10921																		
MURI_32a_5xDil_07312013																																10927																		
MURI_32b_5xDil_07312013																																10775																		
MURI_33a_5xDil_08012013																																10582																		
MURI_33b_5xDil_08012013																																10380																		
MURI_97_1a_04032014																																12620																		
MURI_97_1b_04122014																																10116																		
MURI_98_1a_04032014																																13106																		
MURI_98_1b_04122014																																9999																		
MURI_99_1a_03312014																																13008																		
MURI_99_1b_03312014																																12544																		
Total																	317310	4447018	0	4718479	4168753	0	549726	2699567	2662420	0	37147	57.21	63.87	NaN	6.76	28642	71902593					7748803	1297111	1271088	16.74	19.56	1055089	81.34		0.55747	0.75327	0.44948	0.64082	
