aaeA	5
aaeB	[2]
aaeR	79
aaeX	[5]
aas	80
aat	111
abgA	12
abgB	9
abgR	26
abgT	3
abrB	8
accA	1800
accB	5637
accC	1951
accD	2475
aceA	14155
aceB	8427
aceE	5837
aceF	5226
aceK	71
ackA	1197
acnA	862
acnB	7660
acpH	126
acpP	85961
acpS	142
acpT	125
acrA	1295
acrB	433
acrD	10
acrE	[0]
acrF	1
acrR	87
acs	643
actP	46
ada	15
add	265
ade	46
adhE	4687
adhP	773
adiA	8
adiC	[1]
adiY	11
adk	7177
adrA	5
adrB	4
aegA	4
aer	6
aes	17
afuC	7
agaB	[6]
agaC	[0]
agaD	[2]
agaI	[3]
agaR	187
agaS	[3]
agaV	20
agp	306
ahpC	37153
ahpF	1554
aidB	150
ais	176
alaA	533
alaC	361
alaS	1795
aldA	1620
aldB	76
alkA	37
alkB	17
allA	[8]
allB	6
allC	6
allD	[1]
allR	857
allS	[0]
alpA	28
alr	158
alsA	[0]
alsB	41
alsC	[2]
alsE	13
alsK	7
alx	27
amiA	290
amiB	173
amiC	68
amiD	82
amn	1104
ampC	132
ampD	202
ampE	90
ampG	55
ampH	116
amtB	132
amyA	398
anmK	151
ansA	435
ansB	27
ansP	25
apaG	260
apaH	184
apbE	17
aphA	62
appA	42
appB	26
appC	35
appY	72
apt	2029
aqpZ	25
araA	17
araB	5
araC	115
araD	[4]
araE	11
araF	9
araG	7
araH	13
araJ	17
arcA	3622
arcB	97
argA	1129
argB	1736
argC	1076
argD	2537
argE	1444
argF	2536
argG	8231
argH	1878
argI	2562
argK	[0]
argO	88
argP	624
argR	1003
argS	955
argT	2939
ariR	182
arnA	317
arnB	389
arnC	248
arnD	39
arnE	[10]
arnF	18
arnT	14
aroA	1636
aroB	444
aroC	819
aroD	463
aroE	224
aroF	1305
aroG	6677
aroH	696
aroK	2458
aroL	387
aroM	116
aroP	1194
arpA	[1]
arrD	[2]
arrQ	[1]
arsB	8
arsC	116
arsR	24
artI	2088
artJ	5888
artM	93
artP	461
artQ	107
ascB	21
ascF	[1]
ascG	103
asd	10592
aslA	5
aslB	[1]
asmA	75
asnA	794
asnB	1344
asnC	156
asnS	4166
aspA	71
aspC	7192
aspS	1908
asr	117
astA	9
astB	9
astC	94
astD	20
astE	10
atoA	[0]
atoB	[3]
atoC	32
atoD	[0]
atoE	[0]
atoS	3
atpA	9565
atpB	3471
atpC	3640
atpD	8213
atpE	23624
atpF	4477
atpG	3131
atpH	2677
atpI	67
avtA	849
azoR	1111
azuC	7360
bacA	224
baeR	226
baeS	23
bamA	1512
bamB	1064
bamC	1103
bamD	2233
bamE	1917
barA	56
basR	542
basS	120
bax	555
bcp	5115
bcr	78
bcsA	3
bcsB	33
bcsC	17
bcsE	230
bcsF	183
bcsG	129
bcsZ	15
bdm	385
betA	67
betB	219
betI	39
betT	51
bfd	227
bfr	4062
bglA	916
bglB	[3]
bglF	[0]
bglG	[0]
bglH	[1]
bglJ	[0]
bglX	227
bhsA	1039
bioA	259
bioB	898
bioC	123
bioD	675
bioF	122
bioH	158
birA	131
bisC	172
blc	378
blr	506
bolA	2040
borD	3140
brnQ	167
bsmA	144
bssR	[10]
bssS	124
btuB	564
btuC	29
btuD	92
btuE	998
btuF	38
btuR	130
cadA	[0]
cadB	[0]
cadC	14
caiA	18
caiB	11
caiC	8
caiD	11
caiE	[2]
caiF	258
caiT	[0]
can	5058
carA	5516
carB	5867
casA	6
casB	15
casC	26
casD	8
casE	20
cbl	372
cbpA	583
cbpM	548
cbrA	[2]
cbrB	[7]
cbrC	23
cca	122
ccmA	23
ccmB	12
ccmC	65
ccmD	76
ccmE	58
ccmF	14
ccmG	27
ccmH	34
cdaR	7
cdd	287
cdh	58
cdsA	182
cedA	139
cfa	1715
chaA	197
chaB	406
chaC	25
chbA	41
chbB	158
chbC	3
chbF	10
chbG	36
chbR	27
cheA	13
cheB	[1]
cheR	[1]
cheW	48
cheY	46
cheZ	37
chiA	30
chiP	[0]
chiQ	[2]
cho	53
chpB	47
chpS	252
cirA	79
citC	[0]
citD	[1]
citE	[0]
citF	[0]
citG	[0]
citT	[0]
citX	[0]
clcA	50
clcB	10
cld	1434
clpA	2420
clpB	1421
clpP	3256
clpS	304
clpX	2475
cls	252
cmk	536
cmoA	317
cmoB	209
cmtA	[0]
cmtB	[2]
