protein	log2FC	p-val
Q8X5J3	0.34	0.783
P0ABQ5	0.261	0.469
Q8X5Z7	0.018	0.975
P0AFJ6	0.493	0.145
P0AEM2	-0.051	0.764
Q8FIN9	-0.009	0.77
P0AES0	-0.146	0.643
B7LRJ9	1.136	3.033e-06
Q8VWE6	-0.4	0.314
B7M6N5	0.331	0.364
Q1RCQ9	-0.201	0.181
P66818	-0.021	0.967
Q8X5J4	-2.505	1.647e-05
B7LPT2	0.496	0.022
P27303	0.153	0.609
P0A963	-0.42	0.154
P0AFK9	0.643	5.806e-06
P0A9Y1	-5.279	0.0
P17315	4.985	0.0
P36879	-0.28	0.259
P06990	-1.328	0.0004977
P31455	0.745	0.013
A8A4K6	-0.16	0.115
Q9R9D5	0.006	0.996
P76422	-0.47	0.014
P0AGB1	-0.343	0.039
Q1R7P9	-0.066	0.642
P0AE07	0.228	0.112
P75937	-3.068	0.0
P31224	0.207	0.248
P37147	0.806	0.04
P0AFK1	0.176	0.382
B7LW77	-0.121	0.27
P76561	0.791	0.006
P76243	1.558	0.0002027
B7LRS9	-0.093	0.181
P16456	0.487	0.002
P09996	0.97	0.011
Q1R4J1	-1.618	7.76e-10
P06989	-1.318	1.913e-05
P51024	-0.3	0.184
Q1R324	-0.116	0.535
P0ADT1	0.335	0.141
P00803	0.136	0.683
P42216	-0.626	0.019
B7LMI1	-0.757	1.556e-05
P0ACF6	0.444	0.281
P76575	-1.012	0.046
B7LVT0	0.066	0.665
Q1RG12	0.151	0.22
Q1R3P5	0.2	0.366
P00909	-0.458	0.017
P37349	0.131	0.516
P27828	-0.141	0.692
P39406	-0.176	0.386
P00934	-0.169	0.13
P11880	0.221	0.462
Q8FJB1	-0.11	0.268
P31433	0.938	0.001
P0ABV0	-0.879	0.004
P0AFM7	0.556	0.023
Q8FL94	0.257	0.483
B7LLY2	0.682	0.004
B7LYG4	-0.289	0.259
B7LVK4	-0.269	0.784
P75746	-0.03	0.734
Q8CW16	0.571	0.486
P0ADP0	0.064	0.692
Q0TLQ8	0.98	0.011
B7LNS3	1.133	2.92e-08
Q8X6X6	-0.365	0.551
Q8X647	-0.258	0.099
P0A9U5	-0.347	0.011
P0AG32	0.089	0.305
P0AFH9	3.367	5.79e-11
Q8XDE7	0.108	0.684
P77625	0.474	0.005
K0BE10	-0.023	0.992
Q1RD62	-0.293	0.613
P00370	0.155	0.174
Q1R996	0.043	0.941
P00888	-1.624	1.91e-13
P76506	0.407	0.114
P0AA06	-0.35	0.103
Q8FJQ3	-1.865	6.661e-16
P77395	0.019	0.907
P0ACB6	-0.209	0.685
B7LVZ2	0.433	0.036
B7LLS4	-0.336	0.838
P00490	0.223	0.121
P0AFQ9	-0.625	0.017
P0ACU8	0.806	0.019
P0ADS0	0.527	0.001
P0AFG7	0.07	0.771
P39337	-0.152	0.739
Q46871	1.297	0.0002889
P00861	-0.48	0.000313
B7LWB7	0.547	0.294
P77689	1.872	2.015e-05
B7UGX2	-0.233	0.056
P0A9G9	0.148	0.475
P0A9I3	-0.331	0.26
P0C0M0	-0.272	0.436
Q8XCJ9	-0.146	0.675
P63944	-0.073	0.799
P0AFI3	-0.068	0.949
Q1RFY9	-0.299	0.001
P23839	0.528	0.0006727
B7LLH1	-0.253	0.003
P00954	-0.085	0.434
P77552	0.75	0.033
P76187	0.537	0.025
P0AG25	-0.093	0.726
P08390	-0.04	0.661
P0AB72	0.236	0.133
P31133	0.449	0.002
P16926	-0.608	0.043
Q1R7I6	-0.331	0.052
P21169	0.114	0.769
Q03961	-0.655	1.302e-05
P11447	0.044	0.984
P00550	2.161	0.0
B7LK02	0.508	0.206
P07024	0.753	2.784e-06
P64484	-0.037	0.831
P21829	-0.358	0.195
P0ACP8	-0.325	0.036
Q8FKE3	-0.381	0.008
P22256	1.855	5.647e-09
B7LUM3	0.011	0.802
B7LSB7	0.945	0.002
Q8CW88	0.309	0.086
P0ACN9	-0.047	0.691
P0ABC8	0.026	0.595
P0AG29	0.127	0.955
Q0TAE8	0.175	0.298
A7ZHJ5	-0.142	0.656
P08192	-0.286	0.086
P0AAI7	-0.199	0.255
P04825	0.53	2.013e-06
P37177	0.168	0.846
B7LRR3	-0.037	0.671
Q8FB69	0.149	0.571
Q8XBL0	-0.268	0.437
P0AEZ1	0.043	0.739
P0AA27	0.23	0.207
P24182	-0.225	0.064
B7LUR5	0.889	0.005
P27833	-0.034	0.509
P37759	0.014	0.959
B7LRT3	-0.403	0.061
P31142	1.755	4.312e-13
P0AAC2	3.014	0.0
Q46920	-0.257	0.249
B7LS47	-0.171	0.476
P0ABD4	4.045	4.441e-16
P08142	-0.284	0.007
B7LVL1	-0.049	0.83
P0A922	0.714	0.008
Q8FKZ1	-0.097	0.943
P0A6H6	-0.29	0.059
P38489	-0.337	0.031
Q8XE74	0.071	0.993
P24178	0.228	0.346
P0AFU5	-0.183	0.61
Q8FKM7	-0.524	0.175
P31808	0.265	0.184
P0C0L2	2.871	1.044e-13
Q8X769	2.221	0.0
P0AG69	-0.29	0.0001096
B7LRS3	-0.499	0.145
P0AGB8	0.433	0.09
B7M7R5	-0.255	0.005
Q1RCS3	0.096	0.979
P07821	1.162	0.0001067
C6UCN7	-0.672	7.964e-09
P0A9D8	0.245	0.138
Q8XBJ4	1.461	0.002
Q46948	0.325	0.152
P0A9F2	-0.228	0.775
P30126	-0.664	9.042e-07
P45799	-0.554	0.001
B6I4S1	0.134	0.947
P23882	0.091	0.495
Q0TA96	0.285	0.074
P0AEH2	-0.712	0.024
P69812	0.628	0.007
A1ACN7	-0.424	0.0009897
P36999	-0.211	0.516
P76015	0.972	0.004
P64625	-0.554	0.374
B7LWK5	-1.1	0.009
P21499	0.081	0.983
Q8FCA0	-0.087	0.237
P68067	0.226	0.853
P0AGD9	-0.066	0.747
P07001	0.307	0.026
Q1R2Z4	0.25	0.097
P0AC14	0.294	0.156
P0ADS7	1.851	1.992e-08
Q1R8U4	0.359	0.495
P00350	-0.11	0.278
P0A8N4	-1.522	0.0
P0A9Q8	0.328	0.00099
P77667	2.378	3.097e-06
P24255	-0.678	0.006
B7LK29	-0.192	0.424
P55293	-0.024	0.748
P0AEE6	3.658	0.0
P0A6D9	-0.026	0.6
P42599	1.165	0.085
B7LK77	0.114	0.259
P24175	0.153	0.749
P09551	1.343	2.218e-09
P0ADI5	3.665	1.655e-10
P0AG16	-0.155	0.139
B7LLI1	-0.931	0.001
P21513	0.169	0.095
B7LSM7	-0.378	0.092
P0A9J2	0.08	0.697
Q8X8L6	0.106	0.784
P75867	0.248	0.379
P77348	1.154	0.0002487
P31545	-0.419	0.155
P69784	1.188	4.589e-07
P0A960	-0.51	0.014
Q1R3B6	0.259	0.043
P0A913	-0.171	0.424
P76049	0.981	0.036
P00946	0.134	0.393
B7LLV9	-0.237	0.015
Q0TEZ0	-0.053	0.3
Q8X6X5	0.225	0.347
P45579	-0.043	0.989
P0AEY0	1.265	0.0
P0AFL8	-0.121	0.443
P0A957	0.748	0.005
P0AES7	-0.131	0.079
Q8XD48	-0.196	0.182
Q1R309	-0.672	3.434e-05
Q1R8L7	0.229	0.286
B7LUL8	-0.245	0.068
Q8X612	0.33	0.479
P21889	0.131	0.181
Q1R9D6	-0.503	0.007
Q8X5H9	-1.451	0.0008392
P0AG82	0.67	0.0001161
B7LPQ9	0.087	0.4
P0AES3	1.031	0.007
P0AGJ6	0.081	0.754
B7LR46	-0.386	0.024
P0A9M3	-0.623	0.008
P0A719	0.016	0.999
P67082	0.65	0.006
P75792	0.71	0.089
P65296	0.765	0.079
Q1R637	-0.32	0.005
P0CK95	0.105	0.919
P77808	-0.011	0.82
Q47622	0.633	0.261
P39199	-0.332	0.141
P0ABY6	0.663	0.04
Q1R4Y7	0.738	4.532e-06
P63388	0.014	0.87
P00363	0.78	0.133
B7LMQ3	1.214	1.055e-05
P0AEP5	0.33	0.032
P31554	0.098	0.248
P0AC64	0.566	0.032
P04968	-0.333	0.005
Q8XEH9	-0.509	0.023
B1ITG7	-0.312	0.000589
Q8FF55	-2.083	2e-09
B7LJQ3	-1.351	2.481e-05
P14081	-0.006	0.784
P03018	0.118	0.644
B7LQD8	-0.141	0.339
Q1R3P3	-0.002	0.967
Q8FE27	-0.265	0.169
Q8XC50	-0.524	0.0005218
Q0TD60	-0.071	0.734
Q8FG50	-0.229	0.211
B7LSC7	-1.191	0.041
P76270	-1.305	0.016
Q1RE44	0.004	0.967
P0A8T8	-0.02	0.296
P39310	1.298	1.824e-05
P0ACP3	0.138	0.921
P0A9J4	0.78	0.105
P58422	0.186	0.388
P25536	-0.037	0.658
P16676	-2.027	6.145e-12
P06282	0.32	0.278
P60777	-0.246	0.5
P0AC43	-0.266	0.047
P27431	0.777	0.006
P0ACL3	0.186	0.622
P0AAG1	-0.688	0.0001088
P0A7I6	-0.47	0.005
P00582	0.306	0.003
Q8FIP7	0.107	1.0
P63624	-0.569	0.0003551
P0A9D6	-0.267	0.146
P30125	-0.537	3.793e-05
P45464	0.229	0.106
