protein	log2FC	p-val
P76578	0.907	0.026
B7LVP7	0.428	0.063
P11447	0.208	0.04
Q1R8K0	0.088	0.765
P36683	-0.643	8.882e-16
P0ABC5	0.131	0.2
P0AFY0	-0.12	0.278
Q8X612	-0.275	0.161
P0AGG3	0.747	0.009
P76536	-0.966	0.001
Q8XCV3	0.139	0.524
B7LPE7	0.064	0.535
P76558	0.239	0.023
P64555	0.02	0.874
B7LLS4	-0.091	0.795
P31120	-0.056	0.501
P05458	-0.037	0.64
P36879	-0.276	0.159
B7LRT2	-0.841	0.0002859
P16456	0.46	0.0003997
P77552	0.244	1.0
P0AEC3	-0.707	0.067
P05793	-0.476	5.134e-10
P0ADY2	-0.056	0.655
P12281	0.424	0.013
P77544	-0.183	0.561
P61887	0.177	0.528
P0AEN3	-1.196	1.651e-07
P0ACR6	0.301	0.069
P66818	0.092	0.869
P0ABU8	-2.268	5.024e-07
P63388	-0.058	0.507
Q1R6H2	0.334	0.706
P46853	0.408	0.135
Q8XBL0	-0.214	0.731
P0ADI5	1.891	5.012e-11
Q8FIM7	-0.353	0.051
P0AB24	0.868	2.238e-12
P0AG01	0.306	0.277
B1IUF8	-0.217	0.151
P0ADN4	0.399	0.055
B7N9Q7	-0.137	0.418
P0ADC5	-0.149	0.472
P0A913	0.84	0.0008266
P0AA06	0.051	0.677
Q1R8L7	0.245	0.367
Q8FKE3	-0.393	0.019
P0AES0	-0.057	0.246
A8A2Q7	0.084	0.492
B7LK04	0.651	1.77e-05
P23878	0.452	0.126
Q1R4F9	-0.174	0.046
P0AGD9	-0.015	0.882
P15028	0.489	0.239
P0A8N4	-1.944	0.0
P0AG25	0.1	0.911
Q1R5V3	0.083	0.537
P25516	1.492	2.887e-15
Q8CXZ9	0.148	0.623
P0ACD6	-0.044	0.682
P67097	0.761	0.0001941
P0AE47	-0.056	0.571
P67088	0.186	0.298
P21507	0.131	0.241
P76034	-0.309	0.157
P0AFX2	0.122	0.669
P16703	-0.605	1.501e-06
P69426	-0.062	0.758
P0AFD2	-0.218	0.17
P0AE93	0.484	0.001
P37649	1.078	0.186
P31433	0.547	0.073
P04968	-0.683	2.398e-08
P06961	-0.481	0.391
P61318	0.171	0.266
Q7A937	0.691	0.833
Q1R3A2	0.086	0.558
Q8FL65	0.26	0.109
P76562	0.466	0.586
P0AAG1	-0.562	0.0006859
P0A9Q8	0.458	5.736e-06
P00909	-0.288	0.115
Q1RDL3	4.411	2.354e-14
Q1R4N5	-0.076	0.592
P0AGG6	1.821	9.994e-07
P61321	0.249	0.15
P63944	-0.117	0.623
P0AEF2	0.203	0.949
B7LSH9	0.209	0.68
P29744	-2.883	1.976e-11
P03841	-1.051	0.0003921
P31060	-0.135	0.366
P25553	2.189	0.0
Q1R309	-0.706	4.817e-06
P15770	0.498	0.125
P0ABH2	-0.336	0.011
B7LWB7	0.552	0.029
P0AGJ8	0.325	0.37
P55293	0.199	0.234
P0AFA3	-0.661	0.303
P77499	1.177	0.012
P0ACV4	-0.128	0.244
P75874	1.683	4.179e-09
B7LK46	0.04	0.722
P04995	0.574	0.051
P0A938	0.328	0.232
Q8FKM7	-0.713	0.09
B7LRS2	-0.231	0.249
Q8XA55	0.182	0.17
P08957	-1.493	0.0
Q1RE41	0.282	0.51
P00895	-0.165	0.205
P0AEY0	1.132	0.0
P08179	-0.124	0.499
Q8FKZ1	0.228	0.649
P0A9L3	-0.15	0.565
P23857	-0.411	0.229
P58720	-0.179	0.675
P17117	-0.21	0.209
P06721	-0.229	0.256
P77376	0.167	0.292
P0A8X3	0.595	0.049
P15254	0.021	0.73
P37773	0.152	0.468
P0A9F2	0.0004011	0.693
B7LJI7	-0.687	0.014
P10378	2.155	8.79e-08
A8A0M6	1.404	1.359e-07
P10121	-0.212	0.074
P0AC71	0.212	0.248
P10384	2.276	0.0
P75745	0.174	0.602
P0AFG1	0.15	0.407
Q1RD67	-0.435	0.229
P07001	-0.05	0.372
P0A9W9	-0.297	0.028
P24171	0.034	0.98
B7LKC0	0.028	0.903
Q1RAS6	1.317	0.13
P0AFK9	0.006	0.875
P76187	0.807	0.001
B7NM68	0.13	0.07
P00961	-0.123	0.205
P07024	0.731	3.885e-07
Q0TLQ8	0.787	0.002
P0A9B4	0.127	0.222
P0A9F5	-0.738	0.003
P68568	0.029	0.635
P22188	-0.134	0.609
P0AFW8	1.153	1.552e-06
P76177	-4.616	3.216e-09
P0AAG8	2.389	3.79e-09
P0AGK0	-0.023	0.671
Q1R3P3	-0.221	0.828
P0A7F7	-0.499	0.0001433
P30177	1.101	2.911e-06
B1IPU6	-0.189	0.441
P0ADG6	0.027	0.802
Q8FIN9	0.144	0.88
P30958	-0.249	0.242
B7LVU3	-0.114	0.66
Q8X769	2.536	0.0
P30859	0.222	0.024
P0AEH2	-0.895	0.01
B7LWA8	-0.06	0.692
P0ACF2	0.589	0.0005782
P00452	-0.088	0.163
Q1R448	0.661	3.036e-05
P15977	-0.549	8.056e-06
Q1RD68	-1.089	0.0001168
B7LQD9	-0.884	0.025
B7LNS4	0.697	0.006
P0AG42	-0.251	0.046
B7LRS8	0.056	0.89
B7LJW4	0.613	0.038
P58422	0.268	0.374
Q46829	0.348	0.015
P0AAB7	0.503	0.0001497
P09151	-0.759	3.553e-15
P0AF25	-0.252	0.094
P0AAQ4	-1.612	2.121e-05
P76049	0.547	0.053
Q8FKE1	0.647	0.076
B7UGX2	-0.203	0.049
P0A6B4	-0.105	0.611
P07648	0.34	0.664
B7LUZ5	-0.264	0.016
P09053	0.042	0.797
B1IUF7	0.26	0.243
P77395	-0.228	0.073
B1IQK7	-0.183	0.185
P09158	-0.105	0.422
B7LWE0	-1.08	0.0
P0ACJ2	-0.238	0.302
B7LSM7	-0.299	0.13
B7LRJ9	1.645	5.017e-05
P76576	-0.188	0.301
P31545	-1.056	8.085e-08
P77774	-0.152	0.568
Q8X8B5	-0.042	0.764
P0A877	0.577	3.972e-06
P0AGF3	1.108	0.0001129
P0C0L2	3.676	2.962e-13
P26646	0.722	0.0001098
