protein	log2FC	p-val
sp|P04968|ILVA_ECOLI	-0.357	0.002
sp|P0A8B2|YFCN_ECOLI	-0.106	0.559
sp|P00350|6PGD_ECOLI	-0.177	0.0009823
sp|P0AF28|NARL_ECOLI	-0.428	0.002
sp|P64624|YHEO_ECOLI	-0.702	0.061
sp|P60651|SPEB_ECOLI	1.069	2.738e-06
sp|P16701|CYST_ECOLI	0.852	0.037
sp|P0AB98|ATP6_ECOLI	0.848	0.021
sp|P0AE12|AMN_ECOLI	-0.836	1.091e-10
sp|P0AFG6|ODO2_ECOLI	0.024	0.826
sp|P37327|YFDC_ECOLI	-2.12	1.735e-06
sp|P08192|FOLC_ECOLI	-0.336	0.075
sp|P0AAI9|FABD_ECOLI	0.459	0.000161
sp|P62707|GPMA_ECOLI	-0.117	0.269
sp|P0A7W1|RS5_ECOLI	0.268	0.004
sp|P22186|MRAZ_ECOLI	-1.341	4.499e-06
sp|P0ABU7|EXBB_ECOLI	-0.294	0.049
sp|P0ABI8|CYOB_ECOLI	-0.144	0.294
sp|P61316|LOLA_ECOLI	0.394	0.011
sp|P21169|DCOR_ECOLI	0.327	0.04
sp|P0ADP0|YIGB_ECOLI	-0.111	0.534
sp|P75820|AMID_ECOLI	0.15	0.33
sp|P39298|YJFP_ECOLI	-0.347	0.275
sp|P15640|PUR2_ECOLI	0.204	0.044
sp|P06968|DUT_ECOLI	-0.114	0.835
sp|P21156|CYSD_ECOLI	0.272	0.029
sp|P0A6F1|CARA_ECOLI	0.372	0.0003512
sp|P0A9X9|CSPA_ECOLI	1.337	9.18e-10
sp|P0ABN1|KDGL_ECOLI	-0.487	0.196
sp|P0ACE3|HHA_ECOLI	0.268	0.315
sp|P0A6L0|DEOC_ECOLI	-0.781	4.597e-08
sp|P0ABF1|PCNB_ECOLI	-0.613	0.0003097
sp|P28861|FENR_ECOLI	-0.227	0.679
sp|P0A9D8|DAPD_ECOLI	-0.457	2.609e-05
sp|P24202|MRR_ECOLI	-0.363	0.017
