protein	log2FC	p-val
sp|P23331|KITH_ECOLI	-0.53	0.125
sp|P77202|DSBG_ECOLI	-0.012	0.956
sp|P77330|BORD_ECOLI	-0.443	0.005
sp|P0A6T3|GAL1_ECOLI	0.577	4.469e-05
sp|P39452|RIR3_ECOLI	-0.44	0.064
sp|P0A6L9|HSCB_ECOLI	-0.571	0.0002582
sp|P43329|HRPA_ECOLI	0.311	0.002
sp|P76108|YDCS_ECOLI	2.439	0.0
sp|P68699|ATPL_ECOLI	0.696	0.019
sp|P0ACP1|CRA_ECOLI	0.689	9.45e-09
sp|P0A8K1|PSD_ECOLI	0.539	1.146e-05
sp|P75728|UBIF_ECOLI	0.572	4.66e-05
sp|P09099|XYLB_ECOLI	1.344	9.936e-11
sp|P45579|HCXA_ECOLI	-0.4	0.0004506
sp|P25526|GABD_ECOLI	0.737	0.0
sp|P30748|MOAD_ECOLI	-0.266	0.216
sp|P0A7U3|RS19_ECOLI	-0.523	5.567e-06
sp|P77737|OPPF_ECOLI	-0.033	0.749
sp|P40874|MTOX_ECOLI	-0.062	0.566
sp|P67910|HLDD_ECOLI	-0.073	0.453
sp|P0ADF8|ILVN_ECOLI	0.452	0.0002886
sp|P03023|LACI_ECOLI	0.129	0.452
sp|P05852|TSAD_ECOLI	-0.254	0.131
sp|P0C0L7|PROP_ECOLI	-1.111	2.656e-13
sp|P15640|PUR2_ECOLI	-1.161	0.0
sp|P0A8W8|YFBU_ECOLI	0.088	0.434
sp|P0ADQ2|YIID_ECOLI	0.689	2.312e-06
sp|P52097|TILS_ECOLI	0.26	0.353
sp|P0ABD8|BCCP_ECOLI	-0.331	0.059
sp|P0ACX3|YDHR_ECOLI	0.294	0.02
sp|P32134|YIHM_ECOLI	-0.255	0.236
sp|P39377|IADA_ECOLI	-0.35	0.012
sp|P42593|FADH_ECOLI	1.105	0.0
sp|P06983|HEM3_ECOLI	0.287	0.006
sp|P23893|GSA_ECOLI	-0.471	8.393e-07
sp|P23837|PHOQ_ECOLI	0.844	0.0004948
sp|P04391|OTC1_ECOLI	0.748	2.661e-10
sp|P68066|GRCA_ECOLI	0.161	0.16
sp|P77806|YBDL_ECOLI	-0.132	0.655
sp|P0A6F3|GLPK_ECOLI	1.256	0.0
sp|P75849|GLO22_ECOLI	0.691	0.0003824
