protein	log2FC	p-val
sp|Q46919|YQCC_ECOLI	0.133	0.891
sp|P37387|XYLF_ECOLI	0.182	0.099
sp|P0A6N4|EFP_ECOLI	-0.175	0.1
sp|P00448|SODM_ECOLI	0.068	0.556
sp|P28304|QOR1_ECOLI	0.556	1.247e-08
sp|P0AFR4|YCIO_ECOLI	0.234	0.147
sp|P0AEW4|CPDA_ECOLI	0.264	0.151
sp|P0AES0|GSP_ECOLI	0.158	0.66
sp|P0AB98|ATP6_ECOLI	-0.344	0.029
sp|P0AC75|KDTA_ECOLI	0.102	0.917
sp|P77569|MHPR_ECOLI	0.137	0.361
sp|P0AG30|RHO_ECOLI	0.166	0.012
sp|Q2M7R5|YIBT_ECOLI	0.346	0.302
sp|P0ADS9|YGGN_ECOLI	0.198	0.383
sp|P77213|GCS2_ECOLI	0.171	0.405
sp|P0DMC5|RCSC_ECOLI	-0.146	0.588
sp|P37902|GLTI_ECOLI	0.242	0.014
sp|P0ACV6|MPAA_ECOLI	0.248	0.407
sp|P0AE18|MAP1_ECOLI	0.0005878	0.941
sp|P46852|YHHW_ECOLI	0.43	0.007
sp|P0A6G7|CLPP_ECOLI	-0.008	0.96
sp|P45464|LPOA_ECOLI	0.034	0.753
sp|P0A7X3|RS9_ECOLI	-0.117	0.341
sp|P77348|MPPA_ECOLI	0.189	0.174
sp|P16701|CYST_ECOLI	0.203	0.797
sp|P0A6P1|EFTS_ECOLI	0.0001296	0.57
sp|P0A953|FABB_ECOLI	-0.034	0.374
sp|Q46822|IDI_ECOLI	0.042	0.985
sp|P00935|METB_ECOLI	0.08	0.446
sp|P0AF03|MOG_ECOLI	-0.368	0.115
sp|P23857|PSPE_ECOLI	-0.497	0.138
sp|P0AB24|EFEO_ECOLI	-0.256	0.002
sp|P68066|GRCA_ECOLI	-0.071	0.596
sp|P0AB80|ILVE_ECOLI	0.068	0.698
sp|P0ABI4|CORA_ECOLI	0.274	0.056
sp|P0AAP3|FRMR_ECOLI	-0.166	0.4
sp|P0AB71|ALF_ECOLI	-0.107	0.159
sp|P0A763|NDK_ECOLI	-0.51	4.655e-06
sp|P0ADT2|YGIB_ECOLI	0.338	0.251
sp|P0A9L3|FKBB_ECOLI	-0.307	0.01
sp|P39199|PRMB_ECOLI	-0.191	0.113
sp|P0A707|IF3_ECOLI	0.102	0.393
sp|P39831|YDFG_ECOLI	-0.14	0.097
sp|P0A8I8|RLMH_ECOLI	-0.512	0.125
sp|P0A6B7|ISCS_ECOLI	-0.518	2.7e-13
sp|P38038|CYSJ_ECOLI	-0.104	0.125
sp|P0A8H6|YIHI_ECOLI	-0.102	0.571
sp|P76372|WZZB_ECOLI	0.029	0.988
sp|P37344|PSPF_ECOLI	0.461	0.073
sp|P0AC51|ZUR_ECOLI	0.291	0.386
sp|P10378|ENTE_ECOLI	-0.339	0.185
sp|P05020|PYRC_ECOLI	-0.13	0.098
sp|P0A915|OMPW_ECOLI	0.284	0.222
sp|P77795|YDCT_ECOLI	0.494	0.0001093
sp|P25906|PDXI_ECOLI	0.588	1.482e-07
sp|P00393|DHNA_ECOLI	0.262	0.007
sp|P09126|HEM4_ECOLI	0.082	1.0
sp|P0A6Q6|FABZ_ECOLI	0.073	0.52
sp|P28249|ASMA_ECOLI	0.073	0.462
sp|P0AG99|SECG_ECOLI	-0.059	0.817
sp|P13029|KATG_ECOLI	0.351	3.637e-11
sp|P0A9T4|TAS_ECOLI	0.305	0.032
sp|P68206|YJBJ_ECOLI	1.006	0.0001458
sp|P76503|FADI_ECOLI	0.091	0.476
sp|P69913|CSRA_ECOLI	0.104	0.584
sp|P0A9D8|DAPD_ECOLI	-0.428	1.281e-07
sp|P08368|CREB_ECOLI	-0.269	0.221
sp|P61175|RL22_ECOLI	0.197	0.271
sp|P0A6I3|COAA_ECOLI	-0.097	0.367
sp|P39835|GNTT_ECOLI	-0.292	0.35
sp|P06129|BTUB_ECOLI	0.054	0.78
sp|P75913|GHRA_ECOLI	-0.174	0.152
sp|P32695|DUSA_ECOLI	-0.258	0.084
sp|P77293|GTRB_ECOLI	-0.04	0.633
sp|P68739|NFI_ECOLI	0.062	0.518
sp|P27306|STHA_ECOLI	-0.138	0.131
sp|P00956|SYI_ECOLI	-0.087	0.065
sp|P0AFT2|YECS_ECOLI	0.367	0.089
sp|P45579|HCXA_ECOLI	0.008	0.965
sp|P0AF24|NAGD_ECOLI	-0.095	0.511
sp|P14900|MURD_ECOLI	0.379	0.09
sp|P76291|CMOB_ECOLI	-0.082	0.354
sp|P76187|YDHF_ECOLI	0.366	0.011
sp|P0A6A0|UBIB_ECOLI	-0.186	0.092
sp|P0AE22|APHA_ECOLI	-0.145	0.48
sp|P37095|PEPB_ECOLI	0.125	0.195
sp|P02359|RS7_ECOLI	-0.078	0.477
sp|P08839|PT1_ECOLI	-0.071	0.251
sp|P00864|CAPP_ECOLI	-0.228	2.222e-05
sp|P66817|DIAA_ECOLI	0.139	0.56
sp|P76658|HLDE_ECOLI	-0.067	0.27
sp|P0ABA6|ATPG_ECOLI	-0.199	0.015
sp|P0AEM4|FLGM_ECOLI	-0.411	0.076
sp|P61889|MDH_ECOLI	-0.092	0.184
sp|P39342|YJGR_ECOLI	0.623	4.284e-12
sp|P07109|HISP_ECOLI	0.387	0.054
sp|P0AFC7|NUOB_ECOLI	-0.078	0.27
sp|P0AEI4|RIMO_ECOLI	-0.019	0.986
sp|P23830|PSS_ECOLI	0.273	0.003
sp|P77791|MAA_ECOLI	0.048	0.784
sp|P0AEN1|FRE_ECOLI	-0.346	0.002
sp|P0AFK9|POTD_ECOLI	-0.228	0.012
sp|P0A6K3|DEF_ECOLI	0.102	0.629
sp|P0AFK0|PMBA_ECOLI	0.154	0.166
sp|P0A6M4|DTD_ECOLI	-0.226	0.463
sp|P06983|HEM3_ECOLI	0.015	0.701
sp|P15640|PUR2_ECOLI	-0.51	1.331e-05
sp|P33368|YOHF_ECOLI	0.331	0.113
sp|P30958|MFD_ECOLI	-0.003	0.871
sp|P0ADN2|YIFE_ECOLI	-0.118	0.157
sp|P0AC44|DHSD_ECOLI	0.404	0.105
sp|P23836|PHOP_ECOLI	-0.259	0.001
sp|P0A9F9|METR_ECOLI	0.302	0.305
sp|Q46851|GPR_ECOLI	0.458	3.378e-06
