protein	log2FC	p-val
sp|P0A720|KTHY_ECOLI	-0.362	0.391
sp|P36771|LRHA_ECOLI	0.749	0.0002827
sp|P26648|FTSP_ECOLI	0.196	0.339
sp|P77756|QUEC_ECOLI	0.064	0.578
sp|P69428|TATA_ECOLI	0.093	0.611
sp|P15082|SRLR_ECOLI	0.169	0.266
sp|P0A7M2|RL28_ECOLI	-0.221	0.013
sp|P0AGD3|SODF_ECOLI	-0.525	6.923e-06
sp|P26365|AMIB_ECOLI	-0.032	0.986
sp|P11557|DAMX_ECOLI	0.274	0.0007372
sp|P0AEC5|BARA_ECOLI	0.102	0.454
sp|P0ACE0|MBHM_ECOLI	-0.531	0.007
sp|P23200|MGLC_ECOLI	-0.12	0.678
sp|P63389|YHES_ECOLI	-0.125	0.373
sp|P0AG96|SECE_ECOLI	0.052	0.694
sp|P0ABH9|CLPA_ECOLI	0.013	0.745
sp|P0A821|SELA_ECOLI	0.123	0.159
sp|P0AD65|MRDA_ECOLI	-0.182	0.667
sp|P15639|PUR9_ECOLI	-0.511	4.663e-14
sp|P63177|RLMB_ECOLI	-0.006	0.762
sp|P0A6X3|HFQ_ECOLI	0.387	0.05
sp|P76621|GLAH_ECOLI	-0.999	1.837e-09
sp|P60651|SPEB_ECOLI	0.605	5.468e-08
sp|P45544|FRLR_ECOLI	-0.18	0.642
sp|P30749|MOAE_ECOLI	-0.154	0.492
sp|P0A6U8|GLGA_ECOLI	0.371	0.0002
sp|P32703|YJCE_ECOLI	0.364	0.163
sp|P31808|YCIK_ECOLI	0.269	0.036
sp|P0AGK4|YHBY_ECOLI	0.474	0.031
sp|P0AE28|AROM_ECOLI	0.247	0.16
sp|P32662|GPH_ECOLI	-0.448	0.072
sp|P76594|PKA_ECOLI	1.0	0.0
sp|P60723|RL4_ECOLI	-0.26	0.008
sp|P0AE39|YPDB_ECOLI	0.33	0.169
sp|P32684|RLUF_ECOLI	-0.343	0.042
sp|P0AFG0|NUSG_ECOLI	-0.241	0.004
sp|P23522|GARL_ECOLI	0.568	0.01
sp|P0AEQ3|GLNH_ECOLI	-0.124	0.143
sp|P00448|SODM_ECOLI	-0.088	0.255
sp|P0A6T5|GCH1_ECOLI	-0.961	0.0
sp|P45531|TUSC_ECOLI	-0.23	0.384
sp|P37765|RLUB_ECOLI	-0.079	0.632
sp|P07003|POXB_ECOLI	1.297	0.0
sp|P0A6A3|ACKA_ECOLI	0.178	0.028
sp|P07102|PPA_ECOLI	0.28	0.277
sp|P0AC02|BAMD_ECOLI	-0.248	0.007
sp|P64451|YDCL_ECOLI	0.521	5.092e-08
sp|P25519|HFLX_ECOLI	0.182	0.028
sp|P0ACA7|GSTB_ECOLI	0.018	0.628
sp|P22333|ADD_ECOLI	0.678	6.336e-10
sp|P77243|PRPD_ECOLI	0.011	0.977
sp|P15373|PRLF_ECOLI	0.162	0.586
sp|P23917|MAK_ECOLI	0.431	0.0003533
sp|P31433|YICH_ECOLI	0.421	0.0005
sp|P0ACR9|MPRA_ECOLI	-0.638	3.681e-05
sp|P62615|ISPE_ECOLI	0.082	0.813
sp|P39172|ZNUA_ECOLI	-0.377	0.013
sp|P77775|YFCH_ECOLI	0.949	3.269e-10
sp|P0A734|MINE_ECOLI	0.08	0.236
sp|P29680|DCUP_ECOLI	0.089	0.709
sp|P75931|YCEM_ECOLI	0.203	0.426
sp|P0A9Q7|ADHE_ECOLI	0.284	1.064e-13
sp|P0A800|RPOZ_ECOLI	-0.056	0.553
sp|P0AFR4|YCIO_ECOLI	0.706	8.323e-08
sp|P0A9Y6|CSPC_ECOLI	-0.228	0.063
sp|P46118|HEXR_ECOLI	-0.418	0.047
sp|P36938|PGM_ECOLI	0.246	0.0005385
sp|P52647|NIFJ_ECOLI	0.79	0.0
sp|P0AC62|GLRX3_ECOLI	0.25	0.025
sp|P0ABS1|DKSA_ECOLI	-0.236	0.031
sp|P0CB39|EPTC_ECOLI	-0.411	0.001
sp|P09323|PTW3C_ECOLI	0.184	0.016
sp|P04825|AMPN_ECOLI	-0.059	0.218
sp|P0AGB6|RPOE_ECOLI	0.202	0.187
sp|P75830|MACA_ECOLI	0.352	0.001
sp|P66948|BEPA_ECOLI	0.406	0.0003944
sp|P69441|KAD_ECOLI	-0.176	0.017
sp|P0ADX1|YHFA_ECOLI	0.045	0.776
sp|P11071|ACEK_ECOLI	0.531	2.582e-06
sp|P0A6E4|ASSY_ECOLI	0.168	0.014
sp|P0A855|TOLB_ECOLI	-0.328	0.0001118
sp|P0A6K6|DEOB_ECOLI	0.373	1.762e-07
sp|P77434|ALAC_ECOLI	-0.159	0.324
sp|P39310|YTFB_ECOLI	0.141	0.488
sp|P0A6F3|GLPK_ECOLI	0.363	8.68e-09
sp|P02413|RL15_ECOLI	-0.16	0.09
