protein	log2FC	p-val
sp|P0AAA1|YAGU_ECOLI	0.046	0.926
sp|P0A7L8|RL27_ECOLI	-0.157	0.827
sp|P0A9D4|CYSE_ECOLI	-0.033	0.878
sp|P0AEM0|FKBX_ECOLI	-0.268	0.097
sp|P00944|XYLA_ECOLI	0.631	0.038
sp|P17854|CYSH_ECOLI	-0.341	0.002
sp|P0A921|PA1_ECOLI	0.033	0.898
sp|P0AEX5|KPPR_ECOLI	0.492	0.123
sp|P61714|RISB_ECOLI	-0.117	0.472
sp|P0A6E6|ATPE_ECOLI	-0.118	0.54
sp|P36562|COBT_ECOLI	-0.246	0.387
sp|P0AGB6|RPOE_ECOLI	0.364	0.089
sp|P60438|RL3_ECOLI	-0.186	0.012
sp|P39334|BDCR_ECOLI	0.124	0.485
sp|P31678|OTSB_ECOLI	0.474	0.01
sp|P0ABC3|HFLC_ECOLI	0.036	0.816
sp|P07102|PPA_ECOLI	0.059	0.984
sp|P0AC75|KDTA_ECOLI	-0.202	0.501
sp|P76316|DCYD_ECOLI	0.16	0.268
sp|P28304|QOR1_ECOLI	0.431	0.0002294
sp|P0AEI1|MIAB_ECOLI	-0.351	0.0006119
sp|P77804|YDGA_ECOLI	0.131	0.183
sp|P04983|RBSA_ECOLI	0.44	1.089e-05
sp|P62617|ISPF_ECOLI	-0.013	0.853
sp|P02919|PBPB_ECOLI	0.05	0.834
sp|P64530|RCNR_ECOLI	0.036	0.956
sp|P09053|AVTA_ECOLI	-0.075	0.557
sp|P75957|LOLD_ECOLI	-0.022	0.985
sp|P0A8U6|METJ_ECOLI	0.021	0.919
sp|P36938|PGM_ECOLI	0.116	0.121
sp|P32157|YIIM_ECOLI	0.158	0.218
sp|P0AE78|CORC_ECOLI	-0.192	0.109
sp|P0AG55|RL6_ECOLI	-0.239	0.0001905
sp|P0C0L2|OSMC_ECOLI	0.832	1.158e-10
sp|P31475|YIEP_ECOLI	-0.065	0.776
sp|P0AEE3|DEGS_ECOLI	-0.078	0.447
sp|P60560|GUAC_ECOLI	-0.611	5.256e-07
sp|P33363|BGLX_ECOLI	-0.192	0.011
sp|P0A8M3|SYT_ECOLI	0.011	0.95
sp|P27830|RMLB2_ECOLI	-0.534	0.045
sp|P39199|PRMB_ECOLI	0.004	0.954
sp|P07024|USHA_ECOLI	0.249	0.013
sp|P0AC51|ZUR_ECOLI	0.451	0.011
sp|P0AB24|EFEO_ECOLI	-0.528	9.687e-10
sp|P0A6A0|UBIB_ECOLI	0.417	0.085
sp|P0AFF4|NUPG_ECOLI	0.142	0.49
sp|P27550|ACSA_ECOLI	0.169	0.003
sp|P30863|DKGB_ECOLI	-0.156	0.271
sp|P18196|MINC_ECOLI	-0.263	0.211
sp|P0AA82|CODB_ECOLI	-1.276	1.032e-06
sp|P0AFH6|OPPC_ECOLI	0.056	1.0
sp|P0A8F4|URK_ECOLI	-0.201	0.102
sp|P04951|KDSB_ECOLI	0.055	0.947
sp|P65556|YFCD_ECOLI	-0.486	0.008
sp|P0AE91|CREA_ECOLI	-0.081	0.815
sp|P04425|GSHB_ECOLI	0.051	0.793
sp|P24186|FOLD_ECOLI	-0.102	0.275
sp|P0ABK2|CYDB_ECOLI	0.062	0.883
sp|P0A742|MSCL_ECOLI	0.287	0.14
sp|P0AEP3|GALU_ECOLI	0.045	0.77
