protein	log2FC	p-val
sp|P0ACP7|PURR_ECOLI	0.179	0.039
sp|P00904|TRPGD_ECOLI	-0.198	0.042
sp|P0A8F4|URK_ECOLI	-0.365	0.006
sp|P69831|PTKC_ECOLI	0.412	0.0006296
sp|P39342|YJGR_ECOLI	0.542	2.072e-08
sp|P32695|DUSA_ECOLI	0.002	0.979
sp|P25552|GPPA_ECOLI	-0.108	0.5
sp|P69797|PTNAB_ECOLI	-0.532	5.822e-12
sp|P0AD33|YFCZ_ECOLI	0.098	0.564
sp|P25738|MSYB_ECOLI	0.867	8.974e-06
sp|P31455|YIDR_ECOLI	0.042	0.722
sp|P0A8I8|RLMH_ECOLI	0.005	1.0
sp|P40191|PDXK_ECOLI	-0.035	0.622
sp|P39310|YTFB_ECOLI	0.599	0.002
sp|P0AE12|AMN_ECOLI	0.245	0.026
sp|P45531|TUSC_ECOLI	0.123	0.654
sp|P0ADG7|IMDH_ECOLI	-0.719	4.441e-16
sp|P37349|DHAM_ECOLI	-0.082	0.68
sp|P0ADI4|ENTB_ECOLI	0.306	0.177
sp|P76038|PUUD_ECOLI	0.63	0.0001924
sp|P09546|PUTA_ECOLI	0.021	0.995
sp|P64503|YEBV_ECOLI	0.951	0.01
sp|P13482|TREA_ECOLI	1.267	0.0
sp|P32162|YIIS_ECOLI	0.469	0.096
sp|P37005|LAST_ECOLI	0.202	0.12
sp|P0A917|OMPX_ECOLI	-0.211	0.097
sp|P10346|GLNQ_ECOLI	0.324	0.031
sp|P76115|YNCD_ECOLI	0.589	0.018
sp|P06988|HISX_ECOLI	0.217	0.016
sp|P09099|XYLB_ECOLI	1.025	2.022e-06
sp|P77318|YDEN_ECOLI	0.741	1.773e-06
sp|P37351|RPIB_ECOLI	0.175	0.409
sp|P0A8H6|YIHI_ECOLI	-0.361	0.005
sp|P0A7B8|HSLV_ECOLI	0.036	0.739
sp|P0A8X2|YCEI_ECOLI	0.536	0.0005848
sp|P31130|YDEI_ECOLI	1.136	2.023e-08
sp|P31131|YDEJ_ECOLI	1.302	0.009
sp|P0A720|KTHY_ECOLI	0.01	0.796
sp|P07623|METAS_ECOLI	-0.264	0.03
sp|P50457|PUUE_ECOLI	-0.054	0.474
sp|P0AFF2|NUPC_ECOLI	-0.039	0.751
sp|P09373|PFLB_ECOLI	0.055	0.725
sp|P0AEG4|DSBA_ECOLI	-0.171	0.195
sp|P0ABD5|ACCA_ECOLI	-0.01	0.929
sp|P0A8F8|UVRB_ECOLI	0.483	1.574e-08
sp|P0AB24|EFEO_ECOLI	-0.965	0.0
sp|P0A6Z6|NIKR_ECOLI	-0.264	0.335
sp|P0A9S5|GLDA_ECOLI	0.748	1.474e-05
sp|P08244|PYRF_ECOLI	-0.878	1.908e-12
sp|P32177|FDHD_ECOLI	0.116	0.606
sp|P69853|DMSD_ECOLI	0.107	0.828
sp|P67087|RSMI_ECOLI	-0.055	0.335
sp|P00561|AK1H_ECOLI	-1.283	0.0
sp|P30847|BAES_ECOLI	0.476	0.084
sp|P0A799|PGK_ECOLI	-0.029	0.804
sp|P0A6G3|PNCC_ECOLI	0.24	0.12
sp|P51981|AEEP_ECOLI	0.865	0.006
sp|P77376|YDGJ_ECOLI	0.202	0.025
sp|P02925|RBSB_ECOLI	0.817	0.0
sp|P05458|PTRA_ECOLI	0.286	0.024
sp|P77247|HXPB_ECOLI	-0.217	0.041
sp|P06996|OMPC_ECOLI	0.783	0.0
sp|P0ABU0|MENB_ECOLI	0.108	0.489
sp|P0A6S0|FLGH_ECOLI	0.551	0.047
sp|P0AA39|RLUC_ECOLI	-0.016	0.758
sp|P0AEX3|KGTP_ECOLI	0.768	6.172e-08
sp|P0A6C1|END4_ECOLI	0.109	0.533
sp|P39452|RIR3_ECOLI	-0.724	0.005
sp|P39180|AG43_ECOLI	0.532	0.022
sp|P0A8V6|FADR_ECOLI	0.156	0.609
sp|P0A725|LPXC_ECOLI	0.685	0.003
sp|P45799|NUDE_ECOLI	-0.14	0.29
sp|P0AFP4|YBBO_ECOLI	0.514	0.005
sp|P0A6A8|ACP_ECOLI	-0.69	8.941e-05
sp|P25437|FRMA_ECOLI	0.265	0.025
sp|P0A972|CSPE_ECOLI	-0.429	0.018
sp|P0AAX8|YBIS_ECOLI	-0.317	0.01
