protein	log2FC	p-val
sp|P08245|YCIH_ECOLI	0.08	0.718
sp|P0AE28|AROM_ECOLI	1.081	2.594e-05
sp|P0ABI4|CORA_ECOLI	0.156	0.327
sp|P33025|PSUG_ECOLI	1.212	8.152e-07
sp|P04995|EX1_ECOLI	0.099	0.831
sp|P75713|ALLE_ECOLI	0.196	0.298
sp|P0A6X3|HFQ_ECOLI	0.201	0.222
sp|P23331|KITH_ECOLI	-0.443	0.122
sp|P0A6V1|GLGC_ECOLI	-0.003	0.939
sp|P0AGG0|THIL_ECOLI	-0.039	0.664
sp|P24242|ASCG_ECOLI	0.377	0.204
sp|P23827|ECOT_ECOLI	1.193	6.034e-07
sp|P0AGG2|TESB_ECOLI	0.068	0.816
sp|P37005|LAST_ECOLI	-0.051	0.716
sp|P39830|YBAL_ECOLI	0.078	0.687
sp|P52108|RSTA_ECOLI	0.082	0.848
sp|P0A8A4|PSRP_ECOLI	0.074	0.516
sp|P0A6L4|NANA_ECOLI	0.029	0.873
sp|P0AAS7|YBCJ_ECOLI	-0.031	0.75
sp|P05704|MCP3_ECOLI	0.988	0.001
sp|P0AGG8|TLDD_ECOLI	0.094	0.657
sp|P76541|EUTL_ECOLI	0.313	0.175
sp|P0AFD1|NUOE_ECOLI	0.19	0.23
sp|P10346|GLNQ_ECOLI	0.39	0.011
sp|P21165|PEPQ_ECOLI	0.225	0.012
sp|P33219|YEBF_ECOLI	0.143	0.527
sp|Q46851|GPR_ECOLI	0.701	5.278e-12
sp|P0ABF1|PCNB_ECOLI	-0.258	0.002
sp|P0A7B1|PPK1_ECOLI	-0.042	0.342
sp|P0A6A6|LEUC_ECOLI	0.722	0.0
sp|P0AEA8|CYSG_ECOLI	-0.144	0.543
sp|P0A9D8|DAPD_ECOLI	-0.174	0.014
sp|P76342|MSRP_ECOLI	-0.16	0.517
sp|P00904|TRPGD_ECOLI	-0.251	0.054
sp|P67603|YQFB_ECOLI	-0.007	0.802
sp|P06993|MALT_ECOLI	0.388	1.923e-06
sp|P00888|AROF_ECOLI	-0.744	4.865e-12
sp|P76004|YCGM_ECOLI	0.612	0.003
sp|P66817|DIAA_ECOLI	-0.475	0.077
sp|P31808|YCIK_ECOLI	0.08	0.364
sp|P0ABU2|YCHF_ECOLI	-0.167	0.042
sp|P45470|YHBO_ECOLI	0.182	0.412
sp|P0AB67|PNTB_ECOLI	-0.159	0.157
sp|P22188|MURE_ECOLI	-0.241	0.067
sp|P76506|MLAA_ECOLI	0.149	0.298
